date,AbbVie,plug power aktie,pltr stock
2020-11-15,98,34,39
2020-11-22,63,35,62
2020-11-29,67,32,70
2020-12-06,78,35,56
2020-12-13,67,34,40
2020-12-20,47,39,38
2020-12-27,53,33,31
2021-01-03,62,65,35
2021-01-10,74,100,38
2021-01-17,71,78,35
2021-01-24,77,72,66
2021-01-31,83,54,38
2021-02-07,84,48,46
2021-02-14,73,62,100
2021-02-21,78,67,99
2021-02-28,65,59,83
2021-03-07,64,53,72
2021-03-14,88,67,57
2021-03-21,65,40,54
2021-03-28,67,40,47
2021-04-04,71,37,44
2021-04-11,68,47,54
2021-04-18,61,40,42
2021-04-25,68,35,35
2021-05-02,74,36,35
2021-05-09,64,38,62
2021-05-16,71,40,39
2021-05-23,56,31,37
2021-05-30,55,28,36
2021-06-06,62,30,36
2021-06-13,59,26,38
2021-06-20,55,32,32
2021-06-27,66,28,34
2021-07-04,59,23,25
2021-07-11,59,22,24
2021-07-18,60,22,25
2021-07-25,67,19,20
2021-08-01,55,22,21
2021-08-08,46,29,38
2021-08-15,59,18,33
2021-08-22,70,20,28
2021-08-29,100,18,26
2021-09-05,64,13,18
2021-09-12,58,15,29
2021-09-19,60,17,30
2021-09-26,66,17,23
2021-10-03,60,17,32
2021-10-10,65,30,22
2021-10-17,58,26,20
2021-10-24,76,25,28
2021-10-31,70,33,24
2021-11-07,64,38,44
