date,AmerisourceBergen
2020-11-15,56
2020-11-22,43
2020-11-29,60
2020-12-06,68
2020-12-13,64
2020-12-20,40
2020-12-27,49
2021-01-03,100
2021-01-10,74
2021-01-17,68
2021-01-24,63
2021-01-31,71
2021-02-07,56
2021-02-14,51
2021-02-21,43
2021-02-28,61
2021-03-07,54
2021-03-14,45
2021-03-21,51
2021-03-28,48
2021-04-04,62
2021-04-11,56
2021-04-18,51
2021-04-25,38
2021-05-02,76
2021-05-09,66
2021-05-16,62
2021-05-23,59
2021-05-30,45
2021-06-06,68
2021-06-13,69
2021-06-20,60
2021-06-27,71
2021-07-04,61
2021-07-11,48
2021-07-18,60
2021-07-25,58
2021-08-01,72
2021-08-08,48
2021-08-15,50
2021-08-22,47
2021-08-29,61
2021-09-05,51
2021-09-12,59
2021-09-19,39
2021-09-26,52
2021-10-03,69
2021-10-10,57
2021-10-17,39
2021-10-24,64
2021-10-31,65
2021-11-07,73
