date,Abiomed,abiomed academy,abiomed aachen,abiomed aktie
2020-11-15,62,0,23,89
2020-11-22,22,0,0,0
2020-11-29,22,0,0,0
2020-12-06,33,0,0,0
2020-12-13,6,50,0,0
2020-12-20,19,0,0,0
2020-12-27,30,0,24,0
2021-01-03,22,0,23,89
2021-01-10,79,0,23,0
2021-01-17,61,0,0,0
2021-01-24,100,50,0,0
2021-01-31,39,0,45,89
2021-02-07,50,0,23,0
2021-02-14,33,0,0,0
2021-02-21,39,0,0,0
2021-02-28,50,100,0,0
2021-03-07,34,0,23,0
2021-03-14,63,0,21,0
2021-03-21,50,0,0,89
2021-03-28,41,52,0,0
2021-04-04,51,0,0,0
2021-04-11,67,0,0,89
2021-04-18,56,0,0,0
2021-04-25,44,0,23,0
2021-05-02,45,0,45,0
2021-05-09,29,0,0,92
2021-05-16,28,0,0,0
2021-05-23,34,50,0,0
2021-05-30,41,0,0,0
2021-06-06,63,0,0,91
2021-06-13,39,0,23,0
2021-06-20,40,0,23,0
2021-06-27,23,0,47,0
2021-07-04,35,0,0,0
2021-07-11,70,0,0,93
2021-07-18,30,0,0,0
2021-07-25,35,0,0,0
2021-08-01,35,52,0,93
2021-08-08,29,0,0,0
2021-08-15,63,51,47,0
2021-08-22,37,0,0,0
2021-08-29,43,0,0,97
2021-09-05,25,56,0,0
2021-09-12,55,0,25,0
2021-09-19,73,0,0,0
2021-09-26,24,0,0,0
2021-10-03,49,0,0,0
2021-10-10,44,0,0,100
2021-10-17,12,0,0,0
2021-10-24,25,0,100,98
2021-10-31,25,56,0,0
2021-11-07,25,0,0,0
