date,Abbott Laboratories,abbott laboratories maine,abbott laboratories share price
2020-11-15,84,25,0
2020-11-22,56,0,0
2020-11-29,82,0,58
2020-12-06,83,0,39
2020-12-13,54,100,0
2020-12-20,44,28,0
2020-12-27,47,0,63
2021-01-03,69,0,20
2021-01-10,59,0,20
2021-01-17,80,49,39
2021-01-24,100,25,39
2021-01-31,83,0,39
2021-02-07,69,0,20
2021-02-14,54,25,0
2021-02-21,44,0,20
2021-02-28,44,0,20
2021-03-07,59,25,20
2021-03-14,41,23,0
2021-03-21,76,0,0
2021-03-28,67,26,0
2021-04-04,47,0,20
2021-04-11,64,25,39
2021-04-18,71,25,39
2021-04-25,83,0,39
2021-05-02,83,0,0
2021-05-09,61,26,40
2021-05-16,42,0,0
2021-05-23,47,0,0
2021-05-30,87,0,41
2021-06-06,68,0,100
2021-06-13,64,25,20
2021-06-20,58,0,0
2021-06-27,66,0,40
2021-07-04,46,0,0
2021-07-11,59,0,0
2021-07-18,63,0,21
2021-07-25,58,0,0
2021-08-01,59,0,61
2021-08-08,57,0,62
2021-08-15,73,0,40
2021-08-22,67,0,0
2021-08-29,48,0,0
2021-09-05,50,56,22
2021-09-12,62,27,0
2021-09-19,56,0,85
2021-09-26,74,0,0
2021-10-03,75,27,0
2021-10-10,36,0,22
2021-10-17,68,27,43
2021-10-24,49,0,0
2021-10-31,49,28,44
2021-11-07,78,0,30
