date,Allegion,allegion india pvt ltd,allegion bangalore,allegion 360 portal
2020-11-15,38,0,0,0
2020-11-22,52,0,0,44
2020-11-29,84,0,0,0
2020-12-06,90,0,0,0
2020-12-13,34,0,0,0
2020-12-20,58,0,55,0
2020-12-27,46,0,0,0
2021-01-03,48,0,0,0
2021-01-10,72,0,0,0
2021-01-17,99,0,0,44
2021-01-24,33,0,0,0
2021-01-31,38,0,0,44
2021-02-07,38,0,50,45
2021-02-14,100,0,0,44
2021-02-21,81,0,49,0
2021-02-28,96,97,0,45
2021-03-07,96,49,0,0
2021-03-14,45,0,0,0
2021-03-21,81,0,0,89
2021-03-28,55,0,0,0
2021-04-04,72,0,0,0
2021-04-11,96,0,0,45
2021-04-18,76,0,0,44
2021-04-25,43,0,0,88
2021-05-02,76,48,0,0
2021-05-09,64,0,0,46
2021-05-16,77,0,100,0
2021-05-23,81,0,0,0
2021-05-30,69,50,0,0
2021-06-06,83,0,0,0
2021-06-13,53,49,0,0
2021-06-20,79,100,0,46
2021-06-27,69,0,0,0
2021-07-04,75,0,0,46
2021-07-11,85,51,0,46
2021-07-18,76,0,0,47
2021-07-25,74,0,0,0
2021-08-01,60,0,0,0
2021-08-08,60,51,0,0
2021-08-15,49,0,0,0
2021-08-22,58,0,0,98
2021-08-29,94,0,0,0
2021-09-05,48,0,0,100
2021-09-12,89,0,0,49
2021-09-19,73,0,0,0
2021-09-26,77,0,0,48
2021-10-03,63,0,0,0
2021-10-10,70,0,0,0
2021-10-17,58,53,0,0
2021-10-24,89,0,55,0
2021-10-31,58,0,0,49
2021-11-07,94,0,0,0
