date,Ametek,ametek power supply,ametek india,ametek careers
2020-11-15,70,46,0,45
2020-11-22,41,0,0,45
2020-11-29,52,0,0,0
2020-12-06,68,0,0,0
2020-12-13,60,0,45,0
2020-12-20,47,50,99,0
2020-12-27,16,0,0,0
2021-01-03,69,0,0,46
2021-01-10,71,0,0,0
2021-01-17,97,45,44,0
2021-01-24,76,0,0,0
2021-01-31,83,45,44,45
2021-02-07,90,46,0,0
2021-02-14,70,45,0,45
2021-02-21,100,45,0,0
2021-02-28,81,0,0,0
2021-03-07,56,46,0,46
2021-03-14,72,43,0,0
2021-03-21,62,46,0,0
2021-03-28,74,47,46,47
2021-04-04,86,0,45,46
2021-04-11,64,0,45,0
2021-04-18,58,45,44,0
2021-04-25,76,0,44,0
2021-05-02,73,45,44,0
2021-05-09,59,0,46,47
2021-05-16,73,0,45,46
2021-05-23,68,0,0,0
2021-05-30,69,0,0,0
2021-06-06,85,0,45,0
2021-06-13,60,0,45,46
2021-06-20,84,0,0,0
2021-06-27,62,0,0,0
2021-07-04,65,0,0,0
2021-07-11,56,47,0,0
2021-07-18,57,0,47,0
2021-07-25,73,0,46,0
2021-08-01,80,0,0,0
2021-08-08,54,48,0,0
2021-08-15,57,0,0,0
2021-08-22,73,50,0,50
2021-08-29,63,0,0,0
2021-09-05,60,0,100,0
2021-09-12,92,100,98,0
2021-09-19,60,49,0,49
2021-09-26,53,49,0,0
2021-10-03,61,0,0,0
2021-10-10,74,0,0,0
2021-10-17,61,0,0,100
2021-10-24,45,0,0,0
2021-10-31,78,0,0,0
2021-11-07,94,0,0,0
