date,Amgen,lumakras amgen,amgen layoffs 2021,ubs aktie
2020-11-15,67,0,0,100
2020-11-22,54,0,0,82
2020-11-29,70,0,0,68
2020-12-06,76,0,0,55
2020-12-13,73,0,0,54
2020-12-20,58,0,0,37
2020-12-27,48,0,0,47
2021-01-03,74,0,0,70
2021-01-10,94,0,0,81
2021-01-17,81,0,0,52
2021-01-24,94,0,100,79
2021-01-31,77,0,0,61
2021-02-07,70,0,0,55
2021-02-14,74,0,0,70
2021-02-21,72,0,0,75
2021-02-28,81,0,0,83
2021-03-07,77,0,0,90
2021-03-14,82,0,0,59
2021-03-21,72,0,0,73
2021-03-28,48,0,0,91
2021-04-04,59,0,0,50
2021-04-11,55,0,0,59
2021-04-18,65,0,0,55
2021-04-25,100,0,0,61
2021-05-02,75,0,0,63
2021-05-09,60,0,0,50
2021-05-16,74,0,0,52
2021-05-23,80,19,0,38
2021-05-30,68,100,0,40
2021-06-06,86,0,0,61
2021-06-13,70,0,0,57
2021-06-20,84,20,0,56
2021-06-27,83,40,0,44
2021-07-04,62,0,0,56
2021-07-11,70,20,0,37
2021-07-18,76,0,0,66
2021-07-25,54,20,0,41
2021-08-01,85,0,0,73
2021-08-08,82,41,0,57
2021-08-15,65,20,0,51
2021-08-22,60,21,0,49
2021-08-29,67,0,0,63
2021-09-05,66,0,0,43
2021-09-12,73,21,0,37
2021-09-19,72,0,0,40
2021-09-26,78,0,0,48
2021-10-03,79,0,0,43
2021-10-10,83,0,0,56
2021-10-17,83,0,0,49
2021-10-24,64,21,0,77
2021-10-31,82,0,37,84
2021-11-07,81,0,0,43
