date,American Tower,american tower logo
2020-11-15,79,0
2020-11-22,74,0
2020-11-29,99,0
2020-12-06,96,0
2020-12-13,71,92
2020-12-20,53,0
2020-12-27,75,0
2021-01-03,71,0
2021-01-10,98,0
2021-01-17,96,0
2021-01-24,90,0
2021-01-31,97,0
2021-02-07,60,91
2021-02-14,70,0
2021-02-21,64,0
2021-02-28,87,91
2021-03-07,87,91
2021-03-14,77,0
2021-03-21,68,0
2021-03-28,58,0
2021-04-04,73,0
2021-04-11,62,0
2021-04-18,54,0
2021-04-25,80,0
2021-05-02,68,91
2021-05-09,73,0
2021-05-16,69,0
2021-05-23,77,0
2021-05-30,62,0
2021-06-06,74,0
2021-06-13,65,0
2021-06-20,73,94
2021-06-27,66,0
2021-07-04,73,0
2021-07-11,58,0
2021-07-18,62,0
2021-07-25,64,0
2021-08-01,82,0
2021-08-08,89,96
2021-08-15,62,93
2021-08-22,66,0
2021-08-29,83,0
2021-09-05,72,0
2021-09-12,100,100
2021-09-19,97,0
2021-09-26,72,0
2021-10-03,52,0
2021-10-10,65,0
2021-10-17,68,0
2021-10-24,93,0
2021-10-31,57,0
2021-11-07,59,0
