date,Amazon,amazon prime day 2021,invincible amazon,amazon prime gaming
2020-11-15,88,0,0,23
2020-11-22,100,0,2,18
2020-11-29,94,0,1,22
2020-12-06,91,0,1,25
2020-12-13,92,0,1,24
2020-12-20,84,0,1,27
2020-12-27,83,1,1,29
2021-01-03,79,1,1,21
2021-01-10,76,1,1,25
2021-01-17,74,1,3,22
2021-01-24,73,1,2,30
2021-01-31,75,1,1,24
2021-02-07,72,1,1,20
2021-02-14,67,1,4,21
2021-02-21,68,1,8,27
2021-02-28,71,1,6,20
2021-03-07,67,1,4,21
2021-03-14,66,1,6,30
2021-03-21,69,2,41,21
2021-03-28,68,1,100,24
2021-04-04,68,2,41,17
2021-04-11,67,2,29,20
2021-04-18,66,2,29,20
2021-04-25,67,2,39,25
2021-05-02,67,4,51,20
2021-05-09,64,4,46,27
2021-05-16,66,5,26,24
2021-05-23,62,7,16,24
2021-05-30,66,16,18,41
2021-06-06,67,24,13,31
2021-06-13,62,46,11,24
2021-06-20,72,100,7,24
2021-06-27,63,6,6,20
2021-07-04,61,21,4,18
2021-07-11,63,15,5,23
2021-07-18,62,8,4,59
2021-07-25,61,8,4,49
2021-08-01,61,3,3,81
2021-08-08,59,3,5,30
2021-08-15,61,2,4,29
2021-08-22,62,2,3,27
2021-08-29,62,1,4,29
2021-09-05,64,3,3,26
2021-09-12,62,3,2,38
2021-09-19,59,2,2,26
2021-09-26,61,3,2,35
2021-10-03,67,3,3,34
2021-10-10,65,4,2,34
2021-10-17,64,2,1,22
2021-10-24,66,4,4,100
2021-10-31,65,3,2,69
2021-11-07,68,4,3,49
