datetime,close
2020-06-05,57.27
2020-06-08,59.31
2020-06-09,57.65
2020-06-10,55.47
2020-06-11,52.49
2020-06-12,52.89
2020-06-15,53.46
2020-06-16,54.5
2020-06-17,53.66
2020-06-18,53.11
2020-06-19,53.81
2020-06-22,53.82
2020-06-23,53.48
2020-06-24,52.01
2020-06-25,51.87
2020-06-26,50.55
2020-06-29,51.97
2020-06-30,52.19
2020-07-01,51.68
2020-07-02,51.8
2020-07-06,51.74
2020-07-07,50.22
2020-07-08,50.29
2020-07-09,48.88
2020-07-10,49.36
2020-07-13,49.87
2020-07-14,50.93
2020-07-15,52.09
2020-07-16,52.42
2020-07-17,53.13
2020-07-20,53.15
2020-07-21,55.99
2020-07-22,56.16
2020-07-23,56.55
2020-07-24,56.5
2020-07-27,57.48
2020-07-28,56.58
2020-07-29,57.7
2020-07-30,56.48
2020-07-31,54.62
2020-08-03,58.04
2020-08-04,57.83
2020-08-05,57.6
2020-08-06,53.11
2020-08-07,52.58
2020-08-10,53.06
2020-08-11,53.04
2020-08-12,53.82
2020-08-13,52.43
2020-08-14,53.68
2020-08-17,52.73
2020-08-18,52.05
2020-08-19,51.64
2020-08-20,50.16
2020-08-21,49.85
2020-08-24,49.8
2020-08-25,50.56
2020-08-26,50.95
2020-08-27,50.67
2020-08-28,50.5
2020-08-31,50.76
2020-09-01,49.34
2020-09-02,50.99
2020-09-03,50.02
2020-09-04,49.72
2020-09-08,49.27
2020-09-09,49.54
2020-09-10,48.54
2020-09-11,48.38
2020-09-14,47.05
2020-09-15,46.55
2020-09-16,47.21
2020-09-17,47.3
2020-09-18,47.68
2020-09-21,47.1
2020-09-22,47.08
2020-09-23,45.25
2020-09-24,45.81
2020-09-25,47.43
2020-09-28,47.55
2020-09-29,46.89
2020-09-30,46.95
2020-10-01,46.08
2020-10-02,46.3
2020-10-05,47.15
2020-10-06,46.47
2020-10-07,47.15
2020-10-08,48.68
2020-10-09,48.03
2020-10-12,48.32
2020-10-13,47.92
2020-10-14,48.37
2020-10-15,48.92
2020-10-16,48.79
2020-10-19,47.9
2020-10-20,47.71
2020-10-21,47.83
2020-10-22,48.77
2020-10-23,49.34
2020-10-26,48.03
2020-10-27,47.48
2020-10-28,45.96
2020-10-29,45.61
2020-10-30,45.79
2020-11-02,47.52
2020-11-03,48.79
2020-11-04,49.44
2020-11-05,53.06
2020-11-06,52.64
2020-11-09,55.41
2020-11-10,57.37
2020-11-11,56.23
2020-11-12,56.0
2020-11-13,57.43
2020-11-16,58.47
2020-11-17,54.68
2020-11-18,53.32
2020-11-19,52.29
2020-11-20,51.86
2020-11-23,52.29
2020-11-24,53.97
2020-11-25,53.77
2020-11-27,53.78
2020-11-30,54.59
2020-12-01,54.03
2020-12-02,55.65
2020-12-03,55.43
2020-12-04,56.99
2020-12-07,55.4
2020-12-08,56.47
2020-12-09,56.15
2020-12-10,55.45
2020-12-11,54.28
2020-12-14,53.55
2020-12-15,54.92
2020-12-16,54.24
2020-12-17,54.22
2020-12-18,54.96
2020-12-21,54.02
2020-12-22,53.63
2020-12-23,53.86
2020-12-24,53.8
2020-12-28,53.66
2020-12-29,53.5
2020-12-30,53.49
2020-12-31,53.56
2021-01-04,52.93
2021-01-05,53.12
2021-01-06,55.06
2021-01-07,56.31
2021-01-08,55.91
2021-01-11,55.74
2021-01-12,55.99
2021-01-13,55.4
2021-01-14,55.39
2021-01-15,55.44
2021-01-19,54.81
2021-01-20,54.59
2021-01-21,55.07
2021-01-22,55.39
2021-01-25,55.03
2021-01-26,55.48
2021-01-27,55.29
2021-01-28,55.57
2021-01-29,53.73
2021-02-01,54.48
2021-02-02,54.54
2021-02-03,54.4
2021-02-04,55.98
2021-02-05,54.26
2021-02-08,52.91
2021-02-09,52.95
2021-02-10,53.06
2021-02-11,52.41
2021-02-12,51.86
2021-02-16,51.75
2021-02-17,51.72
2021-02-18,51.37
2021-02-19,52.0
2021-02-22,52.13
2021-02-23,51.98
2021-02-24,52.55
2021-02-25,52.14
2021-02-26,51.52
2021-03-01,52.75
2021-03-02,52.97
2021-03-03,53.25
2021-03-04,52.2
2021-03-05,53.49
2021-03-08,54.7
2021-03-09,54.31
2021-03-10,56.17
2021-03-11,55.72
2021-03-12,57.35
2021-03-15,58.0
2021-03-16,57.27
2021-03-17,57.94
2021-03-18,58.28
2021-03-19,58.68
2021-03-22,59.14
2021-03-23,57.7
2021-03-24,59.11
2021-03-25,60.39
2021-03-26,61.86
2021-03-29,62.46
2021-03-30,62.28
2021-03-31,60.75
2021-04-01,60.88
2021-04-05,60.54
2021-04-06,60.24
2021-04-07,60.7
2021-04-08,59.25
2021-04-09,60.05
2021-04-12,60.86
2021-04-13,60.14
2021-04-14,60.82
2021-04-15,60.87
2021-04-16,61.31
2021-04-19,61.23
2021-04-20,61.05
2021-04-21,61.71
2021-04-22,60.69
2021-04-23,61.41
2021-04-26,60.48
2021-04-27,59.76
2021-04-28,60.08
2021-04-29,60.66
2021-04-30,60.34
2021-05-03,61.55
2021-05-04,62.02
2021-05-05,60.83
2021-05-06,56.54
2021-05-07,58.16
2021-05-10,58.33
2021-05-11,56.17
