datetime,close
2020-06-05,68.35
2020-06-08,70.62
2020-06-09,69.37
2020-06-10,67.51
2020-06-11,63.16
2020-06-12,64.15
2020-06-15,63.32
2020-06-16,65.58
2020-06-17,65.0
2020-06-18,64.49
2020-06-19,64.49
2020-06-22,64.3
2020-06-23,64.43
2020-06-24,63.18
2020-06-25,64.02
2020-06-26,63.45
2020-06-29,64.42
2020-06-30,64.97
2020-07-01,64.56
2020-07-02,64.7
2020-07-06,64.93
2020-07-07,63.92
2020-07-08,63.14
2020-07-09,61.28
2020-07-10,62.65
2020-07-13,62.62
2020-07-14,63.7
2020-07-15,64.58
2020-07-16,64.99
2020-07-17,65.36
2020-07-20,63.91
2020-07-21,64.52
2020-07-22,63.78
2020-07-23,63.79
2020-07-24,63.34
2020-07-27,62.57
2020-07-28,63.27
2020-07-29,64.22
2020-07-30,64.0
2020-07-31,62.94
2020-08-03,63.86
2020-08-04,64.98
2020-08-05,64.4
2020-08-06,64.12
2020-08-07,64.96
2020-08-10,65.71
2020-08-11,65.26
2020-08-12,64.99
2020-08-13,64.7
2020-08-14,65.67
2020-08-17,64.9
2020-08-18,65.18
2020-08-19,65.28
2020-08-20,63.72
2020-08-21,63.94
2020-08-24,63.87
2020-08-25,63.47
2020-08-26,62.7
2020-08-27,63.39
2020-08-28,63.21
2020-08-31,62.12
2020-09-01,60.28
2020-09-02,60.91
2020-09-03,60.45
2020-09-04,60.24
2020-09-08,59.53
2020-09-09,59.53
2020-09-10,58.0
2020-09-11,57.4
2020-09-14,57.97
2020-09-15,57.0
2020-09-16,57.48
2020-09-17,58.41
2020-09-18,59.57
2020-09-21,58.87
2020-09-22,58.14
2020-09-23,57.4
2020-09-24,56.71
2020-09-25,57.32
2020-09-28,57.94
2020-09-29,57.54
2020-09-30,58.4
2020-10-01,57.84
2020-10-02,57.83
2020-10-05,58.95
2020-10-06,58.23
2020-10-07,59.42
2020-10-08,60.47
2020-10-09,59.4
2020-10-12,59.72
2020-10-13,59.12
2020-10-14,58.51
2020-10-15,59.32
2020-10-16,59.59
2020-10-19,58.78
2020-10-20,59.43
2020-10-21,59.23
2020-10-22,59.48
2020-10-23,60.25
2020-10-26,59.56
2020-10-27,58.15
2020-10-28,56.57
2020-10-29,55.93
2020-10-30,56.09
2020-11-02,58.08
2020-11-03,59.45
2020-11-04,60.37
2020-11-05,61.41
2020-11-06,64.95
2020-11-09,67.53
2020-11-10,70.23
2020-11-11,69.51
2020-11-12,69.39
2020-11-13,71.0
2020-11-16,73.47
2020-11-17,67.14
2020-11-18,66.35
2020-11-19,66.06
2020-11-20,66.39
2020-11-23,66.78
2020-11-24,68.43
2020-11-25,67.63
2020-11-27,67.87
2020-11-30,67.79
2020-12-01,67.54
2020-12-02,69.63
2020-12-03,72.52
2020-12-04,74.5
2020-12-07,73.63
2020-12-08,73.86
2020-12-09,73.53
2020-12-10,72.21
2020-12-11,71.58
2020-12-14,69.72
2020-12-15,69.89
2020-12-16,69.32
2020-12-17,69.59
2020-12-18,69.55
2020-12-21,68.71
2020-12-22,67.22
2020-12-23,68.01
2020-12-24,67.97
2020-12-28,68.08
2020-12-29,67.9
2020-12-30,67.75
2020-12-31,68.3
2021-01-04,69.99
2021-01-05,70.46
2021-01-06,72.56
2021-01-07,73.99
2021-01-08,74.86
2021-01-11,76.07
2021-01-12,76.26
2021-01-13,74.92
2021-01-14,75.05
2021-01-15,76.26
2021-01-19,75.4
2021-01-20,75.25
2021-01-21,74.08
2021-01-22,74.12
2021-01-25,73.21
2021-01-26,74.23
2021-01-27,72.42
2021-01-28,72.61
2021-01-29,71.65
2021-02-01,71.46
2021-02-02,71.83
2021-02-03,73.24
2021-02-04,73.0
2021-02-05,72.18
2021-02-08,72.98
2021-02-09,73.49
2021-02-10,73.83
2021-02-11,73.6
2021-02-12,74.21
2021-02-16,70.53
2021-02-17,72.71
2021-02-18,71.52
2021-02-19,70.42
2021-02-22,70.48
2021-02-23,69.64
2021-02-24,70.4
2021-02-25,69.33
2021-02-26,68.13
2021-03-01,69.28
2021-03-02,68.94
2021-03-03,69.03
2021-03-04,69.17
2021-03-05,70.63
2021-03-08,71.73
2021-03-09,71.23
2021-03-10,72.7
2021-03-11,72.35
2021-03-12,73.92
2021-03-15,74.97
2021-03-16,75.07
2021-03-17,74.01
2021-03-18,74.48
2021-03-19,73.18
2021-03-22,73.47
2021-03-23,71.9
2021-03-24,73.21
2021-03-25,74.07
2021-03-26,75.96
2021-03-29,76.3
2021-03-30,76.08
2021-03-31,75.23
2021-04-01,74.3
2021-04-05,75.04
2021-04-06,74.62
2021-04-07,74.49
2021-04-08,73.79
2021-04-09,74.07
2021-04-12,74.46
2021-04-13,74.02
2021-04-14,75.08
2021-04-15,75.78
2021-04-16,75.88
2021-04-19,75.75
2021-04-20,75.91
2021-04-21,76.7
2021-04-22,76.18
2021-04-23,76.05
2021-04-26,75.75
2021-04-27,75.11
2021-04-28,75.4
2021-04-29,76.37
2021-04-30,76.4
2021-05-03,77.69
2021-05-04,81.12
2021-05-05,83.04
2021-05-06,83.7
2021-05-07,85.11
2021-05-10,85.85
2021-05-11,84.37
2021-05-12,83.38
2021-05-13,84.27
2021-05-14,84.33
2021-05-17,84.56
2021-05-18,88.61
2021-05-19,89.21
2021-05-20,89.07
2021-05-21,89.81
2021-05-24,89.71
2021-05-25,88.7
2021-05-26,87.32
2021-05-27,86.42
2021-05-28,86.44
2021-06-01,85.87
2021-06-02,85.99
2021-06-03,87.06
2021-06-04,86.47
2021-06-07,86.33
2021-06-08,85.81
2021-06-09,84.95
2021-06-10,85.5
2021-06-11,85.47
2021-06-14,84.62
2021-06-15,85.4
2021-06-16,84.74
2021-06-17,84.23
2021-06-18,82.4
2021-06-21,84.02
2021-06-22,83.81
2021-06-23,83.73
2021-06-24,83.77
2021-06-25,84.08
2021-06-28,84.12
2021-06-29,83.49
2021-06-30,83.44
2021-07-01,82.22
2021-07-02,82.43
2021-07-06,81.18
2021-07-07,81.34
2021-07-08,80.22
2021-07-09,81.32
2021-07-12,81.82
2021-07-13,81.66
2021-07-14,82.42
2021-07-15,82.07
2021-07-16,81.72
2021-07-19,80.67
2021-07-20,81.8
2021-07-21,83.06
2021-07-22,82.63
2021-07-23,83.27
2021-07-26,82.87
2021-07-27,83.64
2021-07-28,83.3
2021-07-29,83.06
2021-07-30,82.36
2021-08-02,82.41
2021-08-03,84.0
2021-08-04,81.55
2021-08-05,80.05
2021-08-06,81.25
2021-08-09,81.65
2021-08-10,83.24
2021-08-11,84.95
2021-08-12,85.14
2021-08-13,84.36
2021-08-16,85.39
2021-08-17,86.47
2021-08-18,84.59
2021-08-19,84.23
2021-08-20,84.85
2021-08-23,84.6
2021-08-24,83.81
2021-08-25,83.57
2021-08-26,83.03
2021-08-27,83.71
2021-08-30,84.6
2021-08-31,86.39
2021-09-01,85.71
2021-09-02,86.96
2021-09-03,87.47
2021-09-07,86.58
2021-09-08,86.22
2021-09-09,85.41
2021-09-10,83.79
2021-09-13,84.51
2021-09-14,83.89
2021-09-15,85.54
2021-09-16,85.35
2021-09-17,85.51
2021-09-20,84.58
2021-09-21,83.93
2021-09-22,83.86
2021-09-23,84.86
2021-09-24,84.71
2021-09-27,85.74
2021-09-28,85.66
2021-09-29,86.79
2021-09-30,84.86
2021-10-01,84.07
2021-10-04,83.81
2021-10-05,83.64
2021-10-06,83.15
2021-10-07,84.2
2021-10-08,84.37
2021-10-11,84.28
2021-10-12,83.79
2021-10-13,83.16
2021-10-14,84.56
2021-10-15,85.84
2021-10-18,84.48
2021-10-19,84.89
2021-10-20,86.55
2021-10-21,86.85
2021-10-22,87.52
2021-10-25,87.68
2021-10-26,88.32
2021-10-27,88.09
2021-10-28,88.62
2021-10-29,89.28
2021-11-01,90.65
2021-11-02,91.15
2021-11-03,96.34
2021-11-04,94.49
2021-11-05,93.78
2021-11-08,93.76
2021-11-09,92.76
2021-11-10,92.96
2021-11-11,94.21
2021-11-12,94.02
