datetime,close
2020-06-05,56.48
2020-06-08,55.12
2020-06-09,55.53
2020-06-10,56.28
2020-06-11,51.07
2020-06-12,54.0
2020-06-15,55.88
2020-06-16,58.01
2020-06-17,58.53
2020-06-18,57.31
2020-06-19,56.06
2020-06-22,56.45
2020-06-23,56.4
2020-06-24,54.09
2020-06-25,54.11
2020-06-26,53.03
2020-06-29,54.62
2020-06-30,55.45
2020-07-01,53.86
2020-07-02,54.07
2020-07-06,55.92
2020-07-07,56.55
2020-07-08,58.85
2020-07-09,58.04
2020-07-10,58.66
2020-07-13,56.91
2020-07-14,59.15
2020-07-15,60.05
2020-07-16,62.54
2020-07-17,63.48
2020-07-20,63.5
2020-07-21,62.71
2020-07-22,64.8
2020-07-23,63.88
2020-07-24,63.75
2020-07-27,66.57
2020-07-28,64.58
2020-07-29,66.6
2020-07-30,66.05
2020-07-31,66.16
2020-08-03,68.32
2020-08-04,67.34
2020-08-05,68.09
2020-08-06,67.62
2020-08-07,68.38
2020-08-10,69.7
2020-08-11,69.04
2020-08-12,71.26
2020-08-13,71.48
2020-08-14,71.39
2020-08-17,73.33
2020-08-18,73.54
2020-08-19,74.03
2020-08-20,74.6
2020-08-21,76.97
2020-08-24,76.17
2020-08-25,75.48
2020-08-26,74.07
2020-08-27,72.5
2020-08-28,71.84
2020-08-31,71.37
2020-09-01,73.36
2020-09-02,72.89
2020-09-03,70.56
2020-09-04,68.23
2020-09-08,68.01
2020-09-09,70.07
2020-09-10,69.73
2020-09-11,71.39
2020-09-14,72.72
2020-09-15,71.77
2020-09-16,74.37
2020-09-17,73.32
2020-09-18,72.69
2020-09-21,72.12
2020-09-22,75.51
2020-09-23,71.17
2020-09-24,72.0
2020-09-25,71.83
2020-09-28,74.49
2020-09-29,74.02
2020-09-30,75.63
2020-10-01,77.54
2020-10-02,77.89
2020-10-05,75.7
2020-10-06,75.11
2020-10-07,75.76
2020-10-08,77.71
2020-10-09,78.09
2020-10-12,78.35
2020-10-13,77.85
2020-10-14,78.27
2020-10-15,78.82
2020-10-16,77.09
2020-10-19,75.79
2020-10-20,76.52
2020-10-21,73.11
2020-10-22,70.59
2020-10-23,73.06
2020-10-26,70.84
2020-10-27,69.1
2020-10-28,68.88
2020-10-29,68.03
2020-10-30,66.81
2020-11-02,69.18
2020-11-03,69.46
2020-11-04,74.75
2020-11-05,72.91
2020-11-06,70.61
2020-11-09,64.95
2020-11-10,70.88
2020-11-11,72.85
2020-11-12,71.42
2020-11-13,73.27
2020-11-16,74.13
2020-11-17,73.47
2020-11-18,74.54
2020-11-19,75.1
2020-11-20,75.0
2020-11-23,77.28
2020-11-24,74.29
2020-11-25,76.06
2020-11-27,75.98
2020-11-30,74.5
2020-12-01,72.09
2020-12-02,69.27
2020-12-03,72.34
2020-12-04,71.27
2020-12-07,73.8
2020-12-08,70.83
2020-12-09,69.91
2020-12-10,69.97
2020-12-11,69.91
2020-12-14,70.4
2020-12-15,70.95
2020-12-16,71.18
2020-12-17,73.47
2020-12-18,73.23
2020-12-21,72.51
2020-12-22,72.32
2020-12-23,70.75
2020-12-24,71.85
2020-12-28,70.4
2020-12-29,69.99
2020-12-30,70.12
2020-12-31,68.92
2021-01-04,67.34
2021-01-05,66.41
2021-01-06,65.85
2021-01-07,68.69
2021-01-08,66.96
2021-01-11,68.06
2021-01-12,68.43
2021-01-13,68.72
2021-01-14,69.03
2021-01-15,69.36
2021-01-19,71.31
2021-01-20,75.11
2021-01-21,76.57
2021-01-22,77.71
2021-01-25,78.97
2021-01-26,77.79
2021-01-27,74.66
2021-01-28,76.8
2021-01-29,76.8
2021-02-01,77.09
2021-02-02,77.42
2021-02-03,76.55
2021-02-04,77.08
2021-02-05,80.02
2021-02-08,82.96
2021-02-09,81.8
2021-02-10,82.56
2021-02-11,83.45
2021-02-12,82.18
2021-02-16,78.96
2021-02-17,78.39
2021-02-18,78.24
2021-02-19,79.21
2021-02-22,77.46
2021-02-23,77.9
2021-02-24,80.05
2021-02-25,74.53
2021-02-26,76.87
2021-03-01,77.64
2021-03-02,78.78
2021-03-03,76.04
2021-03-04,74.81
2021-03-05,79.01
2021-03-08,80.51
2021-03-09,79.74
2021-03-10,82.09
2021-03-11,83.31
2021-03-12,80.69
2021-03-15,83.72
2021-03-16,83.26
2021-03-17,86.99
2021-03-18,82.68
2021-03-19,83.63
2021-03-22,84.49
2021-03-23,83.44
2021-03-24,83.56
2021-03-25,86.05
2021-03-26,89.85
2021-03-29,87.87
2021-03-30,89.24
2021-03-31,89.12
2021-04-01,91.05
2021-04-05,92.64
2021-04-06,93.38
2021-04-07,92.17
2021-04-08,91.47
2021-04-09,93.93
2021-04-12,93.75
2021-04-13,93.14
2021-04-14,92.83
2021-04-15,93.05
2021-04-16,96.37
2021-04-19,95.72
2021-04-20,91.93
2021-04-21,93.3
2021-04-22,94.92
2021-04-23,98.21
2021-04-26,100.41
2021-04-27,100.58
2021-04-28,99.81
2021-04-29,101.47
2021-04-30,98.29
2021-05-03,100.85
2021-05-04,101.66
2021-05-05,101.71
2021-05-06,101.5
2021-05-07,103.87
2021-05-10,104.45
2021-05-11,99.6
2021-05-12,92.35
2021-05-13,94.97
2021-05-14,96.29
2021-05-17,95.65
2021-05-18,92.24
2021-05-19,91.31
2021-05-20,91.51
2021-05-21,90.53
2021-05-24,91.1
2021-05-25,93.2
2021-05-26,94.29
2021-05-27,95.58
2021-05-28,95.29
2021-06-01,95.05
2021-06-02,92.96
2021-06-03,91.33
2021-06-04,92.58
2021-06-07,92.33
2021-06-08,92.89
2021-06-09,90.68
2021-06-10,87.84
2021-06-11,88.73
2021-06-14,87.98
2021-06-15,88.66
2021-06-16,87.33
2021-06-17,88.87
2021-06-18,89.94
2021-06-21,90.55
2021-06-22,90.98
2021-06-23,89.66
2021-06-24,89.32
2021-06-25,88.85
2021-06-28,89.58
2021-06-29,90.51
2021-06-30,90.37
2021-07-01,92.81
2021-07-02,92.36
2021-07-06,90.9
2021-07-07,92.99
2021-07-08,89.09
2021-07-09,89.57
2021-07-12,89.03
2021-07-13,86.51
2021-07-14,86.77
2021-07-15,87.04
2021-07-16,86.3
2021-07-19,86.79
2021-07-20,89.06
2021-07-21,91.47
2021-07-22,89.64
2021-07-23,93.55
2021-07-26,92.52
2021-07-27,93.14
2021-07-28,91.29
2021-07-29,95.51
2021-07-30,95.43
2021-08-02,96.49
2021-08-03,97.55
2021-08-04,95.85
2021-08-05,96.34
2021-08-06,94.7
2021-08-09,94.21
2021-08-10,95.71
2021-08-11,98.45
2021-08-12,97.38
2021-08-13,97.78
2021-08-16,98.41
2021-08-17,94.58
2021-08-18,93.44
2021-08-19,93.24
2021-08-20,94.9
2021-08-23,94.63
2021-08-24,95.96
2021-08-25,97.16
2021-08-26,95.55
2021-08-27,96.96
