datetime,close
2020-06-05,24.78
2020-06-08,26.15
2020-06-09,23.88
2020-06-10,23.17
2020-06-11,22.34
2020-06-12,22.07
2020-06-15,22.75
2020-06-16,22.26
2020-06-17,22.17
2020-06-18,22.52
2020-06-19,22.15
2020-06-22,21.84
2020-06-23,22.16
2020-06-24,21.72
2020-06-25,21.26
2020-06-26,20.26
2020-06-29,21.23
2020-06-30,21.1
2020-07-01,21.07
2020-07-02,20.79
2020-07-06,21.24
2020-07-07,20.36
2020-07-08,20.22
2020-07-09,19.25
2020-07-10,20.23
2020-07-13,20.52
2020-07-14,20.65
2020-07-15,21.78
2020-07-16,22.02
2020-07-17,21.42
2020-07-20,20.77
2020-07-21,20.98
2020-07-22,21.11
2020-07-23,21.35
2020-07-24,21.15
2020-07-27,20.88
2020-07-28,20.78
2020-07-29,21.0
2020-07-30,21.15
2020-07-31,21.1
2020-08-03,21.34
2020-08-04,22.01
2020-08-05,21.12
2020-08-06,21.63
2020-08-07,20.98
2020-08-10,21.78
2020-08-11,22.48
2020-08-12,21.82
2020-08-13,21.97
2020-08-14,22.62
2020-08-17,22.09
2020-08-18,22.06
2020-08-19,22.22
2020-08-20,22.13
2020-08-21,21.99
2020-08-24,22.81
2020-08-25,22.86
2020-08-26,22.77
2020-08-27,22.86
2020-08-28,22.88
2020-08-31,22.07
2020-09-01,21.42
2020-09-02,21.81
2020-09-03,21.64
2020-09-04,22.81
2020-09-08,22.5
2020-09-09,23.06
2020-09-10,23.45
2020-09-11,22.83
2020-09-14,23.77
2020-09-15,23.82
2020-09-16,24.27
2020-09-17,24.2
2020-09-18,23.88
2020-09-21,22.42
2020-09-22,22.33
2020-09-23,21.12
2020-09-24,21.32
2020-09-25,21.33
2020-09-28,21.95
2020-09-29,21.75
2020-09-30,21.77
2020-10-01,21.51
2020-10-02,21.5
2020-10-05,21.91
2020-10-06,21.52
2020-10-07,22.19
2020-10-08,22.77
2020-10-09,22.24
2020-10-12,22.34
2020-10-13,21.57
2020-10-14,20.93
2020-10-15,20.97
2020-10-16,20.96
2020-10-19,20.2
2020-10-20,20.25
2020-10-21,20.72
2020-10-22,21.18
2020-10-23,21.1
2020-10-26,20.52
2020-10-27,20.1
2020-10-28,19.27
2020-10-29,19.74
2020-10-30,20.24
2020-11-02,21.12
2020-11-03,21.12
2020-11-04,20.53
2020-11-05,21.43
2020-11-06,20.93
2020-11-09,22.12
2020-11-10,22.92
2020-11-11,22.44
2020-11-12,21.8
2020-11-13,23.12
2020-11-16,24.07
2020-11-17,24.3
2020-11-18,24.5
2020-11-19,25.03
2020-11-20,25.49
2020-11-23,26.5
2020-11-24,27.2
2020-11-25,27.3
2020-11-27,27.48
2020-11-30,26.91
2020-12-01,27.68
2020-12-02,28.37
2020-12-03,28.24
2020-12-04,28.48
2020-12-07,28.8
2020-12-08,28.09
2020-12-09,28.5
2020-12-10,28.79
2020-12-11,28.93
2020-12-14,28.65
2020-12-15,28.72
2020-12-16,28.79
2020-12-17,28.74
2020-12-18,27.8
2020-12-21,27.37
2020-12-22,27.21
2020-12-23,28.26
2020-12-24,28.57
2020-12-28,29.45
2020-12-29,29.69
2020-12-30,29.81
2020-12-31,30.09
2021-01-04,30.63
2021-01-05,31.52
2021-01-06,34.25
2021-01-07,34.4
2021-01-08,34.63
2021-01-11,35.13
2021-01-12,35.3
2021-01-13,36.69
2021-01-14,37.25
2021-01-15,36.76
2021-01-19,36.15
2021-01-20,36.44
2021-01-21,36.88
2021-01-22,37.49
2021-01-25,39.0
2021-01-26,40.72
2021-01-27,43.87
2021-01-28,41.02
2021-01-29,41.42
2021-02-01,42.12
2021-02-02,40.08
2021-02-03,40.81
2021-02-04,41.11
2021-02-05,42.67
2021-02-08,43.25
2021-02-09,43.5
2021-02-10,45.07
2021-02-11,45.55
2021-02-12,47.8
2021-02-16,47.35
2021-02-17,49.36
2021-02-18,49.71
2021-02-19,50.79
2021-02-22,55.29
2021-02-23,52.95
2021-02-24,51.86
2021-02-25,51.32
2021-02-26,53.03
2021-03-01,58.18
2021-03-02,59.24
2021-03-03,61.45
2021-03-04,62.6
2021-03-05,64.25
2021-03-08,67.25
2021-03-09,63.01
2021-03-10,65.82
2021-03-11,66.97
2021-03-12,71.1
2021-03-15,73.67
2021-03-16,75.81
2021-03-17,74.07
2021-03-18,75.95
2021-03-19,77.27
2021-03-22,74.65
2021-03-23,71.68
2021-03-24,61.94
2021-03-25,57.75
2021-03-26,41.9
2021-03-29,41.23
2021-03-30,43.44
2021-03-31,43.46
2021-04-01,43.31
2021-04-05,41.64
2021-04-06,43.38
2021-04-07,43.39
2021-04-08,41.88
2021-04-09,42.0
2021-04-12,40.38
2021-04-13,40.38
2021-04-14,38.38
2021-04-15,37.82
2021-04-16,37.34
2021-04-19,36.37
2021-04-20,35.47
2021-04-21,38.48
2021-04-22,38.21
2021-04-23,38.4
2021-04-26,38.85
2021-04-27,39.01
2021-04-28,37.49
2021-04-29,37.95
2021-04-30,37.66
2021-05-03,36.12
2021-05-04,36.52
2021-05-05,36.66
2021-05-06,36.25
2021-05-07,37.56
2021-05-10,37.26
2021-05-11,36.78
2021-05-12,35.76
2021-05-13,35.23
2021-05-14,35.65
2021-05-17,33.85
2021-05-18,33.31
2021-05-19,33.11
2021-05-20,31.85
2021-05-21,31.47
2021-05-24,31.28
2021-05-25,30.66
2021-05-26,31.82
2021-05-27,32.52
2021-05-28,32.11
2021-06-01,32.0
2021-06-02,32.15
2021-06-03,31.63
2021-06-04,31.55
2021-06-07,31.24
2021-06-08,30.04
2021-06-09,30.56
2021-06-10,30.14
2021-06-11,30.79
2021-06-14,30.82
2021-06-15,30.07
2021-06-16,30.46
2021-06-17,29.41
2021-06-18,29.08
2021-06-21,29.69
2021-06-22,29.49
2021-06-23,29.51
2021-06-24,30.32
2021-06-25,30.86
2021-06-28,30.57
2021-06-29,30.34
2021-06-30,30.68
2021-07-01,31.2
2021-07-02,31.14
2021-07-06,30.34
2021-07-07,29.56
2021-07-08,28.78
2021-07-09,29.3
2021-07-12,29.65
2021-07-13,29.1
2021-07-14,28.74
2021-07-15,28.46
2021-07-16,28.18
2021-07-19,27.82
2021-07-20,28.13
2021-07-21,28.79
2021-07-22,28.48
2021-07-23,28.47
2021-07-26,29.34
2021-07-27,28.83
2021-07-28,29.39
2021-07-29,30.18
2021-07-30,29.01
2021-08-02,29.09
2021-08-03,27.87
2021-08-04,28.34
2021-08-05,29.2
2021-08-06,29.04
2021-08-09,29.23
2021-08-10,29.44
2021-08-11,29.45
2021-08-12,28.9
2021-08-13,28.42
2021-08-16,28.34
2021-08-17,28.61
2021-08-18,28.45
2021-08-19,27.74
2021-08-20,28.07
2021-08-23,28.44
2021-08-24,28.7
2021-08-25,28.74
2021-08-26,27.89
2021-08-27,28.28
2021-08-30,27.85
2021-08-31,28.84
2021-09-01,28.43
2021-09-02,28.94
2021-09-03,28.31
2021-09-07,27.96
2021-09-08,26.98
2021-09-09,26.79
2021-09-10,26.15
2021-09-13,27.06
2021-09-14,26.26
2021-09-15,26.81
2021-09-16,26.99
2021-09-17,26.88
2021-09-20,26.01
2021-09-21,25.15
2021-09-22,25.44
2021-09-23,25.53
2021-09-24,25.3
2021-09-27,26.14
2021-09-28,25.6
2021-09-29,25.42
2021-09-30,25.38
2021-10-01,25.74
2021-10-04,25.61
2021-10-05,26.15
2021-10-06,25.88
2021-10-07,26.46
2021-10-08,25.89
2021-10-11,25.17
2021-10-12,24.58
2021-10-13,25.5
2021-10-14,25.26
2021-10-15,24.83
2021-10-18,24.67
2021-10-19,24.9
2021-10-20,25.33
2021-10-21,24.995
2021-10-22,25.1
2021-10-25,25.29
2021-10-26,24.64
2021-10-27,23.6
2021-10-28,24.31
2021-10-29,23.44
2021-11-01,24.42
2021-11-02,24.55
2021-11-03,25.6
2021-11-04,25.46
2021-11-05,26.52
2021-11-08,26.28
2021-11-09,26.65
2021-11-10,27.36
2021-11-11,28.23
2021-11-12,27.91
