datetime,close
2020-05-14,18.5
2020-05-15,18.72
2020-05-18,19.3
2020-05-19,19.14
2020-05-20,19.11
2020-05-21,18.65
2020-05-22,18.36
2020-05-26,19.79
2020-05-27,20.53
2020-05-28,19.93
2020-05-29,19.59
2020-06-01,19.85
2020-06-02,19.68
2020-06-03,20.22
2020-06-04,20.86
2020-06-05,22.35
2020-06-08,23.42
2020-06-09,21.52
2020-06-10,20.83
2020-06-11,19.99
2020-06-12,19.7
2020-06-15,20.21
2020-06-16,20.03
2020-06-17,20.0
2020-06-18,20.33
2020-06-19,20.14
2020-06-22,19.88
2020-06-23,20.06
2020-06-24,19.68
2020-06-25,19.27
2020-06-26,18.51
2020-06-29,19.35
2020-06-30,19.26
2020-07-01,19.25
2020-07-02,18.93
2020-07-06,19.22
2020-07-07,18.37
2020-07-08,18.19
2020-07-09,17.25
2020-07-10,18.08
2020-07-13,18.25
2020-07-14,18.45
2020-07-15,19.53
2020-07-16,19.7
2020-07-17,19.17
2020-07-20,18.51
2020-07-21,18.81
2020-07-22,18.91
2020-07-23,19.1
2020-07-24,18.93
2020-07-27,18.69
2020-07-28,18.61
2020-07-29,18.86
2020-07-30,18.92
2020-07-31,18.95
2020-08-03,19.13
2020-08-04,19.69
2020-08-05,19.08
2020-08-06,19.69
2020-08-07,19.3
2020-08-10,19.95
2020-08-11,20.73
2020-08-12,20.07
2020-08-13,20.3
2020-08-14,20.76
2020-08-17,20.31
2020-08-18,20.33
2020-08-19,20.39
2020-08-20,20.27
2020-08-21,20.04
2020-08-24,20.68
2020-08-25,20.68
2020-08-26,20.56
2020-08-27,20.61
2020-08-28,20.68
2020-08-31,19.97
2020-09-01,19.36
2020-09-02,19.68
2020-09-03,19.49
2020-09-04,20.44
2020-09-08,20.39
2020-09-09,20.92
2020-09-10,21.15
2020-09-11,20.69
2020-09-14,21.59
2020-09-15,21.62
2020-09-16,22.13
2020-09-17,22.0
2020-09-18,21.79
2020-09-21,20.4
2020-09-22,20.21
2020-09-23,19.12
2020-09-24,19.19
2020-09-25,19.2
2020-09-28,19.73
2020-09-29,19.47
2020-09-30,19.6
2020-10-01,19.36
2020-10-02,19.39
2020-10-05,19.72
2020-10-06,19.34
2020-10-07,19.99
2020-10-08,20.47
2020-10-09,19.97
2020-10-12,20.05
2020-10-13,19.35
2020-10-14,18.78
2020-10-15,18.92
2020-10-16,18.98
2020-10-19,18.27
2020-10-20,18.32
2020-10-21,18.84
2020-10-22,19.08
2020-10-23,19.11
2020-10-26,18.56
2020-10-27,18.23
2020-10-28,17.44
2020-10-29,17.82
2020-10-30,18.32
2020-11-02,19.13
2020-11-03,19.2
2020-11-04,18.68
2020-11-05,19.36
2020-11-06,18.88
2020-11-09,20.11
2020-11-10,20.73
2020-11-11,20.32
2020-11-12,19.69
2020-11-13,20.9
2020-11-16,21.82
2020-11-17,22.0
2020-11-18,22.03
2020-11-19,22.53
2020-11-20,22.89
2020-11-23,23.79
2020-11-24,24.47
2020-11-25,24.41
2020-11-27,24.55
2020-11-30,24.02
2020-12-01,24.66
2020-12-02,25.24
2020-12-03,25.12
2020-12-04,25.22
2020-12-07,25.42
2020-12-08,24.83
2020-12-09,25.18
2020-12-10,25.48
2020-12-11,25.48
2020-12-14,25.21
2020-12-15,25.36
2020-12-16,25.32
2020-12-17,25.31
2020-12-18,24.52
2020-12-21,24.02
2020-12-22,23.86
2020-12-23,24.85
2020-12-24,25.14
2020-12-28,25.82
2020-12-29,25.96
2020-12-30,25.98
2020-12-31,26.19
2021-01-04,26.39
2021-01-05,27.02
2021-01-06,29.5
2021-01-07,29.83
2021-01-08,30.16
2021-01-11,30.59
2021-01-12,30.57
2021-01-13,31.75
2021-01-14,32.51
2021-01-15,32.35
2021-01-19,31.85
2021-01-20,32.3
2021-01-21,32.41
2021-01-22,32.89
2021-01-25,34.16
2021-01-26,35.4
2021-01-27,33.47
2021-01-28,34.92
2021-01-29,35.03
2021-02-01,35.0
2021-02-02,34.1
2021-02-03,34.99
2021-02-04,34.9
2021-02-05,36.42
2021-02-08,37.0
2021-02-09,37.2
2021-02-10,38.43
2021-02-11,39.0
2021-02-12,40.75
2021-02-16,40.5
2021-02-17,41.62
2021-02-18,41.94
2021-02-19,42.8
2021-02-22,46.0
2021-02-23,44.14
2021-02-24,43.53
2021-02-25,43.49
2021-02-26,45.0
2021-03-01,48.31
2021-03-02,49.05
2021-03-03,50.4
2021-03-04,51.44
2021-03-05,53.0
2021-03-08,55.0
2021-03-09,52.97
2021-03-10,56.01
2021-03-11,56.86
2021-03-12,59.7
2021-03-15,60.89
2021-03-16,62.36
2021-03-17,62.77
2021-03-18,64.08
2021-03-19,66.0
2021-03-22,64.74
2021-03-23,62.99
2021-03-24,54.54
2021-03-25,51.04
2021-03-26,35.96
2021-03-29,35.12
2021-03-30,37.01
2021-03-31,36.89
2021-04-01,37.08
2021-04-05,36.1
2021-04-06,36.87
2021-04-07,37.0
2021-04-08,35.78
2021-04-09,35.74
2021-04-12,35.01
2021-04-13,34.78
2021-04-14,33.08
2021-04-15,32.74
2021-04-16,32.25
2021-04-19,31.2
2021-04-20,30.2
2021-04-21,32.33
2021-04-22,32.67
2021-04-23,32.45
2021-04-26,32.99
