datetime,close
2020-06-05,14.6
2020-06-08,15.76
2020-06-09,14.55
2020-06-10,13.67
2020-06-11,12.2
2020-06-12,12.8
2020-06-15,12.89
2020-06-16,13.3
2020-06-17,12.63
2020-06-18,12.95
2020-06-19,12.94
2020-06-22,12.7
2020-06-23,12.38
2020-06-24,11.25
2020-06-25,11.7
2020-06-26,10.94
2020-06-29,11.12
2020-06-30,11.34
2020-07-01,11.1
2020-07-02,11.24
2020-07-06,11.16
2020-07-07,10.35
2020-07-08,10.36
2020-07-09,9.8
2020-07-10,10.19
2020-07-13,9.96
2020-07-14,10.43
2020-07-15,10.74
2020-07-16,10.67
2020-07-17,10.29
2020-07-20,10.27
2020-07-21,11.35
2020-07-22,11.07
2020-07-23,10.88
2020-07-24,10.7
2020-07-27,10.43
2020-07-28,10.34
2020-07-29,10.84
2020-07-30,10.34
2020-07-31,10.49
2020-08-03,10.6
2020-08-04,11.09
2020-08-05,12.04
2020-08-06,11.77
2020-08-07,12.11
2020-08-10,12.64
2020-08-11,12.36
2020-08-12,12.51
2020-08-13,11.84
2020-08-14,12.12
2020-08-17,11.74
2020-08-18,11.34
2020-08-19,11.09
2020-08-20,10.69
2020-08-21,10.44
2020-08-24,10.78
2020-08-25,10.98
2020-08-26,10.7
2020-08-27,10.76
2020-08-28,11.1
2020-08-31,10.87
2020-09-01,10.91
2020-09-02,10.66
2020-09-03,10.47
2020-09-04,10.55
2020-09-08,9.62
2020-09-09,9.58
2020-09-10,8.87
2020-09-11,8.97
2020-09-14,9.12
2020-09-15,9.23
2020-09-16,9.76
2020-09-17,9.95
2020-09-18,9.78
2020-09-21,9.27
2020-09-22,9.2
2020-09-23,8.68
2020-09-24,8.96
2020-09-25,8.82
2020-09-28,9.8
2020-09-29,9.57
2020-09-30,9.46
2020-10-01,9.1
2020-10-02,9.6
2020-10-05,10.15
2020-10-06,9.73
2020-10-07,9.87
2020-10-08,10.32
2020-10-09,10.07
2020-10-12,9.86
2020-10-13,9.5
2020-10-14,9.32
2020-10-15,9.42
2020-10-16,8.95
2020-10-19,8.86
2020-10-20,8.97
2020-10-21,8.63
2020-10-22,9.34
2020-10-23,9.36
2020-10-26,8.81
2020-10-27,8.69
2020-10-28,8.1
2020-10-29,8.45
2020-10-30,8.93
2020-11-02,9.43
