datetime,close
2020-06-05,60.88
2020-06-08,64.76
2020-06-09,61.63
2020-06-10,60.34
2020-06-11,56.81
2020-06-12,57.57
2020-06-15,59.45
2020-06-16,60.52
2020-06-17,59.89
2020-06-18,58.84
2020-06-19,55.66
2020-06-22,55.79
2020-06-23,55.77
2020-06-24,54.37
2020-06-25,54.89
2020-06-26,54.82
2020-06-29,55.34
2020-06-30,54.31
2020-07-01,55.33
2020-07-02,55.54
2020-07-06,56.05
2020-07-07,54.48
2020-07-08,54.46
2020-07-09,53.93
2020-07-10,55.33
2020-07-13,55.98
2020-07-14,56.67
2020-07-15,55.28
2020-07-16,56.09
2020-07-17,56.36
2020-07-20,54.89
2020-07-21,55.95
2020-07-22,56.71
2020-07-23,56.66
2020-07-24,56.02
2020-07-27,53.16
2020-07-28,55.11
2020-07-29,53.78
2020-07-30,54.87
2020-07-31,55.67
2020-08-03,53.93
2020-08-04,54.7
2020-08-05,53.61
2020-08-06,53.87
2020-08-07,54.61
2020-08-10,54.25
2020-08-11,53.58
2020-08-12,54.53
2020-08-13,53.61
2020-08-14,52.69
2020-08-17,51.78
2020-08-18,51.49
2020-08-19,52.25
2020-08-20,51.24
2020-08-21,51.26
2020-08-24,52.34
2020-08-25,52.0
2020-08-26,51.09
2020-08-27,51.75
2020-08-28,52.17
2020-08-31,52.48
2020-09-01,51.81
2020-09-02,52.57
2020-09-03,52.96
2020-09-04,52.26
2020-09-08,51.37
2020-09-09,51.54
2020-09-10,50.5
2020-09-11,50.63
2020-09-14,51.65
2020-09-15,51.51
2020-09-16,52.54
2020-09-17,52.63
2020-09-18,51.42
2020-09-21,49.7
2020-09-22,50.42
2020-09-23,49.3
2020-09-24,50.84
2020-09-25,51.65
2020-09-28,51.89
2020-09-29,51.02
2020-09-30,50.84
2020-10-01,50.44
2020-10-02,51.5
2020-10-05,52.61
2020-10-06,53.86
2020-10-07,54.94
2020-10-08,56.1
2020-10-09,56.09
2020-10-12,56.27
2020-10-13,56.28
2020-10-14,56.24
2020-10-15,56.81
2020-10-16,58.11
2020-10-19,58.26
2020-10-20,59.75
2020-10-21,59.05
2020-10-22,59.89
2020-10-23,60.49
2020-10-26,58.19
2020-10-27,57.81
2020-10-28,56.56
2020-10-29,56.07
2020-10-30,56.04
2020-11-02,57.55
2020-11-03,58.41
2020-11-04,57.43
2020-11-05,59.38
2020-11-06,58.32
2020-11-09,60.76
2020-11-10,62.72
2020-11-11,62.9
2020-11-12,62.79
2020-11-13,64.06
2020-11-16,65.17
2020-11-17,65.6
2020-11-18,64.54
2020-11-19,63.62
2020-11-20,63.38
2020-11-23,64.15
2020-11-24,65.45
2020-11-25,63.71
2020-11-27,62.79
2020-11-30,61.36
2020-12-01,62.09
2020-12-02,62.19
2020-12-03,61.54
2020-12-04,61.83
2020-12-07,61.94
2020-12-08,61.89
2020-12-09,62.91
2020-12-10,62.88
2020-12-11,62.8
2020-12-14,62.26
2020-12-15,63.76
2020-12-16,62.7
2020-12-17,62.9
2020-12-18,62.54
2020-12-21,61.88
2020-12-22,61.32
2020-12-23,61.3
2020-12-24,62.19
2020-12-28,62.45
2020-12-29,62.18
2020-12-30,61.63
2020-12-31,62.82
2021-01-04,60.49
2021-01-05,60.81
2021-01-06,62.62
2021-01-07,62.05
2021-01-08,62.3
2021-01-11,61.67
2021-01-12,62.51
2021-01-13,63.2
2021-01-14,61.63
2021-01-15,61.87
2021-01-19,60.87
2021-01-20,60.22
2021-01-21,59.33
2021-01-22,59.3
2021-01-25,59.4
2021-01-26,59.1
2021-01-27,57.0
2021-01-28,58.89
2021-01-29,58.16
2021-02-01,58.01
2021-02-02,59.17
2021-02-03,58.93
2021-02-04,58.89
2021-02-05,58.65
2021-02-08,57.73
2021-02-09,57.78
2021-02-10,58.53
2021-02-11,58.34
2021-02-12,57.91
2021-02-16,56.98
2021-02-17,56.49
2021-02-18,55.69
2021-02-19,55.22
2021-02-22,55.35
2021-02-23,55.92
2021-02-24,56.47
2021-02-25,55.66
2021-02-26,53.99
2021-03-01,54.91
2021-03-02,54.9
2021-03-03,55.8
2021-03-04,57.02
2021-03-05,57.7
2021-03-08,57.39
2021-03-09,57.46
2021-03-10,58.22
2021-03-11,57.51
2021-03-12,58.22
2021-03-15,59.57
2021-03-16,59.56
2021-03-17,59.54
2021-03-18,58.56
2021-03-19,59.47
2021-03-22,59.18
2021-03-23,59.05
2021-03-24,59.93
2021-03-25,60.32
2021-03-26,60.68
2021-03-29,60.42
2021-03-30,59.44
2021-03-31,58.6
2021-04-01,58.29
2021-04-05,59.81
2021-04-06,60.22
2021-04-07,59.96
2021-04-08,60.33
2021-04-09,59.71
2021-04-12,59.84
2021-04-13,60.37
2021-04-14,61.05
2021-04-15,61.44
2021-04-16,61.36
2021-04-19,61.12
2021-04-20,61.52
2021-04-21,61.15
2021-04-22,59.48
2021-04-23,59.19
2021-04-26,58.87
2021-04-27,58.5
2021-04-28,58.4
2021-04-29,58.86
2021-04-30,59.45
2021-05-03,59.38
2021-05-04,59.61
2021-05-05,58.24
2021-05-06,58.91
2021-05-07,58.58
2021-05-10,58.99
2021-05-11,58.63
2021-05-12,56.81
2021-05-13,58.32
2021-05-14,58.39
2021-05-17,57.77
2021-05-18,57.56
2021-05-19,57.64
2021-05-20,57.68
2021-05-21,58.17
2021-05-24,58.37
2021-05-25,55.75
2021-05-26,56.12
2021-05-27,55.42
2021-05-28,55.87
2021-06-01,55.62
2021-06-02,56.09
2021-06-03,56.23
2021-06-04,56.47
2021-06-07,56.21
2021-06-08,56.79
2021-06-09,56.89
2021-06-10,57.49
2021-06-11,57.97
2021-06-14,58.68
2021-06-15,58.59
2021-06-16,57.78
2021-06-17,56.98
2021-06-18,55.58
2021-06-21,56.1
2021-06-22,55.66
2021-06-23,55.01
2021-06-24,55.28
2021-06-25,57.0
2021-06-28,57.63
2021-06-29,57.42
2021-06-30,57.82
2021-07-01,57.91
2021-07-02,57.05
2021-07-06,57.37
2021-07-07,57.65
2021-07-08,57.52
2021-07-09,58.28
2021-07-12,58.2
2021-07-13,57.31
2021-07-14,57.24
2021-07-15,57.66
2021-07-16,57.99
2021-07-19,56.19
2021-07-20,56.85
2021-07-21,56.2
2021-07-22,55.9
2021-07-23,56.23
2021-07-26,55.49
2021-07-27,57.15
2021-07-28,56.82
2021-07-29,57.22
2021-07-30,54.5
2021-08-02,55.1
2021-08-03,55.39
2021-08-04,54.86
2021-08-05,55.23
2021-08-06,55.07
2021-08-09,55.44
2021-08-10,55.88
2021-08-11,57.14
2021-08-12,57.03
2021-08-13,57.0
2021-08-16,57.28
2021-08-17,57.59
2021-08-18,58.57
2021-08-19,58.2
2021-08-20,59.53
2021-08-23,59.16
2021-08-24,58.95
2021-08-25,58.38
2021-08-26,57.66
2021-08-27,57.53
2021-08-30,57.53
2021-08-31,57.84
2021-09-01,58.24
2021-09-02,59.13
2021-09-03,58.65
2021-09-07,58.63
2021-09-08,59.09
2021-09-09,58.66
2021-09-10,58.13
2021-09-13,59.06
2021-09-14,58.48
2021-09-15,59.04
2021-09-16,57.54
2021-09-17,57.75
2021-09-20,57.59
2021-09-21,57.72
2021-09-22,58.35
2021-09-23,57.61
2021-09-24,57.57
2021-09-27,57.7
2021-09-28,57.12
2021-09-29,56.43
2021-09-30,55.47
2021-10-01,55.04
2021-10-04,56.23
2021-10-05,55.68
2021-10-06,56.61
2021-10-07,57.12
2021-10-08,57.14
2021-10-11,56.09
2021-10-12,55.53
2021-10-13,56.42
2021-10-14,56.6
2021-10-15,57.35
2021-10-18,57.16
2021-10-19,57.54
2021-10-20,58.95
2021-10-21,59.32
2021-10-22,60.45
2021-10-25,61.1
2021-10-26,61.47
2021-10-27,62.21
2021-10-28,62.8
2021-10-29,62.93
2021-11-01,63.3
2021-11-02,63.54
2021-11-03,62.8
2021-11-04,63.04
2021-11-05,64.04
2021-11-08,64.07
2021-11-09,64.6
2021-11-10,65.46
2021-11-11,65.22
2021-11-12,64.24
