datetime,close
2020-06-05,77.92
2020-06-08,77.92
2020-06-09,78.18
2020-06-10,77.91
2020-06-11,73.54
2020-06-12,73.57
2020-06-15,74.18
2020-06-16,73.98
2020-06-17,73.98
2020-06-18,73.62
2020-06-19,73.55
2020-06-22,74.58
2020-06-23,75.43
2020-06-24,73.62
2020-06-25,72.99
2020-06-26,73.54
2020-06-29,74.3
2020-06-30,76.04
2020-07-01,76.19
2020-07-02,77.15
2020-07-06,77.24
2020-07-07,77.22
2020-07-08,76.46
2020-07-09,77.04
2020-07-10,77.58
2020-07-13,77.23
2020-07-14,78.12
2020-07-15,79.83
2020-07-16,79.14
2020-07-17,79.63
2020-07-20,79.42
2020-07-21,79.86
2020-07-22,79.51
2020-07-23,80.39
2020-07-24,80.19
2020-07-27,81.08
2020-07-28,79.45
2020-07-29,83.82
2020-07-30,83.02
2020-07-31,84.51
2020-08-03,85.83
2020-08-04,86.84
2020-08-05,84.09
2020-08-06,84.53
2020-08-07,85.45
2020-08-10,85.19
2020-08-11,85.69
2020-08-12,86.15
2020-08-13,85.98
2020-08-14,86.1
2020-08-17,86.5
2020-08-18,86.84
2020-08-19,87.17
2020-08-20,86.86
2020-08-21,86.29
2020-08-24,87.14
2020-08-25,87.44
2020-08-26,87.55
2020-08-27,87.5
2020-08-28,88.88
2020-08-31,88.39
2020-09-01,89.68
2020-09-02,90.77
2020-09-03,88.55
2020-09-04,87.8
2020-09-08,86.46
2020-09-09,89.55
2020-09-10,88.61
2020-09-11,90.36
2020-09-14,91.21
2020-09-15,93.3
2020-09-16,91.52
2020-09-17,92.38
2020-09-18,91.32
2020-09-21,88.33
2020-09-22,89.16
2020-09-23,88.74
2020-09-24,89.36
2020-09-25,90.32
2020-09-28,91.37
2020-09-29,91.63
2020-09-30,90.52
2020-10-01,89.29
2020-10-02,89.65
2020-10-05,91.09
2020-10-06,89.32
2020-10-07,90.74
2020-10-08,91.66
2020-10-09,92.46
2020-10-12,93.26
2020-10-13,92.87
2020-10-14,93.75
2020-10-15,93.86
2020-10-16,93.29
2020-10-19,92.56
2020-10-20,93.73
2020-10-21,93.78
2020-10-22,94.27
2020-10-23,95.2
2020-10-26,94.27
2020-10-27,94.28
2020-10-28,89.19
2020-10-29,89.41
2020-10-30,88.37
2020-11-02,88.62
2020-11-03,86.89
2020-11-04,86.93
2020-11-05,87.41
2020-11-06,88.32
2020-11-09,87.31
2020-11-10,88.28
2020-11-11,88.61
2020-11-12,87.77
2020-11-13,89.19
2020-11-16,90.27
2020-11-17,89.9
2020-11-18,90.15
2020-11-19,90.28
2020-11-20,88.99
2020-11-23,88.78
2020-11-24,90.34
2020-11-25,90.3
2020-11-27,88.96
2020-11-30,89.37
2020-12-01,89.75
2020-12-02,88.64
2020-12-03,88.7
2020-12-04,90.06
2020-12-07,89.75
2020-12-08,90.06
2020-12-09,90.63
2020-12-10,89.7
2020-12-11,90.49
2020-12-14,90.18
2020-12-15,90.13
2020-12-16,91.4
2020-12-17,94.03
2020-12-18,95.4
2020-12-21,94.38
2020-12-22,94.7
2020-12-23,94.51
2020-12-24,94.64
2020-12-28,95.23
2020-12-29,94.66
2020-12-30,94.58
2020-12-31,95.11
2021-01-04,92.31
2021-01-05,92.06
2021-01-06,94.06
2021-01-07,94.14
2021-01-08,94.42
2021-01-11,93.97
2021-01-12,97.07
