datetime,close
2020-06-05,52.21
2020-06-08,59.82
2020-06-09,53.92
2020-06-10,50.17
2020-06-11,44.36
2020-06-12,46.96
2020-06-15,48.12
2020-06-16,49.97
2020-06-17,46.55
2020-06-18,46.59
2020-06-19,46.73
2020-06-22,46.09
2020-06-23,46.31
2020-06-24,41.9
2020-06-25,43.62
2020-06-26,41.13
2020-06-29,41.43
2020-06-30,41.82
2020-07-01,39.6
2020-07-02,41.56
2020-07-06,42.88
2020-07-07,40.12
2020-07-08,40.23
2020-07-09,37.5
2020-07-10,38.93
2020-07-13,37.1
2020-07-14,39.28
2020-07-15,39.9
2020-07-16,39.51
2020-07-17,39.02
2020-07-20,38.58
2020-07-21,42.11
2020-07-22,41.7
2020-07-23,41.07
2020-07-24,40.73
2020-07-27,40.05
2020-07-28,38.88
2020-07-29,40.76
2020-07-30,39.51
2020-07-31,39.86
2020-08-03,40.01
2020-08-04,41.07
2020-08-05,41.63
2020-08-06,40.73
2020-08-07,42.01
2020-08-10,44.67
2020-08-11,44.45
2020-08-12,44.57
2020-08-13,44.58
2020-08-14,45.51
2020-08-17,45.08
2020-08-18,44.49
2020-08-19,43.3
2020-08-20,40.63
2020-08-21,39.21
2020-08-24,40.05
2020-08-25,41.06
2020-08-26,39.39
2020-08-27,39.77
2020-08-28,40.14
2020-08-31,38.96
2020-09-01,38.48
2020-09-02,36.32
2020-09-03,35.77
2020-09-04,35.53
2020-09-08,31.99
2020-09-09,32.19
2020-09-10,30.08
2020-09-11,29.62
2020-09-14,31.06
2020-09-15,30.5
2020-09-16,32.91
2020-09-17,33.79
2020-09-18,33.77
2020-09-21,32.08
2020-09-22,31.61
2020-09-23,29.9
2020-09-24,29.99
2020-09-25,29.9
2020-09-28,31.49
2020-09-29,31.2
2020-09-30,30.12
2020-10-01,29.09
2020-10-02,30.47
2020-10-05,30.87
2020-10-06,29.21
2020-10-07,29.47
2020-10-08,31.12
2020-10-09,30.69
2020-10-12,31.2
2020-10-13,30.41
2020-10-14,30.49
2020-10-15,30.63
2020-10-16,29.29
2020-10-19,28.04
2020-10-20,28.45
2020-10-21,27.71
2020-10-22,29.17
2020-10-23,29.03
2020-10-26,27.53
2020-10-27,26.57
2020-10-28,24.6
2020-10-29,25.54
2020-10-30,25.96
2020-11-02,27.71
2020-11-03,28.12
2020-11-04,27.12
2020-11-05,26.2
2020-11-06,24.74
2020-11-09,32.4
2020-11-10,33.73
2020-11-11,32.85
2020-11-12,31.66
2020-11-13,33.6
2020-11-16,35.93
2020-11-17,37.31
2020-11-18,37.74
2020-11-19,39.44
2020-11-20,39.84
2020-11-23,44.49
2020-11-24,47.14
2020-11-25,45.39
2020-11-27,43.52
2020-11-30,39.96
2020-12-01,39.85
2020-12-02,40.52
2020-12-03,41.91
2020-12-04,47.22
2020-12-07,45.64
2020-12-08,46.14
2020-12-09,47.33
2020-12-10,49.94
2020-12-11,50.11
2020-12-14,46.95
2020-12-15,48.16
2020-12-16,47.65
2020-12-17,47.39
2020-12-18,45.84
2020-12-21,45.02
2020-12-22,44.05
2020-12-23,47.8
2020-12-24,48.25
2020-12-28,47.63
2020-12-29,47.0
2020-12-30,49.27
2020-12-31,48.4
2021-01-04,48.94
2021-01-05,53.67
2021-01-06,56.32
2021-01-07,56.79
2021-01-08,56.76
2021-01-11,58.3
2021-01-12,62.87
2021-01-13,61.54
2021-01-14,61.93
2021-01-15,59.24
2021-01-19,60.02
2021-01-20,60.62
2021-01-21,60.78
2021-01-22,63.74
2021-01-25,61.33
2021-01-26,59.61
2021-01-27,56.59
2021-01-28,60.31
2021-01-29,56.69
2021-02-01,57.98
2021-02-02,58.42
2021-02-03,63.58
2021-02-04,65.35
2021-02-05,64.45
2021-02-08,68.93
2021-02-09,66.97
2021-02-10,68.88
2021-02-11,67.77
2021-02-12,69.12
2021-02-16,68.97
2021-02-17,68.84
2021-02-18,65.14
2021-02-19,65.57
2021-02-22,68.4
