datetime,close
2020-06-05,99.96
2020-06-08,102.54
2020-06-09,97.96
2020-06-10,94.64
2020-06-11,87.65
2020-06-12,90.47
2020-06-15,90.05
2020-06-16,92.82
2020-06-17,89.38
2020-06-18,88.15
2020-06-19,84.75
2020-06-22,84.72
2020-06-23,84.92
2020-06-24,82.47
2020-06-25,84.69
2020-06-26,82.77
2020-06-29,84.76
2020-06-30,85.21
2020-07-01,87.46
2020-07-02,85.54
2020-07-06,86.12
2020-07-07,82.32
2020-07-08,80.26
2020-07-09,78.87
2020-07-10,79.95
2020-07-13,80.18
2020-07-14,78.0
2020-07-15,80.97
2020-07-16,79.48
2020-07-17,78.43
2020-07-20,75.04
2020-07-21,74.43
2020-07-22,75.18
2020-07-23,73.84
2020-07-24,72.99
2020-07-27,73.63
2020-07-28,76.13
2020-07-29,77.49
2020-07-30,77.0
2020-07-31,76.3
2020-08-03,75.67
2020-08-04,76.62
2020-08-05,76.18
2020-08-06,76.42
2020-08-07,78.81
2020-08-10,80.23
2020-08-11,82.18
2020-08-12,83.48
2020-08-13,82.21
2020-08-14,81.88
2020-08-17,82.45
2020-08-18,80.32
2020-08-19,78.14
2020-08-20,80.51
2020-08-21,80.32
2020-08-24,81.93
2020-08-25,81.76
2020-08-26,79.77
2020-08-27,81.41
2020-08-28,80.45
2020-08-31,79.24
2020-09-01,79.53
2020-09-02,81.3
2020-09-03,82.35
2020-09-04,82.06
2020-09-08,80.27
2020-09-09,79.39
2020-09-10,78.03
2020-09-11,77.15
2020-09-14,80.52
2020-09-15,81.16
2020-09-16,83.58
2020-09-17,83.65
2020-09-18,81.74
2020-09-21,73.28
2020-09-22,73.82
2020-09-23,71.46
2020-09-24,72.34
2020-09-25,73.13
2020-09-28,74.94
2020-09-29,72.99
2020-09-30,73.44
2020-10-01,76.05
2020-10-02,78.43
2020-10-05,78.55
2020-10-06,78.4
2020-10-07,77.65
2020-10-08,79.72
2020-10-09,78.38
2020-10-12,78.82
2020-10-13,76.93
2020-10-14,75.64
2020-10-15,76.18
2020-10-16,74.37
2020-10-19,73.41
2020-10-20,74.16
2020-10-21,73.77
2020-10-22,75.29
2020-10-23,76.72
2020-10-26,73.3
2020-10-27,70.21
2020-10-28,67.91
2020-10-29,69.31
2020-10-30,68.78
2020-11-02,71.45
2020-11-03,75.54
2020-11-04,71.89
2020-11-05,72.1
2020-11-06,68.93
2020-11-09,91.61
2020-11-10,94.08
2020-11-11,90.32
2020-11-12,85.33
2020-11-13,88.47
2020-11-16,92.74
2020-11-17,91.31
2020-11-18,90.65
2020-11-19,90.79
2020-11-20,89.78
2020-11-23,93.07
2020-11-24,93.61
2020-11-25,91.04
2020-11-27,88.37
2020-11-30,87.22
2020-12-01,87.6
2020-12-02,89.96
2020-12-03,91.81
2020-12-04,93.1
2020-12-07,90.3
2020-12-08,89.66
2020-12-09,90.71
2020-12-10,91.43
2020-12-11,90.15
2020-12-14,88.87
2020-12-15,93.31
2020-12-16,90.72
2020-12-17,90.73
2020-12-18,88.31
2020-12-21,85.89
2020-12-22,86.02
2020-12-23,86.11
2020-12-24,86.58
2020-12-28,86.77
2020-12-29,85.55
2020-12-30,85.88
2020-12-31,85.12
2021-01-04,82.27
2021-01-05,82.61
2021-01-06,86.02
2021-01-07,84.65
2021-01-08,84.53
2021-01-11,82.58
2021-01-12,84.8
2021-01-13,86.29
2021-01-14,86.78
2021-01-15,87.27
2021-01-19,87.2
2021-01-20,88.25
2021-01-21,86.96
2021-01-22,88.53
2021-01-25,88.96
2021-01-26,88.78
2021-01-27,88.3
2021-01-28,87.58
2021-01-29,87.56
2021-02-01,87.04
2021-02-02,87.23
2021-02-03,87.88
2021-02-04,90.35
2021-02-05,91.26
2021-02-08,91.35
2021-02-09,93.02
2021-02-10,95.77
2021-02-11,97.99
2021-02-12,102.33
2021-02-16,101.5
2021-02-17,102.22
2021-02-18,100.81
2021-02-19,99.71
2021-02-22,100.6
2021-02-23,103.29
2021-02-24,106.02
2021-02-25,103.0
2021-02-26,101.17
2021-03-01,104.0
2021-03-02,101.55
2021-03-03,105.44
2021-03-04,103.68
2021-03-05,105.76
2021-03-08,109.2
2021-03-09,106.15
2021-03-10,107.52
2021-03-11,108.67
2021-03-12,110.37
2021-03-15,109.6
2021-03-16,106.43
2021-03-17,104.72
2021-03-18,102.99
2021-03-19,100.94
2021-03-22,100.66
2021-03-23,98.65
2021-03-24,100.33
2021-03-25,102.59
2021-03-26,104.33
2021-03-29,102.53
2021-03-30,103.29
2021-03-31,101.45
2021-04-01,103.95
2021-04-05,103.85
2021-04-06,105.09
2021-04-07,105.05
2021-04-08,105.18
2021-04-09,105.42
2021-04-12,104.87
2021-04-13,105.92
2021-04-14,104.25
2021-04-15,105.55
2021-04-16,106.96
2021-04-19,107.05
2021-04-20,107.04
2021-04-21,109.31
2021-04-22,109.35
2021-04-23,109.83
2021-04-26,109.9
2021-04-27,111.8
2021-04-28,111.74
2021-04-29,113.02
2021-04-30,112.84
2021-05-03,113.02
2021-05-04,112.57
2021-05-05,109.9
2021-05-06,113.98
2021-05-07,116.37
2021-05-10,116.23
2021-05-11,114.21
2021-05-12,110.48
2021-05-13,111.47
2021-05-14,112.53
2021-05-17,112.98
2021-05-18,112.69
2021-05-19,112.24
2021-05-20,112.71
2021-05-21,112.51
2021-05-24,113.15
2021-05-25,112.79
2021-05-26,113.81
2021-05-27,112.92
2021-05-28,114.34
2021-06-01,116.71
2021-06-02,119.03
2021-06-03,118.55
2021-06-04,117.63
2021-06-07,119.72
2021-06-08,121.81
2021-06-09,122.46
2021-06-10,122.02
2021-06-11,123.61
2021-06-14,123.41
2021-06-15,122.83
2021-06-16,121.52
2021-06-17,120.3
2021-06-18,117.29
2021-06-21,119.73
2021-06-22,118.06
2021-06-23,118.85
2021-06-24,117.75
2021-06-25,119.27
2021-06-28,117.23
2021-06-29,117.68
2021-06-30,117.17
2021-07-01,118.08
2021-07-02,117.86
2021-07-06,116.83
2021-07-07,114.55
2021-07-08,114.4
2021-07-09,118.05
2021-07-12,120.34
2021-07-13,117.43
2021-07-14,118.27
2021-07-15,117.49
2021-07-16,117.15
2021-07-19,112.24
2021-07-20,116.84
2021-07-21,118.47
2021-07-22,115.85
2021-07-23,116.6
2021-07-26,116.6
2021-07-27,117.92
2021-07-28,116.26
2021-07-29,117.33
2021-07-30,117.53
2021-08-02,116.57
2021-08-03,116.7
2021-08-04,114.28
2021-08-05,121.11
2021-08-06,121.31
2021-08-09,119.12
2021-08-10,119.69
2021-08-11,120.76
2021-08-12,120.09
2021-08-13,120.0
2021-08-16,118.32
2021-08-17,116.78
2021-08-18,115.86
2021-08-19,115.26
2021-08-20,116.06
2021-08-23,117.26
2021-08-24,117.95
2021-08-25,119.59
2021-08-26,118.65
2021-08-27,120.66
2021-08-30,121.37
2021-08-31,121.77
2021-09-01,122.79
2021-09-02,123.14
2021-09-03,122.86
2021-09-07,122.0
2021-09-08,121.75
2021-09-09,120.31
2021-09-10,117.76
2021-09-13,120.9
2021-09-14,119.94
2021-09-15,120.54
2021-09-16,120.62
2021-09-17,119.3
2021-09-20,117.93
2021-09-21,116.76
2021-09-22,118.66
2021-09-23,119.46
2021-09-24,119.02
2021-09-27,119.19
2021-09-28,119.14
2021-09-29,120.55
2021-09-30,117.99
2021-10-01,121.05
2021-10-04,121.96
2021-10-05,120.11
2021-10-06,121.39
