datetime,close
2020-06-05,61.0
2020-06-08,62.14
2020-06-09,62.82
2020-06-10,62.78
2020-06-11,60.58
2020-06-12,60.15
2020-06-15,60.87
2020-06-16,61.79
2020-06-17,61.8
2020-06-18,61.76
2020-06-19,61.58
2020-06-22,61.52
2020-06-23,61.0
2020-06-24,60.29
2020-06-25,60.33
2020-06-26,59.21
2020-06-29,60.74
2020-06-30,61.65
2020-07-01,60.43
2020-07-02,61.48
2020-07-06,62.19
2020-07-07,62.98
2020-07-08,62.94
2020-07-09,62.55
2020-07-10,63.55
2020-07-13,63.56
2020-07-14,65.17
2020-07-15,64.6
2020-07-16,64.69
2020-07-17,64.64
2020-07-20,63.64
2020-07-21,64.5
2020-07-22,64.72
2020-07-23,64.99
2020-07-24,64.23
2020-07-27,64.08
2020-07-28,64.54
2020-07-29,64.37
2020-07-30,63.48
2020-07-31,63.27
2020-08-03,64.6
2020-08-04,65.74
2020-08-05,64.42
2020-08-06,64.18
2020-08-07,64.35
2020-08-10,63.75
2020-08-11,62.14
2020-08-12,63.06
2020-08-13,62.97
2020-08-14,63.27
2020-08-17,64.28
2020-08-18,64.63
2020-08-19,64.46
2020-08-20,64.21
2020-08-21,64.02
2020-08-24,64.13
2020-08-25,63.9
2020-08-26,64.25
2020-08-27,64.71
2020-08-28,63.39
2020-08-31,63.95
2020-09-01,63.12
2020-09-02,64.5
2020-09-03,62.97
2020-09-04,63.15
2020-09-08,59.52
2020-09-09,59.98
2020-09-10,58.49
2020-09-11,58.54
2020-09-14,58.76
2020-09-15,59.02
2020-09-16,58.75
2020-09-17,57.58
2020-09-18,57.32
2020-09-21,57.87
2020-09-22,57.99
2020-09-23,57.72
2020-09-24,58.7
2020-09-25,59.67
2020-09-28,59.9
2020-09-29,59.86
2020-09-30,61.68
2020-10-01,62.57
2020-10-02,62.52
2020-10-05,62.68
2020-10-06,61.23
2020-10-07,61.59
2020-10-08,61.39
2020-10-09,61.87
2020-10-12,62.35
2020-10-13,62.72
2020-10-14,62.09
2020-10-15,62.7
2020-10-16,62.37
2020-10-19,61.29
2020-10-20,61.12
2020-10-21,60.97
2020-10-22,61.31
2020-10-23,61.78
2020-10-26,60.98
2020-10-27,61.12
2020-10-28,59.52
2020-10-29,59.22
2020-10-30,59.12
2020-11-02,59.73
2020-11-03,60.89
2020-11-04,60.47
2020-11-05,60.56
2020-11-06,61.07
2020-11-09,58.36
2020-11-10,58.92
2020-11-11,59.89
2020-11-12,60.49
2020-11-13,60.97
2020-11-16,61.21
2020-11-17,61.28
2020-11-18,61.13
2020-11-19,62.0
2020-11-20,61.36
2020-11-23,61.02
2020-11-24,60.57
2020-11-25,60.0
2020-11-27,60.13
2020-11-30,60.82
2020-12-01,61.31
2020-12-02,60.22
2020-12-03,60.44
2020-12-04,60.44
2020-12-07,59.74
2020-12-08,60.4
2020-12-09,59.33
2020-12-10,58.87
2020-12-11,59.32
2020-12-14,59.35
2020-12-15,59.03
2020-12-16,58.92
2020-12-17,59.7
2020-12-18,59.4
2020-12-21,58.99
2020-12-22,58.6
2020-12-23,58.99
2020-12-24,59.13
2020-12-28,59.35
2020-12-29,59.15
2020-12-30,58.56
2020-12-31,58.8
2021-01-04,59.03
2021-01-05,59.09
2021-01-06,58.94
2021-01-07,57.95
2021-01-08,56.4
2021-01-11,55.57
2021-01-12,54.37
2021-01-13,55.39
2021-01-14,55.75
2021-01-15,56.24
2021-01-19,55.67
2021-01-20,55.34
2021-01-21,55.29
2021-01-22,55.97
2021-01-25,57.9
2021-01-26,59.13
2021-01-27,60.4
2021-01-28,59.36
2021-01-29,58.1
2021-02-01,57.55
2021-02-02,57.62
2021-02-03,56.82
2021-02-04,56.9
2021-02-05,57.4
2021-02-08,57.7
2021-02-09,57.67
2021-02-10,58.09
2021-02-11,56.91
2021-02-12,57.12
2021-02-16,56.29
2021-02-17,56.81
2021-02-18,58.02
2021-02-19,56.5
2021-02-22,56.17
2021-02-23,56.82
2021-02-24,56.2
2021-02-25,55.84
2021-02-26,55.01
2021-03-01,54.74
2021-03-02,55.07
2021-03-03,54.89
2021-03-04,55.29
2021-03-05,56.78
