datetime,close
2020-06-05,85.92
2020-06-08,87.24
2020-06-09,85.01
2020-06-10,82.49
2020-06-11,74.0
2020-06-12,75.9
2020-06-15,76.86
2020-06-16,78.22
2020-06-17,76.48
2020-06-18,76.64
2020-06-19,76.2
2020-06-22,75.45
2020-06-23,74.82
2020-06-24,71.19
2020-06-25,72.66
2020-06-26,70.85
2020-06-29,72.35
2020-06-30,74.23
2020-07-01,72.8
2020-07-02,72.53
2020-07-06,73.92
2020-07-07,71.5
2020-07-08,72.2
2020-07-09,70.19
2020-07-10,72.32
2020-07-13,72.52
2020-07-14,73.38
2020-07-15,75.31
2020-07-16,75.97
2020-07-17,75.32
2020-07-20,74.14
2020-07-21,75.21
2020-07-22,75.68
2020-07-23,80.32
2020-07-24,80.37
2020-07-27,79.57
2020-07-28,78.39
2020-07-29,80.74
2020-07-30,79.74
2020-07-31,79.6
2020-08-03,79.55
2020-08-04,78.68
2020-08-05,80.3
2020-08-06,80.33
2020-08-07,82.68
2020-08-10,84.79
2020-08-11,85.76
2020-08-12,85.54
2020-08-13,84.98
2020-08-14,85.48
2020-08-17,83.41
2020-08-18,82.66
2020-08-19,82.61
2020-08-20,81.16
2020-08-21,80.73
2020-08-24,84.49
2020-08-25,84.31
2020-08-26,84.16
2020-08-27,85.09
2020-08-28,84.82
2020-08-31,82.48
2020-09-01,82.03
2020-09-02,82.98
2020-09-03,81.85
2020-09-04,83.89
2020-09-08,81.52
2020-09-09,81.6
2020-09-10,80.07
2020-09-11,81.47
2020-09-14,83.23
2020-09-15,83.39
2020-09-16,83.81
2020-09-17,83.4
2020-09-18,82.46
2020-09-21,79.29
2020-09-22,79.47
2020-09-23,77.41
2020-09-24,77.78
2020-09-25,78.47
2020-09-28,79.85
2020-09-29,79.01
2020-09-30,79.9
2020-10-01,80.52
2020-10-02,80.79
2020-10-05,82.17
2020-10-06,81.06
2020-10-07,82.14
2020-10-08,82.97
2020-10-09,81.79
2020-10-12,82.44
2020-10-13,81.32
2020-10-14,81.52
2020-10-15,82.87
2020-10-16,83.24
2020-10-19,82.68
2020-10-20,83.45
2020-10-21,84.13
2020-10-22,86.48
2020-10-23,86.14
2020-10-26,83.83
2020-10-27,81.35
2020-10-28,78.79
2020-10-29,79.77
2020-10-30,81.09
2020-11-02,83.25
2020-11-03,85.15
2020-11-04,83.75
2020-11-05,86.3
2020-11-06,84.7
2020-11-09,91.47
2020-11-10,92.77
2020-11-11,91.99
2020-11-12,89.35
2020-11-13,92.04
2020-11-16,94.26
2020-11-17,93.79
2020-11-18,92.46
2020-11-19,93.35
2020-11-20,93.29
2020-11-23,94.63
2020-11-24,97.52
2020-11-25,96.65
2020-11-27,96.02
2020-11-30,93.1
2020-12-01,94.44
2020-12-02,95.13
2020-12-03,94.95
2020-12-04,96.46
2020-12-07,94.88
2020-12-08,94.55
2020-12-09,94.36
2020-12-10,94.88
2020-12-11,93.7
2020-12-14,91.77
2020-12-15,93.71
2020-12-16,93.53
2020-12-17,93.43
2020-12-18,92.81
2020-12-21,92.25
2020-12-22,91.75
2020-12-23,92.9
2020-12-24,92.87
2020-12-28,93.29
2020-12-29,92.16
2020-12-30,93.21
2020-12-31,94.96
2021-01-04,92.4
2021-01-05,92.33
2021-01-06,97.47
2021-01-07,96.97
2021-01-08,96.44
2021-01-11,95.36
2021-01-12,95.65
2021-01-13,95.91
2021-01-14,96.58
2021-01-15,96.08
2021-01-19,96.88
2021-01-20,96.52
2021-01-21,95.71
2021-01-22,94.34
2021-01-25,93.5
2021-01-26,93.11
2021-01-27,90.2
2021-01-28,92.76
2021-01-29,90.39
2021-02-01,91.33
2021-02-02,92.58
2021-02-03,90.84
2021-02-04,93.03
2021-02-05,93.66
2021-02-08,94.1
2021-02-09,92.75
2021-02-10,92.36
2021-02-11,92.71
2021-02-12,94.02
2021-02-16,93.78
2021-02-17,94.68
2021-02-18,93.58
2021-02-19,95.3
2021-02-22,96.54
2021-02-23,96.17
2021-02-24,98.32
2021-02-25,96.23
2021-02-26,93.4
2021-03-01,95.12
2021-03-02,96.06
2021-03-03,96.32
2021-03-04,94.51
2021-03-05,97.32
2021-03-08,99.47
2021-03-09,99.05
2021-03-10,101.14
2021-03-11,99.85
2021-03-12,101.39
2021-03-15,101.18
2021-03-16,99.63
2021-03-17,100.51
2021-03-18,100.04
2021-03-19,98.96
2021-03-22,98.17
2021-03-23,96.25
2021-03-24,96.65
2021-03-25,98.14
2021-03-26,98.46
2021-03-29,97.32
2021-03-30,98.32
2021-03-31,96.63
2021-04-01,98.69
2021-04-05,98.69
2021-04-06,98.92
2021-04-07,98.89
2021-04-08,97.98
2021-04-09,99.41
2021-04-12,100.8
2021-04-13,100.64
2021-04-14,101.76
2021-04-15,102.1
2021-04-16,104.41
2021-04-19,104.27
