datetime,close
2020-06-05,46.67
2020-06-08,46.64
2020-06-09,44.98
2020-06-10,42.9
2020-06-11,39.09
2020-06-12,40.03
2020-06-15,40.86
2020-06-16,41.49
2020-06-17,41.07
2020-06-18,41.21
2020-06-19,39.98
2020-06-22,39.13
2020-06-23,39.51
2020-06-24,37.86
2020-06-25,38.36
2020-06-26,37.44
2020-06-29,38.33
2020-06-30,38.55
2020-07-01,37.7
2020-07-02,37.5
2020-07-06,38.3
2020-07-07,37.18
2020-07-08,37.65
2020-07-09,35.81
2020-07-10,37.41
2020-07-13,37.6
2020-07-14,38.74
2020-07-15,40.41
2020-07-16,42.31
2020-07-17,41.95
2020-07-20,41.09
2020-07-21,41.64
2020-07-22,42.12
2020-07-23,42.4
2020-07-24,41.48
2020-07-27,40.84
2020-07-28,40.45
2020-07-29,41.44
2020-07-30,40.5
2020-07-31,42.32
2020-08-03,42.0
2020-08-04,40.57
2020-08-05,42.03
2020-08-06,41.58
2020-08-07,42.8
2020-08-10,43.66
2020-08-11,43.82
2020-08-12,42.8
2020-08-13,42.46
2020-08-14,42.81
2020-08-17,41.83
2020-08-18,41.28
2020-08-19,40.79
2020-08-20,40.29
2020-08-21,39.85
2020-08-24,41.35
2020-08-25,41.52
2020-08-26,40.46
2020-08-27,41.49
2020-08-28,41.51
2020-08-31,40.45
2020-09-01,41.04
2020-09-02,41.56
2020-09-03,41.03
2020-09-04,40.94
2020-09-08,39.55
2020-09-09,39.48
2020-09-10,38.9
2020-09-11,38.64
2020-09-14,38.89
2020-09-15,37.48
2020-09-16,38.14
2020-09-17,37.65
2020-09-18,37.25
2020-09-21,36.24
2020-09-22,35.84
2020-09-23,35.29
2020-09-24,35.41
2020-09-25,35.8
2020-09-28,36.88
2020-09-29,36.53
2020-09-30,36.86
2020-10-01,36.77
2020-10-02,37.56
2020-10-05,39.23
2020-10-06,37.91
2020-10-07,37.95
2020-10-08,39.33
2020-10-09,38.61
2020-10-12,39.04
2020-10-13,37.74
2020-10-14,37.42
2020-10-15,37.83
2020-10-16,37.7
2020-10-19,37.19
2020-10-20,38.39
2020-10-21,40.4
2020-10-22,39.97
2020-10-23,40.61
2020-10-26,39.0
2020-10-27,37.56
2020-10-28,37.35
2020-10-29,38.69
2020-10-30,38.52
2020-11-02,39.34
2020-11-03,39.52
2020-11-04,38.21
2020-11-05,39.94
2020-11-06,39.4
2020-11-09,44.87
2020-11-10,45.82
2020-11-11,45.21
2020-11-12,44.73
2020-11-13,45.21
2020-11-16,46.34
2020-11-17,46.43
2020-11-18,45.88
2020-11-19,46.24
2020-11-20,45.77
2020-11-23,46.34
2020-11-24,47.53
2020-11-25,46.58
2020-11-27,45.83
2020-11-30,44.2
2020-12-01,45.43
2020-12-02,45.46
2020-12-03,45.84
2020-12-04,46.49
2020-12-07,45.54
2020-12-08,46.2
2020-12-09,47.57
2020-12-10,47.4
2020-12-11,46.24
2020-12-14,45.54
2020-12-15,45.75
2020-12-16,46.29
2020-12-17,46.78
2020-12-18,47.65
2020-12-21,47.5
2020-12-22,47.64
2020-12-23,48.27
2020-12-24,48.41
2020-12-28,48.2
2020-12-29,47.53
2020-12-30,47.94
2020-12-31,48.98
2021-01-04,48.29
2021-01-05,47.97
2021-01-06,50.86
2021-01-07,50.4
2021-01-08,49.89
2021-01-11,50.25
2021-01-12,51.86
2021-01-13,51.9
2021-01-14,52.37
2021-01-15,51.67
2021-01-19,52.66
2021-01-20,52.49
2021-01-21,51.02
2021-01-22,50.37
2021-01-25,50.7
2021-01-26,49.91
2021-01-27,48.01
2021-01-28,48.99
2021-01-29,48.02
2021-02-01,48.34
2021-02-02,49.27
2021-02-03,49.43
2021-02-04,50.94
2021-02-05,50.44
2021-02-08,50.31
2021-02-09,50.24
2021-02-10,50.55
2021-02-11,50.36
2021-02-12,49.61
2021-02-16,48.8
2021-02-17,50.1
2021-02-18,49.42
2021-02-19,49.86
2021-02-22,51.03
2021-02-23,51.87
2021-02-24,53.15
2021-02-25,51.89
2021-02-26,50.69
2021-03-01,51.96
2021-03-02,51.6
2021-03-03,52.42
2021-03-04,52.05
2021-03-05,53.62
2021-03-08,54.79
2021-03-09,54.41
2021-03-10,54.71
2021-03-11,54.41
2021-03-12,55.45
2021-03-15,57.5
2021-03-16,56.7
2021-03-17,57.41
2021-03-18,68.15
2021-03-19,67.68
2021-03-22,67.29
2021-03-23,67.3
2021-03-24,67.05
2021-03-25,69.17
2021-03-26,67.7
2021-03-29,65.96
2021-03-30,67.71
2021-03-31,66.79
2021-04-01,68.28
2021-04-05,68.3
2021-04-06,67.8
2021-04-07,68.15
2021-04-08,66.56
2021-04-09,66.79
2021-04-12,66.52
2021-04-13,66.61
2021-04-14,66.11
2021-04-15,66.89
2021-04-16,66.25
2021-04-19,66.73
2021-04-20,65.73
2021-04-21,67.45
2021-04-22,66.66
2021-04-23,68.33
2021-04-26,68.69
2021-04-27,69.5
2021-04-28,67.6
2021-04-29,66.65
2021-04-30,65.96
2021-05-03,66.05
2021-05-04,66.81
2021-05-05,66.7
2021-05-06,66.89
2021-05-07,66.65
2021-05-10,65.89
2021-05-11,63.99
2021-05-12,63.38
2021-05-13,64.82
2021-05-14,66.07
2021-05-17,66.15
2021-05-18,65.43
2021-05-19,65.93
2021-05-20,65.68
2021-05-21,65.41
2021-05-24,65.24
2021-05-25,64.58
2021-05-26,64.94
2021-05-27,65.76
2021-05-28,65.35
2021-06-01,65.49
2021-06-02,65.51
2021-06-03,65.62
2021-06-04,65.79
2021-06-07,65.17
2021-06-08,65.89
2021-06-09,66.0
2021-06-10,64.88
2021-06-11,65.12
2021-06-14,64.71
2021-06-15,64.77
2021-06-16,64.6
2021-06-17,62.86
2021-06-18,60.85
2021-06-21,62.15
2021-06-22,61.87
2021-06-23,61.82
2021-06-24,62.21
2021-06-25,63.42
2021-06-28,62.24
2021-06-29,62.08
2021-06-30,61.97
2021-07-01,62.69
2021-07-02,62.16
2021-07-06,61.23
2021-07-07,61.86
2021-07-08,60.09
2021-07-09,61.58
2021-07-12,63.31
2021-07-13,62.6
2021-07-14,62.77
2021-07-15,63.27
2021-07-16,63.32
2021-07-19,61.38
2021-07-20,62.33
2021-07-21,62.61
2021-07-22,61.58
2021-07-23,61.4
2021-07-26,61.93
2021-07-27,61.9
2021-07-28,60.86
2021-07-29,63.21
2021-07-30,63.62
2021-08-02,64.42
2021-08-03,65.21
2021-08-04,64.49
2021-08-05,65.41
2021-08-06,66.4
2021-08-09,66.73
2021-08-10,66.84
2021-08-11,67.53
2021-08-12,67.99
2021-08-13,68.04
2021-08-16,67.78
2021-08-17,67.5
2021-08-18,66.71
2021-08-19,65.93
2021-08-20,66.24
2021-08-23,66.86
2021-08-24,67.18
2021-08-25,67.86
2021-08-26,67.27
2021-08-27,68.18
2021-08-30,67.01
