datetime,close
2020-06-05,11.11
2020-06-08,11.59
2020-06-09,11.02
2020-06-10,10.7
2020-06-11,9.75
2020-06-12,10.15
2020-06-15,10.21
2020-06-16,10.41
2020-06-17,10.04
2020-06-18,10.14
2020-06-19,9.82
2020-06-22,9.71
2020-06-23,9.67
2020-06-24,9.27
2020-06-25,9.47
2020-06-26,9.5
2020-06-29,9.58
2020-06-30,9.73
2020-07-01,9.42
2020-07-02,9.41
2020-07-06,9.59
2020-07-07,9.07
2020-07-08,9.21
2020-07-09,8.98
2020-07-10,9.26
2020-07-13,9.44
2020-07-14,9.51
2020-07-15,9.64
2020-07-16,9.72
2020-07-17,9.67
2020-07-20,9.55
2020-07-21,9.66
2020-07-22,9.75
2020-07-23,9.82
2020-07-24,9.62
2020-07-27,9.75
2020-07-28,9.48
2020-07-29,9.71
2020-07-30,9.62
2020-07-31,9.87
2020-08-03,9.89
2020-08-04,9.96
2020-08-05,9.96
2020-08-06,10.11
2020-08-07,10.09
2020-08-10,10.21
2020-08-11,10.16
2020-08-12,10.14
2020-08-13,9.61
2020-08-14,9.67
2020-08-17,9.46
2020-08-18,9.45
2020-08-19,9.42
2020-08-20,9.26
2020-08-21,9.33
2020-08-24,9.62
2020-08-25,9.33
2020-08-26,9.67
2020-08-27,9.57
2020-08-28,9.83
2020-08-31,9.67
2020-09-01,9.47
2020-09-02,9.83
2020-09-03,9.52
2020-09-04,9.59
2020-09-08,9.43
2020-09-09,9.46
2020-09-10,9.22
2020-09-11,9.24
2020-09-14,9.37
2020-09-15,9.28
2020-09-16,9.47
2020-09-17,9.63
2020-09-18,9.5
2020-09-21,9.23
2020-09-22,9.31
2020-09-23,9.07
2020-09-24,9.13
2020-09-25,9.11
2020-09-28,9.48
2020-09-29,9.38
2020-09-30,9.37
2020-10-01,9.23
2020-10-02,9.42
2020-10-05,9.77
2020-10-06,9.56
2020-10-07,9.77
2020-10-08,9.99
2020-10-09,9.81
2020-10-12,9.93
2020-10-13,9.78
2020-10-14,9.76
2020-10-15,9.88
2020-10-16,9.48
2020-10-19,9.35
2020-10-20,9.34
2020-10-21,9.32
2020-10-22,9.46
2020-10-23,9.48
2020-10-26,9.06
2020-10-27,8.8
2020-10-28,8.37
