datetime,close
2020-06-05,73.56
2020-06-08,74.53
2020-06-09,73.11
2020-06-10,72.78
2020-06-11,69.26
2020-06-12,69.81
2020-06-15,70.37
2020-06-16,72.27
2020-06-17,71.6
2020-06-18,71.67
2020-06-19,72.03
2020-06-22,73.29
2020-06-23,72.77
2020-06-24,71.74
2020-06-25,72.95
2020-06-26,72.69
2020-06-29,72.82
2020-06-30,75.5
2020-07-01,75.84
2020-07-02,75.85
2020-07-06,76.68
2020-07-07,76.26
2020-07-08,76.45
2020-07-09,75.74
2020-07-10,75.64
2020-07-13,75.81
2020-07-14,76.89
2020-07-15,78.15
2020-07-16,77.47
2020-07-17,79.07
2020-07-20,79.52
2020-07-21,79.75
2020-07-22,80.2
2020-07-23,79.95
2020-07-24,79.56
2020-07-27,79.94
2020-07-28,79.91
2020-07-29,80.52
2020-07-30,80.13
2020-07-31,80.73
2020-08-03,81.55
2020-08-04,81.98
2020-08-05,81.96
2020-08-06,82.72
2020-08-07,83.96
2020-08-10,83.53
2020-08-11,82.8
2020-08-12,83.25
2020-08-13,83.67
2020-08-14,82.75
2020-08-17,81.84
2020-08-18,83.55
2020-08-19,82.99
2020-08-20,81.83
2020-08-21,81.62
2020-08-24,81.91
2020-08-25,80.65
2020-08-26,80.31
2020-08-27,80.24
2020-08-28,80.63
2020-08-31,79.92
2020-09-01,81.15
2020-09-02,83.58
2020-09-03,81.58
2020-09-04,79.19
2020-09-08,76.59
2020-09-09,78.03
2020-09-10,77.16
2020-09-11,77.17
2020-09-14,77.95
2020-09-15,79.48
2020-09-16,79.61
2020-09-17,78.89
2020-09-18,79.11
2020-09-21,78.05
2020-09-22,78.64
2020-09-23,76.73
2020-09-24,76.6
2020-09-25,77.78
2020-09-28,80.06
2020-09-29,77.42
2020-09-30,78.51
2020-10-01,78.56
2020-10-02,78.52
2020-10-05,78.59
2020-10-06,77.36
2020-10-07,77.92
2020-10-08,78.24
2020-10-09,78.68
2020-10-12,79.71
2020-10-13,79.79
2020-10-14,79.44
2020-10-15,80.11
2020-10-16,81.32
2020-10-19,81.05
2020-10-20,81.42
2020-10-21,81.86
2020-10-22,82.26
2020-10-23,82.99
2020-10-26,81.66
2020-10-27,81.29
2020-10-28,79.67
2020-10-29,80.43
2020-10-30,80.87
2020-11-02,82.32
2020-11-03,83.93
2020-11-04,86.21
2020-11-05,88.27
2020-11-06,88.5
2020-11-09,91.15
2020-11-10,91.28
2020-11-11,91.48
2020-11-12,90.2
2020-11-13,91.67
2020-11-16,92.34
2020-11-17,92.29
2020-11-18,91.18
2020-11-19,92.45
2020-11-20,92.19
2020-11-23,93.66
2020-11-24,93.62
2020-11-25,92.3
2020-11-27,92.58
2020-11-30,99.46
2020-12-01,93.6
2020-12-02,92.55
2020-12-03,90.61
2020-12-04,93.64
2020-12-07,92.82
2020-12-08,92.08
2020-12-09,90.27
2020-12-10,89.71
2020-12-11,89.33
2020-12-14,88.97
2020-12-15,89.0
2020-12-16,87.76
2020-12-17,87.68
2020-12-18,87.98
2020-12-21,87.19
2020-12-22,86.87
2020-12-23,85.6
2020-12-24,86.37
2020-12-28,86.94
2020-12-29,88.03
2020-12-30,88.52
2020-12-31,89.83
2021-01-04,90.91
2021-01-05,89.81
2021-01-06,90.26
2021-01-07,90.88
2021-01-08,90.05
2021-01-11,87.65
2021-01-12,86.78
2021-01-13,85.45
2021-01-14,83.9
2021-01-15,85.51
2021-01-19,87.49
2021-01-20,89.7
2021-01-21,88.68
2021-01-22,88.09
2021-01-25,87.6
2021-01-26,88.39
2021-01-27,85.16
2021-01-28,87.8
2021-01-29,87.08
2021-02-01,88.35
2021-02-02,90.61
2021-02-03,88.99
2021-02-04,89.96
2021-02-05,89.32
2021-02-08,89.42
2021-02-09,91.2
2021-02-10,91.47
2021-02-11,93.18
2021-02-12,93.59
2021-02-16,93.1
2021-02-17,93.15
2021-02-18,92.87
2021-02-19,93.2
2021-02-22,91.44
2021-02-23,89.46
2021-02-24,91.16
2021-02-25,90.37
2021-02-26,90.16
2021-03-01,92.52
2021-03-02,91.73
2021-03-03,89.49
2021-03-04,89.25
2021-03-05,90.81
2021-03-08,93.17
2021-03-09,93.26
2021-03-10,93.94
2021-03-11,94.44
2021-03-12,94.53
2021-03-15,96.34
2021-03-16,95.33
2021-03-17,95.8
2021-03-18,95.46
2021-03-19,95.34
2021-03-22,94.61
2021-03-23,94.94
2021-03-24,96.19
2021-03-25,96.31
2021-03-26,98.57
2021-03-29,99.28
2021-03-30,96.91
2021-03-31,96.78
2021-04-01,99.5
2021-04-05,100.83
2021-04-06,100.57
2021-04-07,99.33
2021-04-08,100.67
2021-04-09,101.65
2021-04-12,102.32
2021-04-13,102.71
2021-04-14,102.41
2021-04-15,103.16
2021-04-16,103.94
2021-04-19,103.5
2021-04-20,103.9
2021-04-21,105.15
2021-04-22,105.4
2021-04-23,106.81
2021-04-26,105.86
2021-04-27,106.07
2021-04-28,105.24
2021-04-29,108.37
2021-04-30,107.58
2021-05-03,108.5
2021-05-04,109.34
2021-05-05,108.02
2021-05-06,107.55
2021-05-07,107.87
2021-05-10,107.7
2021-05-11,104.6
2021-05-12,101.53
2021-05-13,105.0
2021-05-14,104.96
2021-05-17,103.71
2021-05-18,102.48
2021-05-19,102.52
2021-05-20,103.96
2021-05-21,104.55
2021-05-24,105.13
2021-05-25,104.99
2021-05-26,104.96
2021-05-27,105.61
2021-05-28,105.31
2021-06-01,103.97
2021-06-02,105.46
2021-06-03,105.62
2021-06-04,106.9
2021-06-07,105.88
2021-06-08,106.53
2021-06-09,106.74
2021-06-10,107.29
2021-06-11,108.81
2021-06-14,109.85
2021-06-15,109.53
2021-06-16,108.52
2021-06-17,110.78
2021-06-18,108.19
2021-06-21,110.26
2021-06-22,111.71
2021-06-23,110.47
2021-06-24,113.37
2021-06-25,113.31
2021-06-28,112.96
2021-06-29,112.7
2021-06-30,112.66
