datetime,close
2020-06-05,10.41
2020-06-08,11.55
2020-06-09,11.14
2020-06-10,10.32
2020-06-11,9.82
2020-06-12,10.34
2020-06-15,10.74
2020-06-16,11.14
2020-06-17,11.22
2020-06-18,11.33
2020-06-19,11.09
2020-06-22,11.33
2020-06-23,11.41
2020-06-24,10.72
2020-06-25,10.73
2020-06-26,10.0
2020-06-29,10.39
2020-06-30,10.76
2020-07-01,10.26
2020-07-02,10.55
2020-07-06,10.76
2020-07-07,10.34
2020-07-08,10.6
2020-07-09,10.04
2020-07-10,10.53
2020-07-13,10.62
2020-07-14,10.49
2020-07-15,10.93
2020-07-16,10.73
2020-07-17,10.49
2020-07-20,10.29
2020-07-21,10.74
2020-07-22,10.53
2020-07-23,10.68
2020-07-24,10.44
2020-07-27,10.71
2020-07-28,10.37
2020-07-29,10.6
2020-07-30,10.1
2020-07-31,10.04
2020-08-03,10.0
2020-08-04,9.77
2020-08-05,10.27
2020-08-06,10.32
2020-08-07,10.78
2020-08-10,10.79
2020-08-11,10.94
2020-08-12,11.39
2020-08-13,10.7
2020-08-14,10.68
2020-08-17,10.57
2020-08-18,10.28
2020-08-19,10.33
2020-08-20,10.02
2020-08-21,10.14
2020-08-24,10.6
2020-08-25,10.7
2020-08-26,10.57
2020-08-27,10.82
2020-08-28,10.73
2020-08-31,10.2
2020-09-01,10.18
2020-09-02,10.63
2020-09-03,11.14
2020-09-04,11.39
2020-09-08,10.7
2020-09-09,10.69
2020-09-10,10.26
2020-09-11,10.7
2020-09-14,10.68
2020-09-15,10.53
2020-09-16,10.89
2020-09-17,11.15
2020-09-18,10.98
2020-09-21,10.22
2020-09-22,10.19
2020-09-23,10.42
2020-09-24,10.8
2020-09-25,10.81
2020-09-28,11.49
2020-09-29,11.43
2020-09-30,11.41
2020-10-01,11.25
2020-10-02,11.85
2020-10-05,11.87
2020-10-06,11.85
2020-10-07,12.62
2020-10-08,12.95
2020-10-09,13.11
2020-10-12,13.4
2020-10-13,13.83
2020-10-14,14.03
2020-10-15,14.25
2020-10-16,14.04
2020-10-19,13.91
2020-10-20,14.09
2020-10-21,13.82
2020-10-22,14.05
2020-10-23,13.98
2020-10-26,13.79
2020-10-27,13.97
2020-10-28,13.33
2020-10-29,13.4
2020-10-30,13.11
2020-11-02,13.48
2020-11-03,13.98
2020-11-04,13.75
2020-11-05,14.43
2020-11-06,13.88
2020-11-09,14.84
2020-11-10,14.53
2020-11-11,15.28
2020-11-12,14.96
2020-11-13,15.53
2020-11-16,15.99
2020-11-17,16.3
2020-11-18,16.01
2020-11-19,15.96
2020-11-20,15.72
2020-11-23,16.33
2020-11-24,17.13
2020-11-25,17.03
2020-11-27,17.01
2020-11-30,16.23
2020-12-01,16.46
2020-12-02,16.76
2020-12-03,17.8
2020-12-04,17.79
2020-12-07,18.02
2020-12-08,18.07
