datetime,close
2020-06-05,14.56
2020-06-08,15.21
2020-06-09,14.79
2020-06-10,13.88
2020-06-11,12.7
2020-06-12,13.22
2020-06-15,13.37
2020-06-16,13.72
2020-06-17,13.48
2020-06-18,13.58
2020-06-19,13.35
2020-06-22,13.39
2020-06-23,13.35
2020-06-24,12.49
2020-06-25,12.91
2020-06-26,11.76
2020-06-29,11.87
2020-06-30,12.18
2020-07-01,11.69
2020-07-02,11.71
2020-07-06,11.95
2020-07-07,11.45
2020-07-08,11.6
2020-07-09,11.03
2020-07-10,11.55
2020-07-13,11.76
2020-07-14,11.39
2020-07-15,11.99
2020-07-16,11.98
2020-07-17,11.69
2020-07-20,11.46
2020-07-21,12.14
2020-07-22,11.97
2020-07-23,12.41
2020-07-24,12.25
2020-07-27,12.09
2020-07-28,11.99
2020-07-29,12.56
2020-07-30,12.21
2020-07-31,12.01
2020-08-03,12.03
2020-08-04,12.08
2020-08-05,12.28
2020-08-06,12.18
2020-08-07,12.53
2020-08-10,12.71
2020-08-11,13.08
2020-08-12,12.89
2020-08-13,12.63
2020-08-14,12.75
2020-08-17,12.44
2020-08-18,12.17
2020-08-19,12.17
2020-08-20,11.99
2020-08-21,11.95
2020-08-24,12.39
2020-08-25,12.51
2020-08-26,12.26
2020-08-27,12.67
2020-08-28,12.77
2020-08-31,12.32
2020-09-01,12.53
2020-09-02,12.71
2020-09-03,12.63
2020-09-04,12.89
2020-09-08,12.52
2020-09-09,12.55
2020-09-10,12.29
2020-09-11,12.36
2020-09-14,12.81
2020-09-15,12.53
2020-09-16,12.71
2020-09-17,12.68
2020-09-18,12.65
2020-09-21,12.05
2020-09-22,11.74
2020-09-23,11.54
2020-09-24,11.55
2020-09-25,11.71
2020-09-28,12.13
2020-09-29,11.83
2020-09-30,11.93
2020-10-01,11.92
2020-10-02,12.22
2020-10-05,12.76
2020-10-06,12.6
2020-10-07,13.16
2020-10-08,13.31
2020-10-09,13.12
2020-10-12,13.29
2020-10-13,12.81
2020-10-14,12.67
2020-10-15,12.98
2020-10-16,12.93
2020-10-19,12.78
2020-10-20,13.08
2020-10-21,12.42
2020-10-22,13.08
2020-10-23,13.45
2020-10-26,13.0
2020-10-27,12.63
2020-10-28,12.4
2020-10-29,12.75
2020-10-30,12.98
2020-11-02,13.43
2020-11-03,13.77
2020-11-04,12.54
2020-11-05,13.16
2020-11-06,12.82
2020-11-09,15.2
2020-11-10,15.55
2020-11-11,15.02
2020-11-12,14.48
2020-11-13,14.87
2020-11-16,15.8
2020-11-17,15.67
2020-11-18,15.51
2020-11-19,15.62
2020-11-20,15.33
2020-11-23,15.66
2020-11-24,16.75
2020-11-25,16.51
2020-11-27,16.33
2020-11-30,15.46
2020-12-01,15.84
2020-12-02,15.95
2020-12-03,15.96
2020-12-04,16.12
2020-12-07,15.87
2020-12-08,15.96
2020-12-09,16.05
2020-12-10,16.08
2020-12-11,15.84
2020-12-14,15.43
2020-12-15,15.69
2020-12-16,15.76
2020-12-17,15.58
2020-12-18,15.42
2020-12-21,15.75
2020-12-22,15.74
2020-12-23,16.33
2020-12-24,16.19
2020-12-28,16.25
2020-12-29,15.97
2020-12-30,16.25
2020-12-31,16.41
2021-01-04,16.29
2021-01-05,16.55
2021-01-06,18.16
2021-01-07,18.49
2021-01-08,18.24
2021-01-11,18.48
2021-01-12,18.84
2021-01-13,18.79
2021-01-14,18.93
2021-01-15,18.41
2021-01-19,18.55
2021-01-20,18.29
2021-01-21,18.15
2021-01-22,18.2
2021-01-25,17.78
2021-01-26,17.46
2021-01-27,16.72
2021-01-28,17.32
2021-01-29,16.86
2021-02-01,17.16
2021-02-02,17.67
2021-02-03,18.07
2021-02-04,18.71
2021-02-05,18.57
2021-02-08,18.92
2021-02-09,18.94
2021-02-10,18.96
2021-02-11,18.83
2021-02-12,19.07
2021-02-16,19.79
2021-02-17,19.72
2021-02-18,19.48
2021-02-19,20.15
2021-02-22,20.49
