datetime,close
2020-06-05,32.62
2020-06-08,33.97
2020-06-09,33.1
2020-06-10,32.5
2020-06-11,31.18
2020-06-12,31.8
2020-06-15,32.12
2020-06-16,32.73
2020-06-17,32.8
2020-06-18,33.18
2020-06-19,33.48
2020-06-22,33.15
2020-06-23,32.4
2020-06-24,32.13
2020-06-25,31.88
2020-06-26,30.9
2020-06-29,31.64
2020-06-30,31.89
2020-07-01,31.67
2020-07-02,31.81
2020-07-06,32.0
2020-07-07,32.05
2020-07-08,31.86
2020-07-09,31.37
2020-07-10,32.28
2020-07-13,32.51
2020-07-14,33.31
2020-07-15,33.15
2020-07-16,34.4
2020-07-17,35.01
2020-07-20,34.12
2020-07-21,34.53
2020-07-22,34.9
2020-07-23,34.86
2020-07-24,34.68
2020-07-27,34.84
2020-07-28,35.25
2020-07-29,35.57
2020-07-30,34.39
2020-07-31,34.38
2020-08-03,34.79
2020-08-04,35.08
2020-08-05,34.78
2020-08-06,35.28
2020-08-07,35.41
2020-08-10,34.79
2020-08-11,34.63
2020-08-12,35.33
2020-08-13,35.57
2020-08-14,35.59
2020-08-17,35.93
2020-08-18,35.66
2020-08-19,35.43
2020-08-20,34.85
2020-08-21,34.56
2020-08-24,35.09
2020-08-25,35.37
2020-08-26,35.31
2020-08-27,34.76
2020-08-28,34.88
2020-08-31,35.04
2020-09-01,34.14
2020-09-02,34.71
2020-09-03,33.55
2020-09-04,33.47
2020-09-08,31.76
2020-09-09,31.65
2020-09-10,31.51
2020-09-11,31.71
2020-09-14,31.87
2020-09-15,31.97
2020-09-16,31.36
2020-09-17,30.64
2020-09-18,29.74
2020-09-21,29.65
2020-09-22,29.23
2020-09-23,28.77
2020-09-24,28.84
2020-09-25,29.13
2020-09-28,29.83
2020-09-29,29.59
2020-09-30,29.95
2020-10-01,30.37
2020-10-02,30.47
2020-10-05,31.0
2020-10-06,30.67
2020-10-07,30.84
2020-10-08,31.22
2020-10-09,31.11
2020-10-12,31.65
2020-10-13,32.41
2020-10-14,32.15
2020-10-15,32.3
2020-10-16,32.16
2020-10-19,31.75
2020-10-20,31.99
2020-10-21,31.44
2020-10-22,31.23
2020-10-23,31.37
2020-10-26,30.58
2020-10-27,30.68
2020-10-28,29.22
2020-10-29,30.04
2020-10-30,30.59
2020-11-02,31.67
2020-11-03,31.78
2020-11-04,31.82
2020-11-05,31.7
2020-11-06,31.54
2020-11-09,30.62
2020-11-10,30.48
2020-11-11,31.35
2020-11-12,31.1
2020-11-13,31.61
2020-11-16,32.15
2020-11-17,31.59
2020-11-18,31.63
2020-11-19,31.88
2020-11-20,32.26
2020-11-23,32.6
2020-11-24,33.83
2020-11-25,32.54
2020-11-27,32.84
2020-11-30,32.94
2020-12-01,33.14
2020-12-02,32.78
2020-12-03,33.45
2020-12-04,34.12
2020-12-07,33.6
2020-12-08,34.34
2020-12-09,34.22
2020-12-10,34.1
2020-12-11,34.07
2020-12-14,34.42
2020-12-15,34.33
2020-12-16,34.43
2020-12-17,34.62
2020-12-18,34.77
2020-12-21,34.57
2020-12-22,34.39
2020-12-23,34.8
