datetime,close
2020-06-05,15.22
2020-06-08,15.69
2020-06-09,14.92
2020-06-10,14.06
2020-06-11,12.55
2020-06-12,13.76
2020-06-15,13.62
2020-06-16,14.13
2020-06-17,13.33
2020-06-18,13.33
2020-06-19,12.72
2020-06-22,13.06
2020-06-23,13.05
2020-06-24,12.81
2020-06-25,12.75
2020-06-26,12.52
2020-06-29,12.72
2020-06-30,12.84
2020-07-01,12.91
2020-07-02,12.76
2020-07-06,12.93
2020-07-07,12.15
2020-07-08,12.15
2020-07-09,11.84
2020-07-10,12.1
2020-07-13,11.8
2020-07-14,11.5
2020-07-15,12.02
2020-07-16,11.84
2020-07-17,11.62
2020-07-20,11.25
2020-07-21,11.21
2020-07-22,11.29
2020-07-23,11.09
2020-07-24,10.75
2020-07-27,10.71
2020-07-28,11.12
2020-07-29,11.33
2020-07-30,11.23
2020-07-31,11.15
2020-08-03,11.09
2020-08-04,11.54
2020-08-05,11.32
2020-08-06,11.44
2020-08-07,11.93
2020-08-10,12.07
2020-08-11,12.46
2020-08-12,12.39
2020-08-13,12.01
2020-08-14,11.98
2020-08-17,12.0
2020-08-18,11.75
2020-08-19,11.43
2020-08-20,11.55
2020-08-21,11.43
2020-08-24,11.85
2020-08-25,11.82
2020-08-26,11.57
2020-08-27,11.88
2020-08-28,12.07
2020-08-31,11.99
2020-09-01,12.21
2020-09-02,12.36
2020-09-03,12.51
2020-09-04,12.66
2020-09-08,12.26
2020-09-09,12.09
2020-09-10,12.13
2020-09-11,11.66
2020-09-14,12.37
2020-09-15,12.97
2020-09-16,13.06
2020-09-17,12.85
2020-09-18,12.2
2020-09-21,11.55
2020-09-22,11.35
2020-09-23,10.79
2020-09-24,10.9
2020-09-25,11.22
2020-09-28,11.56
2020-09-29,11.28
2020-09-30,11.26
2020-10-01,11.61
2020-10-02,11.9
2020-10-05,11.95
2020-10-06,11.95
2020-10-07,11.76
2020-10-08,12.02
2020-10-09,11.62
2020-10-12,11.61
2020-10-13,11.07
2020-10-14,10.97
2020-10-15,11.11
2020-10-16,11.02
2020-10-19,10.93
2020-10-20,11.1
2020-10-21,11.06
2020-10-22,11.46
2020-10-23,11.5
2020-10-26,11.11
2020-10-27,10.59
2020-10-28,10.22
2020-10-29,10.42
2020-10-30,10.26
2020-11-02,10.45
2020-11-03,11.02
2020-11-04,10.73
2020-11-05,10.59
2020-11-06,10.26
2020-11-09,13.57
2020-11-10,14.14
2020-11-11,14.14
2020-11-12,13.55
2020-11-13,14.22
2020-11-16,15.23
2020-11-17,15.07
2020-11-18,14.55
2020-11-19,14.98
2020-11-20,14.95
2020-11-23,15.61
