datetime,close
2020-06-05,47.27
2020-06-08,50.04
2020-06-09,47.21
2020-06-10,44.12
2020-06-11,38.43
2020-06-12,40.68
2020-06-15,41.8
2020-06-16,42.46
2020-06-17,40.73
2020-06-18,40.63
2020-06-19,39.6
2020-06-22,38.52
2020-06-23,38.67
2020-06-24,36.04
2020-06-25,36.8
2020-06-26,34.65
2020-06-29,35.74
2020-06-30,36.79
2020-07-01,34.67
2020-07-02,34.61
2020-07-06,35.9
2020-07-07,34.12
2020-07-08,35.22
2020-07-09,32.71
2020-07-10,34.78
2020-07-13,35.08
2020-07-14,35.46
2020-07-15,37.21
2020-07-16,37.5
2020-07-17,37.04
2020-07-20,36.22
2020-07-21,37.48
2020-07-22,37.59
2020-07-23,37.59
2020-07-24,37.21
2020-07-27,36.75
2020-07-28,36.29
2020-07-29,38.37
2020-07-30,36.93
2020-07-31,37.27
2020-08-03,37.58
2020-08-04,36.51
2020-08-05,39.0
2020-08-06,35.92
2020-08-07,38.36
2020-08-10,39.18
2020-08-11,39.81
2020-08-12,38.82
2020-08-13,38.2
2020-08-14,38.82
2020-08-17,37.56
2020-08-18,36.68
2020-08-19,36.41
2020-08-20,35.75
2020-08-21,34.92
2020-08-24,36.74
2020-08-25,36.45
2020-08-26,35.99
2020-08-27,37.01
2020-08-28,37.39
2020-08-31,36.05
2020-09-01,36.15
2020-09-02,35.92
2020-09-03,35.67
2020-09-04,38.22
2020-09-08,35.82
2020-09-09,35.75
2020-09-10,34.46
2020-09-11,34.43
2020-09-14,35.34
2020-09-15,33.59
2020-09-16,34.45
2020-09-17,33.47
2020-09-18,33.64
2020-09-21,31.54
2020-09-22,31.31
2020-09-23,30.44
2020-09-24,30.14
2020-09-25,30.62
2020-09-28,32.05
2020-09-29,30.94
2020-09-30,31.33
2020-10-01,31.89
2020-10-02,32.64
2020-10-05,34.29
2020-10-06,33.73
2020-10-07,35.12
2020-10-08,35.63
2020-10-09,34.85
2020-10-12,35.47
2020-10-13,34.01
2020-10-14,33.88
2020-10-15,34.03
2020-10-16,33.78
2020-10-19,33.72
2020-10-20,34.5
2020-10-21,34.52
2020-10-22,36.89
2020-10-23,37.05
2020-10-26,35.79
2020-10-27,33.78
2020-10-28,32.71
2020-10-29,34.02
2020-10-30,35.1
2020-11-02,36.37
2020-11-03,37.39
2020-11-04,35.03
2020-11-05,35.9
2020-11-06,34.07
2020-11-09,42.63
2020-11-10,42.44
2020-11-11,41.29
2020-11-12,39.36
2020-11-13,41.68
2020-11-16,42.82
2020-11-17,43.1
2020-11-18,43.92
2020-11-19,44.62
2020-11-20,44.16
2020-11-23,46.59
2020-11-24,50.91
2020-11-25,50.19
2020-11-27,49.16
2020-11-30,47.22
2020-12-01,49.9
2020-12-02,51.35
2020-12-03,52.21
2020-12-04,54.73
2020-12-07,53.18
2020-12-08,53.06
2020-12-09,52.59
2020-12-10,52.65
2020-12-11,51.33
2020-12-14,50.05
2020-12-15,50.36
2020-12-16,50.24
2020-12-17,49.46
2020-12-18,48.61
2020-12-21,48.43
2020-12-22,47.97
2020-12-23,49.95
2020-12-24,49.74
2020-12-28,49.89
2020-12-29,49.16
2020-12-30,49.58
2020-12-31,50.31
2021-01-04,48.82
2021-01-05,49.11
2021-01-06,52.57
2021-01-07,52.63
2021-01-08,51.41
2021-01-11,51.48
2021-01-12,52.29
2021-01-13,51.66
2021-01-14,52.75
2021-01-15,51.4
2021-01-19,52.61
2021-01-20,52.47
2021-01-21,51.21
2021-01-22,50.7
2021-01-25,50.15
2021-01-26,49.12
2021-01-27,46.84
2021-01-28,48.56
2021-01-29,45.49
2021-02-01,46.28
2021-02-02,47.44
2021-02-03,48.66
2021-02-04,50.0
2021-02-05,51.08
2021-02-08,52.55
2021-02-09,51.39
2021-02-10,52.37
2021-02-11,51.8
2021-02-12,52.35
2021-02-16,54.16
2021-02-17,54.52
2021-02-18,53.54
2021-02-19,55.56
2021-02-22,57.06
2021-02-23,56.92
2021-02-24,59.4
2021-02-25,57.19
2021-02-26,56.87
2021-03-01,58.17
2021-03-02,57.51
2021-03-03,58.57
2021-03-04,56.74
2021-03-05,58.57
2021-03-08,59.96
2021-03-09,60.13
2021-03-10,61.52
2021-03-11,61.71
2021-03-12,62.8
2021-03-15,63.64
2021-03-16,61.03
2021-03-17,62.96
2021-03-18,64.46
2021-03-19,63.74
2021-03-22,62.39
2021-03-23,59.54
2021-03-24,58.51
2021-03-25,60.92
2021-03-26,62.14
2021-03-29,60.8
2021-03-30,62.71
2021-03-31,62.27
2021-04-01,62.9
2021-04-05,62.55
2021-04-06,62.96
2021-04-07,63.78
2021-04-08,62.97
2021-04-09,62.7
2021-04-12,63.64
2021-04-13,62.89
2021-04-14,64.44
2021-04-15,64.19
2021-04-16,65.01
2021-04-19,64.78
2021-04-20,62.4
2021-04-21,63.58
2021-04-22,62.24
2021-04-23,63.62
2021-04-26,63.9
2021-04-27,64.55
2021-04-28,64.79
2021-04-29,65.38
2021-04-30,64.13
2021-05-03,64.62
2021-05-04,64.68
2021-05-05,66.33
2021-05-06,68.6
2021-05-07,69.3
2021-05-10,69.36
2021-05-11,68.11
2021-05-12,66.69
2021-05-13,68.8
2021-05-14,70.45
2021-05-17,70.17
2021-05-18,69.34
2021-05-19,69.63
2021-05-20,68.32
2021-05-21,68.65
2021-05-24,69.28
2021-05-25,67.16
2021-05-26,68.39
2021-05-27,69.84
2021-05-28,69.79
2021-06-01,70.84
2021-06-02,70.93
2021-06-03,70.97
2021-06-04,71.13
2021-06-07,71.04
2021-06-08,70.77
2021-06-09,68.28
2021-06-10,66.97
2021-06-11,67.71
2021-06-14,66.26
2021-06-15,66.81
2021-06-16,67.18
2021-06-17,62.41
2021-06-18,59.43
2021-06-21,61.79
2021-06-22,61.7
2021-06-23,62.3
2021-06-24,63.28
2021-06-25,65.58
2021-06-28,63.11
2021-06-29,62.27
2021-06-30,62.84
2021-07-01,64.35
2021-07-02,64.26
2021-07-06,62.02
2021-07-07,61.27
2021-07-08,59.42
2021-07-09,62.01
2021-07-12,63.81
2021-07-13,62.6
2021-07-14,61.77
2021-07-15,61.74
2021-07-16,59.69
2021-07-19,57.0
2021-07-20,59.39
2021-07-21,61.44
2021-07-22,60.18
2021-07-23,60.28
2021-07-26,61.49
2021-07-27,60.97
2021-07-28,61.23
2021-07-29,62.3
2021-07-30,61.62
2021-08-02,60.79
2021-08-03,62.05
2021-08-04,61.06
2021-08-05,65.56
2021-08-06,67.36
2021-08-09,67.5
2021-08-10,68.65
2021-08-11,70.21
2021-08-12,70.58
2021-08-13,70.41
2021-08-16,68.75
2021-08-17,67.5
2021-08-18,66.78
2021-08-19,65.4
2021-08-20,65.81
2021-08-23,67.55
2021-08-24,68.91
2021-08-25,70.08
2021-08-26,68.92
2021-08-27,70.66
2021-08-30,68.72
2021-08-31,68.65
2021-09-01,67.62
2021-09-02,67.88
2021-09-03,67.56
2021-09-07,66.44
2021-09-08,66.21
2021-09-09,66.45
2021-09-10,65.44
2021-09-13,66.52
2021-09-14,65.57
2021-09-15,66.68
2021-09-16,66.58
2021-09-17,67.54
2021-09-20,64.29
2021-09-21,62.8
2021-09-22,64.42
2021-09-23,67.44
2021-09-24,68.53
2021-09-27,71.89
2021-09-28,70.98
2021-09-29,70.53
2021-09-30,68.75
2021-10-01,70.21
2021-10-04,69.55
2021-10-05,71.54
2021-10-06,71.75
2021-10-07,72.25
2021-10-08,72.63
2021-10-11,72.81
2021-10-12,72.61
2021-10-13,71.11
2021-10-14,72.76
2021-10-15,72.3
2021-10-18,72.76
2021-10-19,73.93
2021-10-20,75.76
2021-10-21,74.71
2021-10-22,75.72
2021-10-25,75.72
2021-10-26,75.48
2021-10-27,73.4
2021-10-28,74.95
2021-10-29,72.15
2021-11-01,74.1
2021-11-02,74.1
2021-11-03,76.13
2021-11-04,71.81
2021-11-05,72.47
2021-11-08,73.27
2021-11-09,72.21
2021-11-10,72.03
2021-11-11,73.29
2021-11-12,73.71
