datetime,close
2020-06-05,10.81
2020-06-08,11.37
2020-06-09,11.01
2020-06-10,10.71
2020-06-11,9.75
2020-06-12,10.08
2020-06-15,10.15
2020-06-16,10.45
2020-06-17,10.22
2020-06-18,10.15
2020-06-19,10.15
2020-06-22,10.15
2020-06-23,10.1
2020-06-24,9.74
2020-06-25,10.04
2020-06-26,9.51
2020-06-29,9.79
2020-06-30,10.03
2020-07-01,9.87
2020-07-02,9.79
2020-07-06,9.98
2020-07-07,9.9
2020-07-08,9.8
2020-07-09,9.63
2020-07-10,9.91
2020-07-13,9.68
2020-07-14,9.89
2020-07-15,9.71
2020-07-16,9.93
2020-07-17,9.8
2020-07-20,9.64
2020-07-21,9.73
2020-07-22,9.82
2020-07-23,9.99
2020-07-24,10.09
2020-07-27,9.7
2020-07-28,9.89
2020-07-29,9.84
2020-07-30,9.74
2020-07-31,9.65
2020-08-03,9.8
2020-08-04,9.88
2020-08-05,9.84
2020-08-06,10.56
2020-08-07,10.49
2020-08-10,10.86
2020-08-11,11.04
2020-08-12,10.79
2020-08-13,10.85
2020-08-14,11.07
2020-08-17,10.8
2020-08-18,10.9
2020-08-19,11.29
2020-08-20,11.0
2020-08-21,11.01
2020-08-24,11.42
2020-08-25,11.21
2020-08-26,11.23
2020-08-27,11.34
2020-08-28,10.99
2020-08-31,10.75
2020-09-01,10.65
2020-09-02,10.92
2020-09-03,10.77
2020-09-04,10.76
2020-09-08,10.65
2020-09-09,10.86
2020-09-10,10.55
2020-09-11,10.65
2020-09-14,10.87
2020-09-15,10.99
2020-09-16,11.0
2020-09-17,11.0
2020-09-18,10.77
2020-09-21,10.26
2020-09-22,10.26
2020-09-23,10.05
2020-09-24,10.14
2020-09-25,10.21
2020-09-28,10.28
2020-09-29,10.22
2020-09-30,10.09
2020-10-01,9.95
2020-10-02,10.03
2020-10-05,10.06
2020-10-06,9.89
2020-10-07,10.08
2020-10-08,10.13
2020-10-09,10.11
2020-10-12,10.03
2020-10-13,9.88
2020-10-14,9.8
2020-10-15,9.93
2020-10-16,9.86
2020-10-19,9.61
2020-10-20,9.62
2020-10-21,9.66
2020-10-22,9.68
2020-10-23,9.61
2020-10-26,9.25
2020-10-27,8.96
2020-10-28,8.71
2020-10-29,8.67
2020-10-30,8.62
2020-11-02,8.88
2020-11-03,9.11
2020-11-04,8.8
2020-11-05,9.28
2020-11-06,9.09
2020-11-09,9.25
2020-11-10,9.79
2020-11-11,9.67
2020-11-12,9.62
2020-11-13,9.85
2020-11-16,10.07
2020-11-17,10.14
2020-11-18,9.94
2020-11-19,9.82
2020-11-20,10.04
2020-11-23,10.47
2020-11-24,10.9
2020-11-25,10.77
2020-11-27,10.46
2020-11-30,10.45
2020-12-01,10.55
2020-12-02,10.5
2020-12-03,10.51
2020-12-04,10.56
2020-12-07,9.86
2020-12-08,10.29
2020-12-09,10.45
2020-12-10,10.03
2020-12-11,10.19
2020-12-14,10.42
2020-12-15,10.5
2020-12-16,10.35
2020-12-17,10.25
2020-12-18,10.16
2020-12-21,9.92
2020-12-22,9.78
2020-12-23,9.9
2020-12-24,9.86
2020-12-28,9.84
2020-12-29,9.79
2020-12-30,9.72
2020-12-31,9.75
2021-01-04,9.72
2021-01-05,9.93
2021-01-06,10.53
2021-01-07,10.51
2021-01-08,10.53
2021-01-11,10.54
2021-01-12,10.72
2021-01-13,10.79
2021-01-14,11.32
2021-01-15,11.43
2021-01-19,11.06
2021-01-20,11.06
2021-01-21,11.09
2021-01-22,11.17
2021-01-25,11.39
2021-01-26,14.59
2021-01-27,15.36
2021-01-28,11.91
2021-01-29,12.38
2021-02-01,11.77
2021-02-02,11.49
2021-02-03,11.77
2021-02-04,11.74
2021-02-05,12.23
2021-02-08,12.37
2021-02-09,12.56
2021-02-10,12.48
2021-02-11,11.5
2021-02-12,11.78
2021-02-16,11.79
2021-02-17,11.77
2021-02-18,11.7
2021-02-19,11.94
2021-02-22,11.98
2021-02-23,12.19
2021-02-24,12.45
2021-02-25,12.15
2021-02-26,12.29
2021-03-01,12.51
2021-03-02,12.85
2021-03-03,13.79
2021-03-04,13.42
2021-03-05,13.47
2021-03-08,14.3
2021-03-09,13.85
2021-03-10,13.88
2021-03-11,13.6
2021-03-12,14.03
2021-03-15,14.19
2021-03-16,14.03
2021-03-17,14.14
2021-03-18,13.96
2021-03-19,13.98
2021-03-22,14.37
2021-03-23,13.63
2021-03-24,13.22
2021-03-25,13.57
2021-03-26,13.16
2021-03-29,13.14
2021-03-30,13.23
2021-03-31,13.35
2021-04-01,13.11
2021-04-05,13.29
2021-04-06,13.36
2021-04-07,13.48
2021-04-08,12.91
2021-04-09,12.82
2021-04-12,12.87
2021-04-13,12.8
2021-04-14,12.74
2021-04-15,12.65
2021-04-16,12.71
2021-04-19,12.64
2021-04-20,12.68
2021-04-21,12.9
2021-04-22,13.01
2021-04-23,13.04
2021-04-26,13.06
2021-04-27,12.95
2021-04-28,12.92
2021-04-29,13.16
2021-04-30,12.83
2021-05-03,13.08
2021-05-04,13.13
2021-05-05,12.77
2021-05-06,13.43
2021-05-07,13.99
2021-05-10,14.29
2021-05-11,14.11
2021-05-12,13.95
2021-05-13,14.16
2021-05-14,14.43
2021-05-17,14.55
2021-05-18,14.58
2021-05-19,14.42
2021-05-20,14.2
2021-05-21,14.3
2021-05-24,14.35
2021-05-25,14.06
2021-05-26,14.15
2021-05-27,14.21
2021-05-28,13.84
2021-06-01,14.14
2021-06-02,14.55
2021-06-03,14.99
2021-06-04,14.75
2021-06-07,14.78
2021-06-08,15.23
2021-06-09,15.28
2021-06-10,15.07
2021-06-11,15.06
2021-06-14,14.85
2021-06-15,14.85
2021-06-16,14.63
2021-06-17,14.22
2021-06-18,14.01
2021-06-21,14.12
2021-06-22,14.03
2021-06-23,13.79
2021-06-24,13.95
2021-06-25,14.05
2021-06-28,13.79
2021-06-29,13.63
2021-06-30,13.59
2021-07-01,13.74
2021-07-02,13.7
2021-07-06,13.4
2021-07-07,13.48
2021-07-08,13.19
2021-07-09,13.51
2021-07-12,13.45
2021-07-13,13.3
2021-07-14,13.21
2021-07-15,13.22
2021-07-16,12.74
2021-07-19,12.63
2021-07-20,12.85
2021-07-21,12.85
2021-07-22,12.63
2021-07-23,12.63
2021-07-26,12.92
2021-07-27,12.78
2021-07-28,12.65
2021-07-29,12.57
2021-07-30,12.47
2021-08-02,12.54
2021-08-03,12.75
2021-08-04,11.62
2021-08-05,11.78
2021-08-06,11.75
2021-08-09,11.83
2021-08-10,11.97
2021-08-11,12.4
2021-08-12,12.13
2021-08-13,12.09
2021-08-16,12.06
2021-08-17,12.07
2021-08-18,11.61
2021-08-19,11.34
2021-08-20,11.83
2021-08-23,11.94
2021-08-24,12.18
2021-08-25,12.26
2021-08-26,12.16
2021-08-27,11.97
2021-08-30,11.96
2021-08-31,12.3
2021-09-01,12.13
2021-09-02,12.35
2021-09-03,12.13
2021-09-07,11.97
2021-09-08,12.1
2021-09-09,12.36
2021-09-10,11.97
2021-09-13,12.59
2021-09-14,12.5
2021-09-15,12.72
2021-09-16,12.74
2021-09-17,12.94
2021-09-20,12.73
2021-09-21,12.6
2021-09-22,12.55
2021-09-23,12.73
2021-09-24,12.93
2021-09-27,13.12
2021-09-28,13.05
2021-09-29,13.21
2021-09-30,12.39
2021-10-01,12.68
2021-10-04,12.93
2021-10-05,12.91
2021-10-06,12.79
2021-10-07,12.7
2021-10-08,12.48
2021-10-11,12.18
2021-10-12,12.14
2021-10-13,12.12
2021-10-14,12.22
2021-10-15,12.09
2021-10-18,12.1
2021-10-19,12.28
2021-10-20,12.68
2021-10-21,12.495
2021-10-22,12.48
2021-10-25,12.22
2021-10-26,12.13
2021-10-27,11.85
2021-10-28,11.86
2021-10-29,11.85
2021-11-01,12.07
2021-11-02,12.23
2021-11-03,12.18
2021-11-04,13.72
2021-11-05,14.105
2021-11-08,14.02
2021-11-09,14.0
2021-11-10,13.95
2021-11-11,14.27
2021-11-12,14.22
