datetime,close
2020-06-05,52.53
2020-06-08,53.61
2020-06-09,52.95
2020-06-10,53.11
2020-06-11,50.53
2020-06-12,50.73
2020-06-15,51.22
2020-06-16,52.58
2020-06-17,52.71
2020-06-18,53.09
2020-06-19,52.56
2020-06-22,52.35
2020-06-23,51.92
2020-06-24,50.64
2020-06-25,50.83
2020-06-26,50.08
2020-06-29,50.58
2020-06-30,51.13
2020-07-01,51.08
2020-07-02,51.49
2020-07-06,51.62
2020-07-07,51.5
2020-07-08,51.24
2020-07-09,50.26
2020-07-10,51.44
2020-07-13,51.65
2020-07-14,52.85
2020-07-15,52.57
2020-07-16,53.04
2020-07-17,54.07
2020-07-20,53.42
2020-07-21,54.04
2020-07-22,54.55
2020-07-23,54.88
2020-07-24,54.87
2020-07-27,55.58
2020-07-28,55.71
2020-07-29,56.79
2020-07-30,55.77
2020-07-31,55.49
2020-08-03,55.49
2020-08-04,55.58
2020-08-05,55.15
2020-08-06,55.49
2020-08-07,55.6
2020-08-10,55.49
2020-08-11,55.2
2020-08-12,56.03
2020-08-13,56.01
2020-08-14,56.12
2020-08-17,56.52
2020-08-18,57.27
2020-08-19,56.76
2020-08-20,57.24
2020-08-21,57.47
2020-08-24,57.98
2020-08-25,57.89
2020-08-26,58.36
2020-08-27,58.13
2020-08-28,58.31
2020-08-31,58.42
2020-09-01,58.2
2020-09-02,59.01
2020-09-03,57.83
2020-09-04,57.88
2020-09-08,56.39
2020-09-09,57.5
2020-09-10,57.1
2020-09-11,57.55
2020-09-14,58.01
2020-09-15,58.09
2020-09-16,57.97
2020-09-17,57.21
2020-09-18,56.52
2020-09-21,55.85
2020-09-22,55.81
2020-09-23,54.82
2020-09-24,55.61
2020-09-25,56.16
2020-09-28,57.01
2020-09-29,56.48
2020-09-30,57.45
2020-10-01,57.91
2020-10-02,56.86
2020-10-05,57.08
2020-10-06,56.09
2020-10-07,56.19
2020-10-08,56.5
2020-10-09,57.3
2020-10-12,58.65
2020-10-13,58.9
2020-10-14,58.59
2020-10-15,58.34
2020-10-16,57.97
2020-10-19,57.17
2020-10-20,56.98
2020-10-21,56.82
2020-10-22,56.82
2020-10-23,56.61
2020-10-26,55.23
2020-10-27,55.01
2020-10-28,53.15
2020-10-29,53.19
2020-10-30,53.12
2020-11-02,54.34
2020-11-03,54.42
2020-11-04,54.94
2020-11-05,55.64
2020-11-06,55.84
2020-11-09,55.92
2020-11-10,57.09
2020-11-11,57.74
2020-11-12,57.47
2020-11-13,58.06
2020-11-16,58.68
2020-11-17,58.54
2020-11-18,57.76
2020-11-19,57.6
2020-11-20,57.14
2020-11-23,57.35
2020-11-24,57.82
2020-11-25,57.49
2020-11-27,57.46
2020-11-30,57.45
2020-12-01,58.46
2020-12-02,58.14
2020-12-03,58.56
2020-12-04,59.03
2020-12-07,58.41
2020-12-08,58.29
2020-12-09,57.72
2020-12-10,57.18
2020-12-11,57.4
2020-12-14,57.29
2020-12-15,57.45
2020-12-16,57.2
2020-12-17,57.93
2020-12-18,58.32
2020-12-21,57.68
2020-12-22,57.16
2020-12-23,57.35
2020-12-24,57.85
2020-12-28,58.27
2020-12-29,58.45
2020-12-30,58.0
2020-12-31,58.47
2021-01-04,57.92
2021-01-05,57.98
2021-01-06,57.87
2021-01-07,57.76
2021-01-08,58.19
2021-01-11,57.09
2021-01-12,57.32
2021-01-13,57.37
2021-01-14,57.31
2021-01-15,57.22
2021-01-19,57.14
2021-01-20,57.1
2021-01-21,56.12
2021-01-22,56.25
2021-01-25,56.87
2021-01-26,57.59
2021-01-27,56.42
2021-01-28,57.12
2021-01-29,55.44
2021-02-01,55.25
2021-02-02,56.16
2021-02-03,55.28
2021-02-04,56.0
2021-02-05,56.21
2021-02-08,56.02
2021-02-09,55.5
2021-02-10,55.25
2021-02-11,55.68
2021-02-12,55.19
2021-02-16,54.88
2021-02-17,54.92
2021-02-18,56.13
2021-02-19,54.31
2021-02-22,54.32
2021-02-23,54.8
2021-02-24,54.33
2021-02-25,54.04
2021-02-26,53.16
2021-03-01,53.66
2021-03-02,53.68
2021-03-03,52.94
2021-03-04,53.96
2021-03-05,55.58
2021-03-08,55.15
2021-03-09,55.62
2021-03-10,56.19
2021-03-11,56.27
2021-03-12,56.87
2021-03-15,57.23
2021-03-16,57.78
2021-03-17,57.92
2021-03-18,57.91
2021-03-19,58.1
2021-03-22,58.84
2021-03-23,58.6
2021-03-24,58.06
2021-03-25,58.56
2021-03-26,59.44
2021-03-29,60.18
2021-03-30,58.78
2021-03-31,58.53
2021-04-01,58.44
2021-04-05,58.82
2021-04-06,59.09
2021-04-07,59.19
2021-04-08,58.98
2021-04-09,58.85
2021-04-12,58.61
2021-04-13,58.69
2021-04-14,58.32
2021-04-15,58.71
2021-04-16,58.77
2021-04-19,58.69
2021-04-20,59.21
2021-04-21,59.57
2021-04-22,59.55
2021-04-23,59.51
2021-04-26,58.77
