datetime,close
2020-06-05,72.23
2020-06-08,70.4
2020-06-09,70.43
2020-06-10,70.44
2020-06-11,67.8
2020-06-12,68.3
2020-06-15,68.8
2020-06-16,69.5
2020-06-17,69.54
2020-06-18,69.71
2020-06-19,70.08
2020-06-22,70.27
2020-06-23,70.18
2020-06-24,68.07
2020-06-25,69.06
2020-06-26,67.9
2020-06-29,69.11
2020-06-30,69.32
2020-07-01,69.03
2020-07-02,69.26
2020-07-06,71.31
2020-07-07,71.7
2020-07-08,71.76
2020-07-09,71.05
2020-07-10,71.65
2020-07-13,70.55
2020-07-14,71.63
2020-07-15,72.19
2020-07-16,72.62
2020-07-17,74.22
2020-07-20,73.87
2020-07-21,75.0
2020-07-22,75.73
2020-07-23,74.93
2020-07-24,74.88
2020-07-27,76.43
2020-07-28,76.19
2020-07-29,77.31
2020-07-30,77.82
2020-07-31,78.48
2020-08-03,77.84
2020-08-04,78.01
2020-08-05,83.1
2020-08-06,83.51
2020-08-07,83.19
2020-08-10,82.0
2020-08-11,80.6
2020-08-12,82.65
2020-08-13,83.82
2020-08-14,83.32
2020-08-17,83.45
2020-08-18,82.98
2020-08-19,82.67
2020-08-20,83.01
2020-08-21,82.73
2020-08-24,83.69
2020-08-25,83.97
2020-08-26,83.97
2020-08-27,83.34
2020-08-28,84.54
2020-08-31,83.86
2020-09-01,84.84
2020-09-02,86.53
2020-09-03,82.7
2020-09-04,82.27
2020-09-08,80.1
2020-09-09,82.74
2020-09-10,81.78
2020-09-11,81.34
2020-09-14,82.89
2020-09-15,83.14
2020-09-16,81.87
2020-09-17,80.71
2020-09-18,78.99
2020-09-21,78.38
2020-09-22,79.23
2020-09-23,77.79
2020-09-24,78.0
2020-09-25,78.79
2020-09-28,80.51
2020-09-29,79.79
2020-09-30,80.2
2020-10-01,81.48
2020-10-02,79.55
2020-10-05,78.67
2020-10-06,77.63
2020-10-07,78.76
2020-10-08,79.17
2020-10-09,80.95
2020-10-12,82.78
2020-10-13,83.49
2020-10-14,82.8
2020-10-15,81.39
2020-10-16,80.76
2020-10-19,80.01
2020-10-20,80.2
2020-10-21,80.09
2020-10-22,80.56
2020-10-23,80.39
2020-10-26,78.85
2020-10-27,80.39
2020-10-28,77.37
2020-10-29,77.54
2020-10-30,76.57
2020-11-02,77.92
2020-11-03,79.52
2020-11-04,82.72
2020-11-05,83.68
2020-11-06,83.26
2020-11-09,81.35
2020-11-10,81.58
2020-11-11,84.5
2020-11-12,82.96
2020-11-13,84.02
2020-11-16,83.58
2020-11-17,85.54
2020-11-18,84.22
2020-11-19,83.73
2020-11-20,83.52
2020-11-23,84.07
2020-11-24,84.19
2020-11-25,84.08
2020-11-27,84.15
2020-11-30,84.78
2020-12-01,86.68
2020-12-02,86.26
2020-12-03,86.52
2020-12-04,87.44
2020-12-07,87.17
2020-12-08,88.2
2020-12-09,87.9
2020-12-10,88.03
2020-12-11,88.02
2020-12-14,88.42
2020-12-15,88.58
2020-12-16,89.8
2020-12-17,90.14
2020-12-18,90.13
2020-12-21,88.97
2020-12-22,88.27
2020-12-23,88.94
2020-12-24,89.81
2020-12-28,90.81
2020-12-29,91.04
2020-12-30,91.46
2020-12-31,92.48
2021-01-04,90.6
2021-01-05,91.42
2021-01-06,90.7
2021-01-07,93.5
2021-01-08,94.99
2021-01-11,92.94
2021-01-12,93.99
2021-01-13,91.87
2021-01-14,91.36
2021-01-15,91.65
2021-01-19,90.08
2021-01-20,89.61
2021-01-21,89.2
2021-01-22,88.2
2021-01-25,88.46
2021-01-26,88.8
2021-01-27,85.93
2021-01-28,88.73
2021-01-29,86.83
2021-02-01,88.25
2021-02-02,90.44
2021-02-03,90.41
2021-02-04,91.47
2021-02-05,91.1
2021-02-08,90.88
2021-02-09,90.51
2021-02-10,90.45
2021-02-11,89.94
2021-02-12,91.73
2021-02-16,92.18
2021-02-17,92.16
2021-02-18,92.65
2021-02-19,89.65
2021-02-22,89.17
2021-02-23,88.32
2021-02-24,88.24
2021-02-25,85.35
2021-02-26,87.74
2021-03-01,87.55
2021-03-02,86.88
2021-03-03,84.6
2021-03-04,84.68
2021-03-05,86.42
2021-03-08,85.14
2021-03-09,88.44
2021-03-10,89.4
2021-03-11,89.35
2021-03-12,88.94
2021-03-15,89.31
2021-03-16,89.39
2021-03-17,88.6
2021-03-18,87.92
2021-03-19,87.92
2021-03-22,89.05
2021-03-23,89.62
2021-03-24,88.72
2021-03-25,88.79
2021-03-26,91.65
2021-03-29,91.92
2021-03-30,90.69
2021-03-31,91.09
2021-04-01,91.36
2021-04-05,93.44
2021-04-06,93.73
2021-04-07,94.23
2021-04-08,95.3
2021-04-09,95.29
2021-04-12,95.42
2021-04-13,95.89
2021-04-14,94.8
2021-04-15,95.95
2021-04-16,98.17
2021-04-19,97.86
2021-04-20,97.4
2021-04-21,97.99
2021-04-22,97.51
2021-04-23,98.68
2021-04-26,97.14
2021-04-27,97.02
2021-04-28,96.47
2021-04-29,97.94
2021-04-30,97.05
2021-05-03,97.61
2021-05-04,95.94
2021-05-05,94.45
2021-05-06,95.02
2021-05-07,91.25
2021-05-10,91.6
2021-05-11,91.54
2021-05-12,89.79
2021-05-13,89.47
2021-05-14,92.14
2021-05-17,91.35
2021-05-18,90.81
2021-05-19,90.73
2021-05-20,92.5
2021-05-21,92.01
2021-05-24,93.23
2021-05-25,93.03
2021-05-26,93.41
2021-05-27,93.31
2021-05-28,94.27
2021-06-01,93.59
2021-06-02,94.83
2021-06-03,95.05
2021-06-04,95.37
2021-06-07,94.3
2021-06-08,94.16
2021-06-09,93.24
2021-06-10,93.77
2021-06-11,93.5
2021-06-14,93.4
2021-06-15,92.19
2021-06-16,91.52
2021-06-17,92.57
2021-06-18,91.76
2021-06-21,92.04
2021-06-22,91.78
2021-06-23,90.31
2021-06-24,90.14
2021-06-25,92.12
2021-06-28,91.46
2021-06-29,91.56
2021-06-30,91.35
2021-07-01,91.15
2021-07-02,90.86
2021-07-06,90.61
2021-07-07,90.84
2021-07-08,89.84
2021-07-09,90.24
2021-07-12,91.17
2021-07-13,92.02
2021-07-14,93.0
2021-07-15,93.62
2021-07-16,93.07
2021-07-19,92.25
2021-07-20,93.71
2021-07-21,93.35
2021-07-22,93.37
2021-07-23,96.29
2021-07-26,96.0
2021-07-27,95.18
2021-07-28,94.05
2021-07-29,94.58
2021-07-30,94.32
2021-08-02,93.36
2021-08-03,93.04
2021-08-04,92.01
2021-08-05,91.95
2021-08-06,96.97
2021-08-09,98.47
2021-08-10,98.79
2021-08-11,98.72
2021-08-12,97.62
2021-08-13,98.12
2021-08-16,98.42
2021-08-17,97.52
2021-08-18,95.86
2021-08-19,97.18
2021-08-20,96.74
2021-08-23,96.75
2021-08-24,96.63
2021-08-25,97.13
2021-08-26,96.84
2021-08-27,97.33
2021-08-30,97.81
2021-08-31,97.57
2021-09-01,97.8
2021-09-02,97.6
2021-09-03,97.58
2021-09-07,95.18
2021-09-08,96.84
2021-09-09,96.35
2021-09-10,95.92
2021-09-13,95.39
2021-09-14,94.96
2021-09-15,95.14
2021-09-16,95.88
2021-09-17,94.64
2021-09-20,92.79
2021-09-21,91.8
2021-09-22,92.57
2021-09-23,93.09
2021-09-24,92.74
2021-09-27,91.79
2021-09-28,89.5
2021-09-29,89.33
2021-09-30,88.83
2021-10-01,89.88
2021-10-04,88.5
2021-10-05,89.55
2021-10-06,90.1
2021-10-07,90.07
2021-10-08,89.27
2021-10-11,88.05
2021-10-12,87.94
2021-10-13,85.33
2021-10-14,85.6
2021-10-15,85.58
2021-10-18,85.43
2021-10-19,85.0
2021-10-20,84.93
2021-10-21,85.25
2021-10-22,84.73
2021-10-25,84.38
2021-10-26,85.58
2021-10-27,84.88
2021-10-28,84.9
2021-10-29,85.0
2021-11-01,85.46
2021-11-02,85.89
2021-11-03,87.32
2021-11-04,87.78
2021-11-05,91.69
2021-11-08,90.83
2021-11-09,91.76
2021-11-10,91.98
2021-11-11,92.27
2021-11-12,92.06
