datetime,close
2020-06-05,14.1
2020-06-08,14.98
2020-06-09,14.75
2020-06-10,14.09
2020-06-11,12.51
2020-06-12,13.28
2020-06-15,13.37
2020-06-16,13.64
2020-06-17,13.31
2020-06-18,13.09
2020-06-19,12.9
2020-06-22,13.05
2020-06-23,12.92
2020-06-24,11.97
2020-06-25,12.31
2020-06-26,12.08
2020-06-29,12.65
2020-06-30,12.51
2020-07-01,12.37
2020-07-02,12.85
2020-07-06,13.14
2020-07-07,12.87
2020-07-08,12.11
2020-07-09,11.68
2020-07-10,12.3
2020-07-13,12.95
2020-07-14,13.1
2020-07-15,13.41
2020-07-16,13.2
2020-07-17,13.41
2020-07-20,12.85
2020-07-21,13.27
2020-07-22,13.41
2020-07-23,13.54
2020-07-24,13.67
2020-07-27,14.0
2020-07-28,13.5
2020-07-29,13.98
2020-07-30,13.5
2020-07-31,13.47
2020-08-03,13.68
2020-08-04,15.53
2020-08-05,16.31
2020-08-06,16.14
2020-08-07,17.19
2020-08-10,18.4
2020-08-11,17.64
2020-08-12,17.41
2020-08-13,17.46
2020-08-14,17.83
2020-08-17,17.85
2020-08-18,18.28
2020-08-19,17.93
2020-08-20,17.81
2020-08-21,17.49
2020-08-24,18.5
2020-08-25,18.34
2020-08-26,18.47
2020-08-27,18.42
2020-08-28,18.91
2020-08-31,18.23
2020-09-01,18.7
2020-09-02,18.89
2020-09-03,18.48
2020-09-04,18.53
2020-09-08,17.49
2020-09-09,17.97
2020-09-10,17.72
2020-09-11,18.31
2020-09-14,18.13
2020-09-15,18.03
2020-09-16,18.1
2020-09-17,19.26
2020-09-18,19.26
2020-09-21,17.81
2020-09-22,18.05
2020-09-23,18.26
2020-09-24,18.82
2020-09-25,18.59
2020-09-28,18.47
2020-09-29,17.98
2020-09-30,18.27
2020-10-01,17.79
2020-10-02,18.31
2020-10-05,19.28
2020-10-06,18.83
2020-10-07,19.74
2020-10-08,19.72
2020-10-09,19.71
2020-10-12,19.34
2020-10-13,19.28
2020-10-14,19.31
2020-10-15,19.49
2020-10-16,19.14
2020-10-19,19.07
2020-10-20,18.84
2020-10-21,18.91
2020-10-22,18.71
2020-10-23,18.7
2020-10-26,18.15
2020-10-27,18.35
2020-10-28,18.07
2020-10-29,18.3
2020-10-30,18.5
2020-11-02,19.56
2020-11-03,17.19
2020-11-04,16.75
2020-11-05,17.17
2020-11-06,16.89
2020-11-09,17.0
2020-11-10,17.62
2020-11-11,17.65
2020-11-12,17.36
2020-11-13,18.02
2020-11-16,18.78
2020-11-17,18.96
2020-11-18,19.19
2020-11-19,19.58
2020-11-20,19.61
2020-11-23,20.54
2020-11-24,23.18
2020-11-25,22.57
2020-11-27,22.68
2020-11-30,21.96
2020-12-01,21.76
2020-12-02,21.24
2020-12-03,21.23
2020-12-04,22.78
2020-12-07,22.05
2020-12-08,22.38
2020-12-09,22.41
2020-12-10,22.25
2020-12-11,22.23
2020-12-14,22.68
2020-12-15,23.11
2020-12-16,22.62
2020-12-17,23.1
2020-12-18,23.39
2020-12-21,23.14
2020-12-22,21.87
2020-12-23,22.09
2020-12-24,21.96
2020-12-28,21.61
2020-12-29,21.68
2020-12-30,22.16
2020-12-31,23.01
2021-01-04,23.67
2021-01-05,24.55
2021-01-06,26.05
2021-01-07,26.91
2021-01-08,26.81
2021-01-11,26.77
2021-01-12,28.46
2021-01-13,28.1
2021-01-14,28.9
2021-01-15,28.64
2021-01-19,28.71
2021-01-20,28.5
2021-01-21,28.41
2021-01-22,28.33
2021-01-25,28.67
2021-01-26,27.38
2021-01-27,26.69
2021-01-28,27.21
2021-01-29,25.96
2021-02-01,26.86
2021-02-02,27.27
2021-02-03,27.61
2021-02-04,27.45
2021-02-05,27.65
2021-02-08,29.09
2021-02-09,27.98
2021-02-10,27.89
2021-02-11,27.85
2021-02-12,29.27
2021-02-16,30.65
2021-02-17,30.43
2021-02-18,27.65
2021-02-19,29.08
2021-02-22,29.7
2021-02-23,29.53
2021-02-24,32.12
2021-02-25,30.78
2021-02-26,29.4
2021-03-01,30.71
2021-03-02,31.23
2021-03-03,31.56
2021-03-04,29.57
2021-03-05,30.07
2021-03-08,30.7
2021-03-09,30.78
2021-03-10,33.06
2021-03-11,33.45
2021-03-12,33.2
2021-03-15,34.24
2021-03-16,33.03
2021-03-17,33.88
2021-03-18,33.48
2021-03-19,33.31
2021-03-22,32.35
2021-03-23,30.56
2021-03-24,30.21
2021-03-25,30.77
2021-03-26,31.15
2021-03-29,31.3
2021-03-30,31.34
2021-03-31,31.61
2021-04-01,31.26
2021-04-05,31.08
2021-04-06,30.96
2021-04-07,30.8
2021-04-08,31.04
2021-04-09,31.47
2021-04-12,31.77
2021-04-13,32.25
2021-04-14,33.33
2021-04-15,33.13
2021-04-16,33.46
2021-04-19,32.73
2021-04-20,32.21
2021-04-21,33.38
2021-04-22,33.06
2021-04-23,33.95
2021-04-26,34.78
2021-04-27,35.55
2021-04-28,36.16
2021-04-29,36.3
2021-04-30,35.18
2021-05-03,35.03
2021-05-04,34.33
2021-05-05,34.91
2021-05-06,35.46
2021-05-07,37.0
2021-05-10,35.51
2021-05-11,35.22
2021-05-12,35.25
2021-05-13,34.68
2021-05-14,36.49
2021-05-17,37.06
2021-05-18,36.47
2021-05-19,35.32
2021-05-20,34.95
2021-05-21,35.46
2021-05-24,35.7
2021-05-25,34.77
2021-05-26,35.45
2021-05-27,35.99
2021-05-28,36.14
2021-06-01,37.55
2021-06-02,37.3
2021-06-03,37.39
2021-06-04,36.04
2021-06-07,35.92
2021-06-08,35.78
2021-06-09,34.95
2021-06-10,34.44
2021-06-11,34.59
2021-06-14,33.13
2021-06-15,33.06
2021-06-16,32.65
2021-06-17,30.35
2021-06-18,29.92
2021-06-21,30.84
2021-06-22,31.08
2021-06-23,30.99
2021-06-24,31.23
2021-06-25,31.2
2021-06-28,30.43
2021-06-29,30.8
2021-06-30,31.91
2021-07-01,31.79
2021-07-02,31.44
2021-07-06,30.29
2021-07-07,30.56
2021-07-08,30.75
2021-07-09,31.79
2021-07-12,31.86
2021-07-13,31.29
2021-07-14,31.08
2021-07-15,30.53
2021-07-16,29.59
2021-07-19,28.79
2021-07-20,29.7
2021-07-21,30.45
2021-07-22,30.15
2021-07-23,29.85
2021-07-26,30.37
2021-07-27,29.95
2021-07-28,30.49
2021-07-29,31.13
2021-07-30,31.23
2021-08-02,29.92
2021-08-03,31.34
2021-08-04,30.61
2021-08-05,30.7
2021-08-06,31.49
2021-08-09,32.56
2021-08-10,33.65
2021-08-11,34.13
2021-08-12,33.91
2021-08-13,33.56
2021-08-16,32.47
2021-08-17,31.2
2021-08-18,30.91
2021-08-19,29.57
2021-08-20,30.72
2021-08-23,31.26
2021-08-24,32.29
2021-08-25,32.34
2021-08-26,31.75
2021-08-27,32.65
2021-08-30,32.3
2021-08-31,32.18
2021-09-01,31.81
2021-09-02,32.43
2021-09-03,32.15
2021-09-07,32.15
2021-09-08,31.13
2021-09-09,31.57
2021-09-10,31.78
2021-09-13,32.13
2021-09-14,32.04
2021-09-15,33.64
2021-09-16,33.75
2021-09-17,33.61
2021-09-20,32.16
2021-09-21,32.42
2021-09-22,33.18
2021-09-23,34.97
2021-09-24,35.86
2021-09-27,36.84
2021-09-28,36.56
