datetime,close
2020-06-05,53.72
2020-06-08,53.7
2020-06-09,53.15
2020-06-10,52.47
2020-06-11,48.52
2020-06-12,48.69
2020-06-15,49.24
2020-06-16,51.02
2020-06-17,50.96
2020-06-18,50.48
2020-06-19,50.83
2020-06-22,51.15
2020-06-23,49.84
2020-06-24,48.29
2020-06-25,49.19
2020-06-26,48.49
2020-06-29,49.15
2020-06-30,51.52
2020-07-01,49.7
2020-07-02,49.83
2020-07-06,50.92
2020-07-07,49.09
2020-07-08,49.71
2020-07-09,49.98
2020-07-10,50.7
2020-07-13,49.46
2020-07-14,49.71
2020-07-15,50.51
2020-07-16,50.1
2020-07-17,49.47
2020-07-20,51.21
2020-07-21,51.52
2020-07-22,51.65
2020-07-23,52.64
2020-07-24,50.02
2020-07-27,51.59
2020-07-28,50.09
2020-07-29,50.39
2020-07-30,50.74
2020-07-31,50.06
2020-08-03,50.39
2020-08-04,51.3
2020-08-05,51.05
2020-08-06,48.7
2020-08-07,48.75
2020-08-10,49.15
2020-08-11,47.76
2020-08-12,48.48
2020-08-13,46.14
2020-08-14,45.6
2020-08-17,45.22
2020-08-18,44.4
2020-08-19,44.05
2020-08-20,42.99
2020-08-21,42.66
2020-08-24,43.76
2020-08-25,45.1
2020-08-26,44.96
2020-08-27,44.62
2020-08-28,45.69
2020-08-31,45.51
2020-09-01,45.76
2020-09-02,47.83
2020-09-03,46.33
2020-09-04,46.48
2020-09-08,45.03
2020-09-09,45.15
2020-09-10,44.87
2020-09-11,46.09
2020-09-14,49.03
2020-09-15,49.05
2020-09-16,50.21
2020-09-17,50.98
2020-09-18,50.74
2020-09-21,49.15
2020-09-22,49.7
2020-09-23,49.85
2020-09-24,49.47
2020-09-25,49.14
2020-09-28,49.72
2020-09-29,50.71
2020-09-30,46.96
2020-10-01,47.92
2020-10-02,46.55
2020-10-05,47.6
2020-10-06,47.32
2020-10-07,48.41
2020-10-08,49.9
2020-10-09,49.89
2020-10-12,50.68
2020-10-13,51.85
2020-10-14,51.63
2020-10-15,51.94
2020-10-16,51.61
2020-10-19,52.63
2020-10-20,53.53
2020-10-21,53.31
2020-10-22,54.38
2020-10-23,52.85
2020-10-26,52.14
2020-10-27,51.96
2020-10-28,50.0
2020-10-29,50.48
2020-10-30,50.34
2020-11-02,49.71
2020-11-03,51.08
2020-11-04,51.96
2020-11-05,54.58
2020-11-06,55.16
2020-11-09,55.96
2020-11-10,55.41
2020-11-11,56.36
2020-11-12,56.25
2020-11-13,57.93
2020-11-16,61.86
2020-11-17,61.99
2020-11-18,60.74
2020-11-19,61.83
2020-11-20,61.4
2020-11-23,64.18
2020-11-24,63.95
2020-11-25,63.43
2020-11-27,64.23
2020-11-30,64.09
2020-12-01,67.08
2020-12-02,69.11
2020-12-03,69.9
2020-12-04,73.34
2020-12-07,72.61
2020-12-08,73.19
2020-12-09,71.41
2020-12-10,71.28
2020-12-11,70.53
2020-12-14,71.54
2020-12-15,73.15
2020-12-16,72.99
2020-12-17,72.26
2020-12-18,71.46
2020-12-21,71.47
2020-12-22,70.44
2020-12-23,69.95
2020-12-24,70.58
2020-12-28,70.66
2020-12-29,70.21
2020-12-30,71.92
2020-12-31,75.18
2021-01-04,74.05
2021-01-05,77.26
2021-01-06,77.11
2021-01-07,79.11
2021-01-08,77.42
2021-01-11,78.67
2021-01-12,79.46
2021-01-13,79.91
2021-01-14,81.3
2021-01-15,80.72
2021-01-19,85.5
2021-01-20,83.5
2021-01-21,85.01
2021-01-22,82.28
2021-01-25,81.28
2021-01-26,79.51
2021-01-27,75.09
2021-01-28,78.39
2021-01-29,78.27
2021-02-01,80.43
2021-02-02,81.62
2021-02-03,79.11
2021-02-04,81.25
2021-02-05,81.1
2021-02-08,84.01
2021-02-09,83.32
2021-02-10,82.35
2021-02-11,86.48
2021-02-12,88.01
2021-02-16,87.74
2021-02-17,86.05
2021-02-18,88.54
2021-02-19,90.96
2021-02-22,86.28
2021-02-23,88.23
2021-02-24,92.52
2021-02-25,88.12
