datetime,close
2020-06-05,48.06
2020-06-08,49.01
2020-06-09,46.72
2020-06-10,46.22
2020-06-11,41.14
2020-06-12,42.46
2020-06-15,43.04
2020-06-16,44.35
2020-06-17,43.17
2020-06-18,42.79
2020-06-19,44.08
2020-06-22,42.3
2020-06-23,42.39
2020-06-24,40.97
2020-06-25,41.83
2020-06-26,43.99
2020-06-29,44.02
2020-06-30,44.37
2020-07-01,43.51
2020-07-02,43.55
2020-07-06,45.05
2020-07-07,42.86
2020-07-08,43.76
2020-07-09,42.28
2020-07-10,42.94
2020-07-13,43.4
2020-07-14,43.71
2020-07-15,44.38
2020-07-16,44.34
2020-07-17,44.81
2020-07-20,45.15
2020-07-21,45.56
2020-07-22,44.99
2020-07-23,44.69
2020-07-24,43.2
2020-07-27,44.09
2020-07-28,42.95
2020-07-29,42.43
2020-07-30,42.85
2020-07-31,44.3
2020-08-03,42.77
2020-08-04,43.23
2020-08-05,43.1
2020-08-06,42.21
2020-08-07,42.8
2020-08-10,44.27
2020-08-11,43.57
2020-08-12,43.28
2020-08-13,41.74
2020-08-14,41.56
2020-08-17,41.31
2020-08-18,41.0
2020-08-19,41.49
2020-08-20,41.42
2020-08-21,41.25
2020-08-24,42.3
2020-08-25,41.77
2020-08-26,42.21
2020-08-27,43.91
2020-08-28,45.74
2020-08-31,47.39
2020-09-01,46.68
2020-09-02,48.15
2020-09-03,46.54
2020-09-04,46.4
2020-09-08,45.2
2020-09-09,46.57
2020-09-10,44.37
2020-09-11,44.09
2020-09-14,45.38
2020-09-15,45.38
2020-09-16,45.11
2020-09-17,43.18
2020-09-18,42.61
2020-09-21,41.39
2020-09-22,41.88
2020-09-23,41.19
2020-09-24,41.49
2020-09-25,41.96
2020-09-28,43.6
2020-09-29,43.99
2020-09-30,43.84
2020-10-01,42.89
2020-10-02,42.76
2020-10-05,43.35
2020-10-06,43.36
2020-10-07,44.59
2020-10-08,46.26
2020-10-09,45.87
2020-10-12,46.65
2020-10-13,46.88
2020-10-14,46.67
2020-10-15,47.05
2020-10-16,47.15
2020-10-19,48.0
2020-10-20,47.25
2020-10-21,46.8
2020-10-22,46.7
2020-10-23,46.89
2020-10-26,44.93
2020-10-27,44.05
2020-10-28,42.29
2020-10-29,44.11
2020-10-30,43.89
2020-11-02,44.94
2020-11-03,46.29
2020-11-04,45.17
2020-11-05,46.71
2020-11-06,47.01
2020-11-09,49.65
2020-11-10,50.01
2020-11-11,49.27
2020-11-12,47.48
2020-11-13,49.83
2020-11-16,51.58
2020-11-17,51.4
2020-11-18,51.54
2020-11-19,51.98
2020-11-20,51.89
2020-11-23,53.56
2020-11-24,55.36
2020-11-25,53.52
2020-11-27,53.26
2020-11-30,53.31
2020-12-01,54.16
2020-12-02,59.23
2020-12-03,58.49
2020-12-04,59.99
2020-12-07,60.37
2020-12-08,60.55
2020-12-09,60.78
2020-12-10,61.12
2020-12-11,61.82
2020-12-14,61.67
2020-12-15,62.65
2020-12-16,64.07
2020-12-17,64.12
2020-12-18,64.82
2020-12-21,64.54
2020-12-22,66.18
2020-12-23,66.17
2020-12-24,65.8
2020-12-28,65.9
2020-12-29,65.05
2020-12-30,65.33
2020-12-31,66.24
2021-01-04,64.86
2021-01-05,65.17
2021-01-06,65.23
2021-01-07,65.24
2021-01-08,64.97
2021-01-11,65.22
2021-01-12,66.16
2021-01-13,65.2
2021-01-14,65.84
2021-01-15,64.66
2021-01-19,64.28
2021-01-20,64.51
2021-01-21,64.97
2021-01-22,64.76
2021-01-25,65.65
2021-01-26,65.7
2021-01-27,68.89
2021-01-28,67.4
2021-01-29,66.44
2021-02-01,66.08
2021-02-02,65.08
2021-02-03,66.66
2021-02-04,66.92
2021-02-05,67.38
2021-02-08,69.73
2021-02-09,69.87
2021-02-10,68.75
2021-02-11,69.16
2021-02-12,69.86
2021-02-16,68.85
2021-02-17,68.24
2021-02-18,68.07
2021-02-19,71.35
2021-02-22,71.07
2021-02-23,69.33
2021-02-24,71.57
2021-02-25,61.21
2021-02-26,62.6
2021-03-01,65.23
2021-03-02,63.72
2021-03-03,63.8
2021-03-04,61.08
2021-03-05,61.33
2021-03-08,62.59
2021-03-09,64.61
2021-03-10,66.66
2021-03-11,67.98
2021-03-12,67.56
2021-03-15,68.8
2021-03-16,69.1
2021-03-17,71.16
2021-03-18,70.31
2021-03-19,70.16
2021-03-22,70.54
2021-03-23,68.43
2021-03-24,68.63
2021-03-25,70.27
2021-03-26,74.75
2021-03-29,72.4
2021-03-30,72.22
2021-03-31,72.67
2021-04-01,73.65
2021-04-05,74.33
2021-04-06,73.41
2021-04-07,73.67
2021-04-08,73.68
2021-04-09,73.88
2021-04-12,74.2
2021-04-13,74.48
2021-04-14,76.45
2021-04-15,76.69
2021-04-16,77.71
2021-04-19,77.31
2021-04-20,75.19
2021-04-21,75.91
2021-04-22,75.5
2021-04-23,76.94
2021-04-26,77.15
2021-04-27,76.67
2021-04-28,76.6
2021-04-29,76.87
2021-04-30,74.69
2021-05-03,74.31
2021-05-04,75.38
2021-05-05,76.57
2021-05-06,77.87
2021-05-07,79.52
2021-05-10,78.86
2021-05-11,76.74
2021-05-12,74.34
2021-05-13,76.61
2021-05-14,78.5
2021-05-17,78.44
2021-05-18,77.28
2021-05-19,77.71
2021-05-20,77.49
2021-05-21,78.27
2021-05-24,78.99
2021-05-25,78.21
2021-05-26,79.44
2021-05-27,78.98
2021-05-28,77.37
2021-06-01,76.71
2021-06-02,77.06
2021-06-03,78.68
2021-06-04,80.74
2021-06-07,81.03
2021-06-08,81.85
2021-06-09,82.01
2021-06-10,83.63
2021-06-11,83.37
2021-06-14,82.99
2021-06-15,83.52
2021-06-16,82.74
2021-06-17,81.47
2021-06-18,78.16
2021-06-21,79.43
2021-06-22,80.75
2021-06-23,80.6
2021-06-24,80.99
2021-06-25,82.44
2021-06-28,82.46
2021-06-29,83.03
2021-06-30,81.82
2021-07-01,81.96
2021-07-02,82.99
2021-07-06,81.88
2021-07-07,82.52
2021-07-08,81.61
2021-07-09,82.57
2021-07-12,82.23
2021-07-13,80.18
2021-07-14,79.84
2021-07-15,79.17
2021-07-16,77.37
2021-07-19,77.3
2021-07-20,78.24
2021-07-21,78.3
2021-07-22,77.13
2021-07-23,77.72
2021-07-26,78.55
2021-07-27,77.96
2021-07-28,78.21
2021-07-29,79.01
2021-07-30,79.59
2021-08-02,80.13
2021-08-03,81.73
2021-08-04,81.37
2021-08-05,81.48
2021-08-06,82.17
2021-08-09,82.25
2021-08-10,82.58
2021-08-11,82.7
2021-08-12,83.06
2021-08-13,82.28
2021-08-16,81.8
2021-08-17,80.51
2021-08-18,79.67
2021-08-19,79.26
2021-08-20,80.67
2021-08-23,80.72
2021-08-24,80.78
2021-08-25,82.27
2021-08-26,86.15
2021-08-27,87.06
2021-08-30,88.37
2021-08-31,88.93
2021-09-01,89.32
2021-09-02,89.75
2021-09-03,91.35
2021-09-07,90.0
2021-09-08,89.52
