datetime,close
2020-06-05,16.4
2020-06-08,17.42
2020-06-09,16.66
2020-06-10,15.93
2020-06-11,14.88
2020-06-12,15.3
2020-06-15,14.91
2020-06-16,15.73
2020-06-17,15.81
2020-06-18,15.45
2020-06-19,15.87
2020-06-22,15.65
2020-06-23,15.58
2020-06-24,15.09
2020-06-25,15.19
2020-06-26,15.05
2020-06-29,15.59
2020-06-30,15.88
2020-07-01,15.78
2020-07-02,15.97
2020-07-06,16.0
2020-07-07,15.85
2020-07-08,15.81
2020-07-09,15.01
2020-07-10,15.81
2020-07-13,15.72
2020-07-14,16.08
2020-07-15,16.4
2020-07-16,16.55
2020-07-17,16.36
2020-07-20,16.07
2020-07-21,16.55
2020-07-22,16.72
2020-07-23,17.09
2020-07-24,17.14
2020-07-27,17.36
2020-07-28,17.26
2020-07-29,17.6
2020-07-30,17.72
2020-07-31,16.4
2020-08-03,16.39
2020-08-04,16.47
2020-08-05,16.76
2020-08-06,16.82
2020-08-07,17.15
2020-08-10,17.5
2020-08-11,17.27
2020-08-12,17.11
2020-08-13,17.05
2020-08-14,16.99
2020-08-17,16.96
2020-08-18,16.72
2020-08-19,16.75
2020-08-20,16.38
2020-08-21,16.1
2020-08-24,16.43
2020-08-25,16.15
2020-08-26,15.99
2020-08-27,16.19
2020-08-28,16.22
2020-08-31,15.98
2020-09-01,15.73
2020-09-02,16.22
2020-09-03,15.92
2020-09-04,16.32
2020-09-08,16.36
2020-09-09,16.43
2020-09-10,17.21
2020-09-11,17.45
2020-09-14,17.83
2020-09-15,17.68
2020-09-16,17.99
2020-09-17,17.91
2020-09-18,17.72
2020-09-21,17.09
2020-09-22,17.22
2020-09-23,16.89
2020-09-24,16.72
2020-09-25,16.74
2020-09-28,17.22
2020-09-29,17.12
2020-09-30,17.16
2020-10-01,17.01
2020-10-02,17.38
2020-10-05,17.6
2020-10-06,17.31
2020-10-07,17.7
2020-10-08,18.1
2020-10-09,18.01
2020-10-12,17.94
2020-10-13,17.69
2020-10-14,18.27
2020-10-15,18.13
2020-10-16,18.02
2020-10-19,17.59
2020-10-20,17.68
2020-10-21,17.55
2020-10-22,17.87
2020-10-23,18.0
2020-10-26,17.44
2020-10-27,17.19
2020-10-28,16.66
2020-10-29,16.82
2020-10-30,17.66
2020-11-02,18.91
2020-11-03,19.5
2020-11-04,18.87
2020-11-05,19.56
2020-11-06,18.88
2020-11-09,19.11
2020-11-10,19.26
2020-11-11,19.67
2020-11-12,18.97
2020-11-13,19.73
2020-11-16,20.36
2020-11-17,20.17
2020-11-18,20.2
2020-11-19,20.39
2020-11-20,20.37
2020-11-23,20.51
2020-11-24,21.46
2020-11-25,21.36
2020-11-27,21.07
2020-11-30,21.26
2020-12-01,21.44
2020-12-02,21.22
2020-12-03,21.77
2020-12-04,22.03
2020-12-07,21.6
2020-12-08,21.02
2020-12-09,20.75
2020-12-10,20.81
2020-12-11,20.51
2020-12-14,20.32
2020-12-15,20.0
2020-12-16,20.07
2020-12-17,20.09
2020-12-18,20.6
2020-12-21,20.68
2020-12-22,21.08
2020-12-23,21.23
2020-12-24,21.22
2020-12-28,21.24
2020-12-29,20.98
2020-12-30,21.08
2020-12-31,21.23
2021-01-04,21.71
2021-01-05,21.86
2021-01-06,22.66
2021-01-07,22.64
2021-01-08,23.07
2021-01-11,23.07
2021-01-12,24.23
2021-01-13,24.37
2021-01-14,24.4
2021-01-15,24.14
2021-01-19,24.21
2021-01-20,24.66
2021-01-21,24.66
2021-01-22,24.8
2021-01-25,25.5
2021-01-26,25.89
2021-01-27,24.62
2021-01-28,24.48
2021-01-29,24.02
2021-02-01,24.39
2021-02-02,25.4
2021-02-03,25.93
2021-02-04,26.23
2021-02-05,26.13
2021-02-08,26.56
2021-02-09,26.53
2021-02-10,26.23
2021-02-11,26.05
2021-02-12,24.19
2021-02-16,23.79
2021-02-17,24.08
2021-02-18,23.64
2021-02-19,24.32
2021-02-22,24.14
2021-02-23,24.06
2021-02-24,24.39
2021-02-25,23.57
2021-02-26,23.17
2021-03-01,24.12
2021-03-02,24.05
2021-03-03,24.37
2021-03-04,23.96
2021-03-05,24.64
2021-03-08,25.2
2021-03-09,24.88
2021-03-10,25.29
2021-03-11,24.95
2021-03-12,25.4
2021-03-15,26.1
2021-03-16,25.68
2021-03-17,25.88
2021-03-18,26.29
2021-03-19,26.09
2021-03-22,26.1
2021-03-23,25.14
2021-03-24,24.91
2021-03-25,25.87
2021-03-26,26.64
2021-03-29,26.42
2021-03-30,26.7
2021-03-31,26.78
2021-04-01,27.06
2021-04-05,27.22
2021-04-06,27.09
2021-04-07,27.05
2021-04-08,26.85
2021-04-09,27.03
2021-04-12,27.38
2021-04-13,26.84
2021-04-14,26.44
2021-04-15,26.62
2021-04-16,26.76
2021-04-19,26.48
2021-04-20,26.5
2021-04-21,26.97
2021-04-22,26.68
2021-04-23,26.54
2021-04-26,26.72
2021-04-27,26.92
2021-04-28,26.66
2021-04-29,26.98
2021-04-30,26.96
2021-05-03,27.78
2021-05-04,28.06
2021-05-05,28.35
2021-05-06,29.1
2021-05-07,29.07
2021-05-10,29.27
2021-05-11,28.98
2021-05-12,28.06
2021-05-13,28.58
2021-05-14,28.95
2021-05-17,29.34
2021-05-18,28.45
2021-05-19,28.17
2021-05-20,28.44
2021-05-21,28.3
2021-05-24,28.25
2021-05-25,27.95
2021-05-26,28.25
2021-05-27,28.59
2021-05-28,28.69
2021-06-01,28.74
2021-06-02,28.61
2021-06-03,28.4
2021-06-04,28.27
2021-06-07,28.21
2021-06-08,28.41
2021-06-09,27.97
2021-06-10,27.63
2021-06-11,28.04
2021-06-14,27.34
2021-06-15,27.34
2021-06-16,27.01
2021-06-17,26.29
2021-06-18,25.99
2021-06-21,26.54
2021-06-22,26.52
2021-06-23,26.42
2021-06-24,26.6
2021-06-25,26.62
2021-06-28,26.63
2021-06-29,27.0
2021-06-30,27.47
2021-07-01,27.45
2021-07-02,27.2
2021-07-06,26.51
2021-07-07,26.61
2021-07-08,26.48
2021-07-09,27.03
2021-07-12,27.19
2021-07-13,26.46
2021-07-14,27.1
2021-07-15,27.05
2021-07-16,27.04
2021-07-19,26.15
2021-07-20,27.04
2021-07-21,27.25
2021-07-22,26.94
2021-07-23,27.33
2021-07-26,27.41
2021-07-27,27.33
2021-07-28,26.83
2021-07-29,27.22
2021-07-30,24.75
2021-08-02,24.85
2021-08-03,25.22
2021-08-04,24.83
2021-08-05,25.29
2021-08-06,25.46
2021-08-09,25.24
2021-08-10,25.51
2021-08-11,25.82
2021-08-12,25.5
2021-08-13,25.67
2021-08-16,25.76
2021-08-17,25.1
2021-08-18,24.55
2021-08-19,24.09
2021-08-20,24.51
2021-08-23,24.64
2021-08-24,25.1
2021-08-25,25.34
2021-08-26,25.21
2021-08-27,25.54
2021-08-30,25.21
2021-08-31,25.41
2021-09-01,25.11
2021-09-02,25.51
2021-09-03,25.66
2021-09-07,25.58
2021-09-08,25.51
2021-09-09,25.62
2021-09-10,24.89
2021-09-13,25.05
2021-09-14,24.72
2021-09-15,25.31
2021-09-16,25.01
2021-09-17,24.81
2021-09-20,23.97
2021-09-21,23.67
2021-09-22,23.96
2021-09-23,24.11
2021-09-24,23.67
2021-09-27,24.1
2021-09-28,24.0
2021-09-29,23.9
2021-09-30,22.14
2021-10-01,22.56
2021-10-04,22.12
2021-10-05,22.2
2021-10-06,22.14
2021-10-07,22.49
2021-10-08,21.99
2021-10-11,22.14
2021-10-12,22.27
2021-10-13,22.22
2021-10-14,22.54
2021-10-15,22.59
2021-10-18,22.64
2021-10-19,22.84
2021-10-20,23.05
2021-10-21,23.25
2021-10-22,22.64
2021-10-25,22.47
2021-10-26,22.3
2021-10-27,21.73
2021-10-28,21.77
2021-10-29,22.89
2021-11-01,23.56
2021-11-02,23.87
2021-11-03,24.1
2021-11-04,23.74
2021-11-05,24.14
2021-11-08,24.42
2021-11-09,24.47
2021-11-10,24.11
2021-11-11,24.33
2021-11-12,24.26
