datetime,close
2021-07-07,29.9282
2021-07-08,29.68
2021-07-09,30.11
2021-07-12,29.74
2021-07-13,29.1
2021-07-14,29.34
2021-07-15,28.91
2021-07-16,28.87
2021-07-19,29.14
2021-07-20,29.61
2021-07-21,30.46
2021-07-22,30.92
2021-07-23,29.8
2021-07-26,29.66
2021-07-27,29.12
2021-07-28,29.74
2021-07-29,29.23
2021-07-30,29.01
2021-08-02,29.53
2021-08-03,29.51
2021-08-04,28.6382
2021-08-05,29.56
2021-08-06,29.5
2021-08-09,29.1
2021-08-10,30.35
2021-08-11,29.93
2021-08-12,33.5
2021-08-13,34.21
2021-08-16,34.33
2021-08-17,35.38
2021-08-18,33.59
2021-08-19,34.1
2021-08-20,33.22
2021-08-23,33.24
2021-08-24,33.16
2021-08-25,33.3
2021-08-26,33.96
2021-08-27,34.25
2021-08-30,33.72
2021-08-31,33.89
2021-09-01,34.57
2021-09-02,35.61
2021-09-03,35.64
2021-09-07,35.64
2021-09-08,34.97
2021-09-09,34.68
2021-09-10,33.87
2021-09-13,33.83
2021-09-14,33.42
2021-09-15,33.69
2021-09-16,33.77
2021-09-17,34.03
2021-09-20,32.94
2021-09-21,32.89
2021-09-22,32.65
2021-09-23,33.38
2021-09-24,32.65
2021-09-27,33.54
2021-09-28,33.04
2021-09-29,33.98
2021-09-30,32.79
2021-10-01,33.33
2021-10-04,32.94
2021-10-05,32.53
2021-10-06,33.07
2021-10-07,32.84
2021-10-08,32.57
2021-10-11,33.21
2021-10-12,32.84
2021-10-13,33.15
2021-10-14,33.64
2021-10-15,34.89
2021-10-18,34.8
2021-10-19,35.07
2021-10-20,35.76
2021-10-21,35.35
2021-10-22,35.66
2021-10-25,36.91
2021-10-26,36.71
2021-10-27,35.72
2021-10-28,36.52
2021-10-29,36.75
2021-11-01,37.13
2021-11-02,36.49
2021-11-03,36.82
2021-11-04,36.26
2021-11-05,36.28
2021-11-08,36.99
2021-11-09,36.64
2021-11-10,36.63
2021-11-11,34.72
2021-11-12,33.7
