datetime,close
2020-06-05,45.35
2020-06-08,48.04
2020-06-09,44.44
2020-06-10,41.98
2020-06-11,35.33
2020-06-12,34.09
2020-06-15,36.44
2020-06-16,38.4
2020-06-17,36.17
2020-06-18,36.35
2020-06-19,35.17
2020-06-22,35.92
2020-06-23,35.36
2020-06-24,32.3
2020-06-25,32.7
2020-06-26,30.81
2020-06-29,31.81
2020-06-30,33.22
2020-07-01,32.18
2020-07-02,32.15
2020-07-06,28.29
2020-07-07,27.58
2020-07-08,27.36
2020-07-09,26.15
2020-07-10,26.72
2020-07-13,26.59
2020-07-14,27.22
2020-07-15,28.83
2020-07-16,28.85
2020-07-17,28.67
2020-07-20,28.25
2020-07-21,29.98
2020-07-22,29.5
2020-07-23,28.96
2020-07-24,28.72
2020-07-27,28.02
2020-07-28,28.06
2020-07-29,29.72
2020-07-30,29.04
2020-07-31,27.91
2020-08-03,28.12
2020-08-04,29.19
2020-08-05,30.49
2020-08-06,29.11
2020-08-07,29.47
2020-08-10,30.22
2020-08-11,30.03
2020-08-12,29.94
2020-08-13,28.81
2020-08-14,29.49
2020-08-17,28.98
2020-08-18,28.08
2020-08-19,27.86
2020-08-20,27.55
2020-08-21,26.88
2020-08-24,27.26
2020-08-25,27.26
2020-08-26,26.56
2020-08-27,27.04
2020-08-28,28.08
2020-08-31,27.48
2020-09-01,27.15
2020-09-02,27.31
2020-09-03,26.91
2020-09-04,26.76
2020-09-08,26.15
2020-09-09,26.48
2020-09-10,26.03
2020-09-11,26.34
2020-09-14,27.3
2020-09-15,26.29
2020-09-16,28.07
2020-09-17,28.03
2020-09-18,27.54
2020-09-21,26.44
2020-09-22,25.67
2020-09-23,24.54
2020-09-24,24.48
2020-09-25,25.01
2020-09-28,26.01
2020-09-29,26.67
2020-09-30,25.98
2020-10-01,25.27
2020-10-02,26.53
2020-10-05,27.61
2020-10-06,27.06
2020-10-07,27.81
2020-10-08,29.41
2020-10-09,29.05
2020-10-12,29.17
2020-10-13,29.45
2020-10-14,29.95
2020-10-15,29.82
2020-10-16,28.9
2020-10-19,28.29
2020-10-20,28.92
2020-10-21,28.43
2020-10-22,30.67
2020-10-23,30.55
2020-10-26,29.51
2020-10-27,29.32
2020-10-28,29.09
2020-10-29,30.4
2020-10-30,29.0
2020-11-02,29.23
2020-11-03,28.92
2020-11-04,28.6
2020-11-05,28.54
2020-11-06,26.89
2020-11-09,31.35
2020-11-10,32.54
2020-11-11,32.12
2020-11-12,30.77
2020-11-13,31.66
2020-11-16,32.35
2020-11-17,33.31
2020-11-18,32.31
2020-11-19,33.3
2020-11-20,32.96
2020-11-23,35.18
2020-11-24,37.66
2020-11-25,37.54
2020-11-27,37.23
2020-11-30,35.87
2020-12-01,36.47
2020-12-02,37.47
2020-12-03,38.49
2020-12-04,40.63
2020-12-07,40.31
2020-12-08,40.79
2020-12-09,40.22
2020-12-10,41.75
2020-12-11,41.57
2020-12-14,40.14
2020-12-15,41.31
2020-12-16,40.65
2020-12-17,40.73
2020-12-18,39.87
2020-12-21,39.39
2020-12-22,38.63
2020-12-23,38.8
2020-12-24,38.8
2020-12-28,38.41
2020-12-29,38.13
2020-12-30,38.12
2020-12-31,38.38
2021-01-04,37.5
2021-01-05,39.38
2021-01-06,39.83
2021-01-07,40.7
2021-01-08,39.93
2021-01-11,41.23
2021-01-12,43.51
2021-01-13,43.71
2021-01-14,44.76
2021-01-15,44.17
2021-01-19,44.11
2021-01-20,44.01
2021-01-21,42.87
2021-01-22,42.84
2021-01-25,42.23
2021-01-26,42.12
2021-01-27,40.55
2021-01-28,42.11
2021-01-29,39.83
2021-02-01,40.02
2021-02-02,41.21
2021-02-03,42.48
2021-02-04,42.46
2021-02-05,42.84
2021-02-08,43.43
2021-02-09,43.36
2021-02-10,44.75
2021-02-11,44.28
2021-02-12,45.11
2021-02-16,45.95
2021-02-17,45.99
2021-02-18,44.86
2021-02-19,45.82
2021-02-22,46.1
2021-02-23,45.62
2021-02-24,46.71
2021-02-25,45.4
2021-02-26,44.29
2021-03-01,47.47
2021-03-02,46.89
2021-03-03,47.77
2021-03-04,48.25
2021-03-05,49.57
2021-03-08,49.54
2021-03-09,48.64
2021-03-10,50.95
2021-03-11,50.4
2021-03-12,51.6
2021-03-15,51.29
2021-03-16,49.54
2021-03-17,50.32
2021-03-18,48.2
2021-03-19,48.46
2021-03-22,48.49
2021-03-23,47.45
2021-03-24,48.74
2021-03-25,49.69
2021-03-26,51.18
2021-03-29,50.57
2021-03-30,50.26
2021-03-31,50.66
2021-04-01,51.35
2021-04-05,51.03
2021-04-06,51.26
2021-04-07,51.14
2021-04-08,50.46
2021-04-09,50.92
2021-04-12,50.91
2021-04-13,51.09
2021-04-14,51.51
2021-04-15,52.39
2021-04-16,51.6
2021-04-19,51.78
2021-04-20,50.63
2021-04-21,52.16
2021-04-22,51.04
2021-04-23,50.6
2021-04-26,50.46
2021-04-27,50.88
2021-04-28,52.13
2021-04-29,52.6
2021-04-30,52.34
2021-05-03,52.72
2021-05-04,52.58
2021-05-05,53.15
2021-05-06,53.41
2021-05-07,53.38
2021-05-10,53.96
2021-05-11,53.27
2021-05-12,52.56
2021-05-13,52.78
2021-05-14,54.35
2021-05-17,55.01
2021-05-18,53.98
2021-05-19,52.86
2021-05-20,53.69
2021-05-21,53.26
2021-05-24,54.14
2021-05-25,52.66
2021-05-26,52.51
2021-05-27,52.8
2021-05-28,52.74
2021-06-01,53.77
2021-06-02,54.25
2021-06-03,53.72
2021-06-04,53.95
2021-06-07,55.17
2021-06-08,55.78
2021-06-09,54.84
2021-06-10,54.78
2021-06-11,55.06
2021-06-14,55.44
2021-06-15,55.98
2021-06-16,57.02
2021-06-17,54.16
2021-06-18,53.02
2021-06-21,55.59
2021-06-22,55.47
2021-06-23,55.23
2021-06-24,55.89
2021-06-25,56.55
2021-06-28,55.44
2021-06-29,55.18
2021-06-30,55.64
2021-07-01,56.93
2021-07-02,57.39
2021-07-06,56.49
2021-07-07,55.44
2021-07-08,55.38
2021-07-09,57.52
2021-07-12,56.92
2021-07-13,55.92
2021-07-14,54.88
2021-07-15,54.47
2021-07-16,53.31
2021-07-19,50.2
2021-07-20,52.38
2021-07-21,53.46
2021-07-22,53.09
2021-07-23,52.95
2021-07-26,53.83
2021-07-27,52.92
2021-07-28,53.34
2021-07-29,53.8
2021-07-30,51.97
2021-08-02,51.35
2021-08-03,51.43
2021-08-04,51.72
2021-08-05,52.21
2021-08-06,52.56
2021-08-09,51.75
2021-08-10,52.7
2021-08-11,52.83
2021-08-12,53.37
2021-08-13,52.45
2021-08-16,51.75
2021-08-17,51.28
2021-08-18,50.56
2021-08-19,49.27
2021-08-20,50.43
2021-08-23,51.98
2021-08-24,52.96
2021-08-25,53.46
2021-08-26,52.55
2021-08-27,53.84
2021-08-30,53.04
2021-08-31,52.52
2021-09-01,52.08
2021-09-02,53.29
2021-09-03,53.17
2021-09-07,52.47
2021-09-08,52.36
2021-09-09,52.4
2021-09-10,52.49
2021-09-13,53.41
2021-09-14,53.05
2021-09-15,55.71
2021-09-16,55.57
2021-09-17,55.17
2021-09-20,52.99
2021-09-21,53.31
2021-09-22,54.85
2021-09-23,57.46
2021-09-24,57.47
2021-09-27,58.9
2021-09-28,58.28
2021-09-29,58.81
2021-09-30,57.99
2021-10-01,59.45
2021-10-04,60.06
2021-10-05,60.22
2021-10-06,60.1
2021-10-07,60.75
2021-10-08,61.63
