datetime,close
2020-06-05,36.04
2020-06-08,34.3
2020-06-09,32.49
2020-06-10,31.4
2020-06-11,27.86
2020-06-12,29.65
2020-06-15,31.55
2020-06-16,31.71
2020-06-17,32.46
2020-06-18,31.73
2020-06-19,32.14
2020-06-22,31.43
2020-06-23,36.82
2020-06-24,33.38
2020-06-25,31.7
2020-06-26,30.65
2020-06-29,29.78
2020-06-30,30.54
2020-07-01,31.91
2020-07-02,30.93
2020-07-06,29.78
2020-07-07,28.6
2020-07-08,28.87
2020-07-09,29.85
2020-07-10,29.43
2020-07-13,28.65
2020-07-14,29.14
2020-07-15,34.41
2020-07-16,34.95
2020-07-17,33.7
2020-07-20,33.57
2020-07-21,36.01
2020-07-22,35.93
2020-07-23,33.84
2020-07-24,34.78
2020-07-27,32.86
2020-07-28,33.2
2020-07-29,37.42
2020-07-30,36.81
2020-07-31,33.85
2020-08-03,36.1
2020-08-04,37.42
2020-08-05,38.39
2020-08-06,43.86
2020-08-07,49.0
2020-08-10,45.38
2020-08-11,46.6
2020-08-12,49.76
2020-08-13,53.35
2020-08-14,52.48
2020-08-17,53.37
2020-08-18,55.38
2020-08-19,54.73
2020-08-20,56.58
2020-08-21,55.6
2020-08-24,55.74
2020-08-25,56.18
2020-08-26,55.18
2020-08-27,55.14
2020-08-28,53.72
2020-08-31,51.1
2020-09-01,57.93
2020-09-02,57.53
2020-09-03,53.92
2020-09-04,54.15
2020-09-08,55.31
2020-09-09,58.15
2020-09-10,62.46
2020-09-11,59.19
2020-09-14,65.54
2020-09-15,68.23
2020-09-16,67.84
2020-09-17,73.0
2020-09-18,70.6
2020-09-21,70.08
2020-09-22,74.36
2020-09-23,69.0
2020-09-24,63.98
2020-09-25,69.85
2020-09-28,72.92
2020-09-29,69.41
2020-09-30,72.7
2020-10-01,74.07
2020-10-02,72.75
2020-10-05,70.49
2020-10-06,67.94
2020-10-07,68.45
2020-10-08,65.69
2020-10-09,64.7
2020-10-12,64.92
2020-10-13,67.93
2020-10-14,67.37
2020-10-15,69.34
2020-10-16,70.91
2020-10-19,64.83
2020-10-20,64.65
2020-10-21,63.13
2020-10-22,63.7
2020-10-23,62.8
2020-10-26,60.68
2020-10-27,57.75
2020-10-28,56.59
2020-10-29,55.74
2020-10-30,53.98
2020-11-02,53.03
2020-11-03,56.06
2020-11-04,59.73
2020-11-05,65.42
2020-11-06,63.86
2020-11-09,62.84
2020-11-10,63.88
2020-11-11,63.6
2020-11-12,62.87
2020-11-13,65.0
2020-11-16,64.64
2020-11-17,65.42
2020-11-18,67.17
2020-11-19,70.5
2020-11-20,69.88
2020-11-23,71.99
2020-11-24,73.27
2020-11-25,72.38
2020-11-27,73.29
2020-11-30,70.0
2020-12-01,70.03
2020-12-02,71.84
2020-12-03,71.73
2020-12-04,70.77
2020-12-07,72.35
2020-12-08,78.77
2020-12-09,74.67
2020-12-10,75.54
2020-12-11,74.42
2020-12-14,79.01
2020-12-15,83.09
2020-12-16,88.73
