datetime,close
2020-06-05,75.91
2020-06-08,77.7
2020-06-09,75.65
2020-06-10,75.14
2020-06-11,71.25
2020-06-12,70.42
2020-06-15,72.2
2020-06-16,74.66
2020-06-17,74.09
2020-06-18,74.6
2020-06-19,72.2
2020-06-22,72.04
2020-06-23,71.49
2020-06-24,70.09
2020-06-25,70.67
2020-06-26,68.87
2020-06-29,70.51
2020-06-30,70.06
2020-07-01,69.99
2020-07-02,70.46
2020-07-06,70.6
2020-07-07,72.94
2020-07-08,72.3
2020-07-09,70.14
2020-07-10,72.96
2020-07-13,73.5
2020-07-14,74.31
2020-07-15,75.0
2020-07-16,75.35
2020-07-17,75.03
2020-07-20,72.89
2020-07-21,75.92
2020-07-22,76.0
2020-07-23,76.3
2020-07-24,76.85
2020-07-27,78.54
2020-07-28,77.97
2020-07-29,78.39
2020-07-30,77.45
2020-07-31,76.81
2020-08-03,76.53
2020-08-04,77.1
2020-08-05,76.96
2020-08-06,77.12
2020-08-07,77.5
2020-08-10,78.37
2020-08-11,78.72
2020-08-12,79.69
2020-08-13,78.14
2020-08-14,77.71
2020-08-17,78.26
2020-08-18,79.18
2020-08-19,78.7
2020-08-20,78.22
2020-08-21,78.06
2020-08-24,79.63
2020-08-25,79.62
2020-08-26,79.98
2020-08-27,80.0
2020-08-28,80.74
2020-08-31,79.79
2020-09-01,79.04
2020-09-02,79.98
2020-09-03,79.32
2020-09-04,79.15
2020-09-08,79.03
2020-09-09,80.47
2020-09-10,80.41
2020-09-11,81.23
2020-09-14,81.94
2020-09-15,81.4
2020-09-16,80.6
2020-09-17,79.47
2020-09-18,78.08
2020-09-21,77.83
2020-09-22,77.01
2020-09-23,75.5
2020-09-24,76.35
2020-09-25,75.4
2020-09-28,76.31
2020-09-29,74.34
2020-09-30,74.99
2020-10-01,74.14
2020-10-02,74.46
2020-10-05,75.91
2020-10-06,75.5
2020-10-07,79.05
2020-10-08,78.33
2020-10-09,78.88
2020-10-12,79.32
2020-10-13,79.21
2020-10-14,78.91
2020-10-15,79.14
2020-10-16,79.27
2020-10-19,77.84
2020-10-20,73.33
2020-10-21,73.82
2020-10-22,74.86
2020-10-23,74.45
2020-10-26,73.65
2020-10-27,71.33
2020-10-28,70.04
2020-10-29,70.64
2020-10-30,71.02
2020-11-02,71.63
2020-11-03,71.82
2020-11-04,71.54
2020-11-05,70.9
2020-11-06,70.45
2020-11-09,71.63
2020-11-10,74.75
2020-11-11,75.11
2020-11-12,74.5
2020-11-13,75.89
2020-11-16,78.63
2020-11-17,78.38
2020-11-18,77.47
2020-11-19,77.51
2020-11-20,76.73
2020-11-23,76.63
2020-11-24,78.02
2020-11-25,76.89
2020-11-27,75.9
2020-11-30,75.75
2020-12-01,77.03
2020-12-02,78.07
