datetime,close
2020-06-05,50.8
2020-06-08,53.7
2020-06-09,50.78
2020-06-10,48.16
2020-06-11,44.72
2020-06-12,47.89
2020-06-15,47.94
2020-06-16,49.07
2020-06-17,46.86
2020-06-18,46.45
2020-06-19,44.64
2020-06-22,45.41
2020-06-23,46.13
2020-06-24,44.36
2020-06-25,45.08
2020-06-26,44.49
2020-06-29,45.82
2020-06-30,45.89
2020-07-01,46.17
2020-07-02,45.73
2020-07-06,45.98
2020-07-07,44.09
2020-07-08,43.4
2020-07-09,42.12
2020-07-10,42.94
2020-07-13,42.59
2020-07-14,42.07
2020-07-15,42.97
2020-07-16,42.1
2020-07-17,41.7
2020-07-20,41.17
2020-07-21,40.58
2020-07-22,41.37
2020-07-23,40.43
2020-07-24,39.96
2020-07-27,39.91
2020-07-28,41.75
2020-07-29,42.11
2020-07-30,41.81
2020-07-31,41.03
2020-08-03,40.59
2020-08-04,41.06
2020-08-05,40.98
2020-08-06,40.96
2020-08-07,41.65
2020-08-10,42.87
2020-08-11,43.5
2020-08-12,43.67
2020-08-13,42.49
2020-08-14,42.88
2020-08-17,42.72
2020-08-18,41.82
2020-08-19,40.2
2020-08-20,41.15
2020-08-21,40.46
2020-08-24,41.05
2020-08-25,40.95
2020-08-26,40.1
2020-08-27,40.65
2020-08-28,40.44
2020-08-31,39.71
2020-09-01,39.4
2020-09-02,41.03
2020-09-03,41.23
2020-09-04,41.53
2020-09-08,40.97
2020-09-09,40.87
2020-09-10,39.34
2020-09-11,38.6
2020-09-14,40.04
2020-09-15,41.21
2020-09-16,41.61
2020-09-17,41.29
2020-09-18,40.07
2020-09-21,37.21
2020-09-22,37.26
2020-09-23,36.53
2020-09-24,36.78
2020-09-25,37.42
2020-09-28,38.56
2020-09-29,37.77
2020-09-30,38.02
2020-10-01,39.4
2020-10-02,40.2
2020-10-05,40.11
2020-10-06,39.95
2020-10-07,39.43
2020-10-08,40.44
2020-10-09,39.58
2020-10-12,39.75
2020-10-13,38.24
2020-10-14,37.66
2020-10-15,38.54
2020-10-16,37.54
2020-10-19,37.0
2020-10-20,37.5
2020-10-21,37.14
2020-10-22,38.18
2020-10-23,38.29
2020-10-26,37.55
2020-10-27,36.22
2020-10-28,35.36
2020-10-29,35.46
2020-10-30,35.59
2020-11-02,36.2
2020-11-03,37.43
2020-11-04,35.9
2020-11-05,36.18
2020-11-06,34.05
2020-11-09,45.96
2020-11-10,46.75
2020-11-11,46.07
2020-11-12,43.9
2020-11-13,45.73
2020-11-16,49.01
2020-11-17,48.27
2020-11-18,47.12
2020-11-19,47.76
2020-11-20,47.26
2020-11-23,48.46
2020-11-24,48.79
2020-11-25,47.59
2020-11-27,46.89
2020-11-30,45.58
2020-12-01,46.55
2020-12-02,47.53
2020-12-03,48.36
2020-12-04,49.08
2020-12-07,48.08
2020-12-08,47.73
2020-12-09,47.7
2020-12-10,47.61
2020-12-11,47.08
2020-12-14,46.88
2020-12-15,47.88
2020-12-16,47.34
2020-12-17,47.49
2020-12-18,45.93
2020-12-21,45.24
2020-12-22,45.24
2020-12-23,45.16
2020-12-24,45.41
2020-12-28,45.77
2020-12-29,45.31
2020-12-30,45.59
2020-12-31,45.59
2021-01-04,44.27
2021-01-05,44.3
2021-01-06,45.6
2021-01-07,45.01
2021-01-08,45.49
2021-01-11,44.02
2021-01-12,44.75
2021-01-13,46.37
2021-01-14,47.06
2021-01-15,47.07
2021-01-19,46.94
2021-01-20,48.17
2021-01-21,46.85
2021-01-22,46.93
2021-01-25,47.7
2021-01-26,47.93
2021-01-27,47.13
2021-01-28,47.68
2021-01-29,47.18
2021-02-01,46.94
2021-02-02,46.87
2021-02-03,47.6
2021-02-04,49.17
2021-02-05,49.11
2021-02-08,48.96
2021-02-09,49.54
2021-02-10,50.16
2021-02-11,51.25
2021-02-12,52.62
2021-02-16,52.23
2021-02-17,53.21
