datetime,close
2020-06-05,89.91
2020-06-08,89.81
2020-06-09,87.82
2020-06-10,86.65
2020-06-11,81.66
2020-06-12,81.73
2020-06-15,81.66
2020-06-16,82.77
2020-06-17,82.62
2020-06-18,82.52
2020-06-19,79.94
2020-06-22,81.23
2020-06-23,81.33
2020-06-24,79.38
2020-06-25,80.14
2020-06-26,80.52
2020-06-29,81.09
2020-06-30,82.05
2020-07-01,81.39
2020-07-02,81.23
2020-07-06,81.57
2020-07-07,80.87
2020-07-08,80.0
2020-07-09,80.5
2020-07-10,81.78
2020-07-13,81.73
2020-07-14,83.04
2020-07-15,84.3
2020-07-16,84.6
2020-07-17,86.98
2020-07-20,85.0
2020-07-21,85.03
2020-07-22,85.66
2020-07-23,85.85
2020-07-24,85.03
2020-07-27,85.05
2020-07-28,85.34
2020-07-29,86.87
2020-07-30,87.06
2020-07-31,87.25
2020-08-03,87.43
2020-08-04,86.61
2020-08-05,86.5
2020-08-06,87.9
2020-08-07,90.59
2020-08-10,90.89
2020-08-11,90.88
2020-08-12,91.24
2020-08-13,90.71
2020-08-14,90.37
2020-08-17,89.8
2020-08-18,89.12
2020-08-19,89.15
2020-08-20,88.99
2020-08-21,89.81
2020-08-24,91.08
2020-08-25,91.5
2020-08-26,92.04
2020-08-27,92.68
2020-08-28,92.92
2020-08-31,92.72
2020-09-01,93.29
2020-09-02,94.71
2020-09-03,93.47
2020-09-04,93.5
2020-09-08,93.29
2020-09-09,95.16
2020-09-10,94.98
2020-09-11,95.74
2020-09-14,96.76
2020-09-15,96.82
2020-09-16,96.39
2020-09-17,96.44
2020-09-18,95.78
2020-09-21,94.04
2020-09-22,95.08
2020-09-23,92.14
2020-09-24,92.39
2020-09-25,94.07
2020-09-28,94.46
2020-09-29,93.92
2020-09-30,93.35
2020-10-01,92.97
2020-10-02,93.32
2020-10-05,93.53
2020-10-06,92.48
2020-10-07,92.92
2020-10-08,93.5
2020-10-09,93.14
2020-10-12,94.5
2020-10-13,93.62
2020-10-14,93.45
2020-10-15,93.42
2020-10-16,93.57
2020-10-19,92.1
2020-10-20,92.28
2020-10-21,91.67
2020-10-22,91.77
2020-10-23,92.87
2020-10-26,90.86
2020-10-27,89.42
2020-10-28,86.71
2020-10-29,87.4
2020-10-30,88.17
2020-11-02,89.86
2020-11-03,92.4
2020-11-04,93.87
2020-11-05,95.51
2020-11-06,97.08
2020-11-09,100.41
2020-11-10,102.08
2020-11-11,102.57
2020-11-12,100.94
2020-11-13,101.06
2020-11-16,101.75
2020-11-17,101.26
2020-11-18,99.98
2020-11-19,99.91
2020-11-20,98.86
2020-11-23,97.78
2020-11-24,97.78
2020-11-25,97.44
2020-11-27,97.04
2020-11-30,96.72
2020-12-01,97.15
2020-12-02,95.75
2020-12-03,94.75
2020-12-04,95.67
2020-12-07,94.85
2020-12-08,94.68
2020-12-09,94.32
2020-12-10,93.49
2020-12-11,94.98
2020-12-14,94.9
2020-12-15,96.2
2020-12-16,95.4
2020-12-17,96.89
2020-12-18,96.78
2020-12-21,95.24
2020-12-22,95.82
2020-12-23,95.01
