datetime,close
2020-06-05,21.99
2020-06-08,23.65
2020-06-09,22.51
2020-06-10,20.96
2020-06-11,18.51
2020-06-12,19.0
2020-06-15,19.32
2020-06-16,19.55
2020-06-17,19.83
2020-06-18,20.18
2020-06-19,19.71
2020-06-22,19.82
2020-06-23,19.57
2020-06-24,17.86
2020-06-25,18.42
2020-06-26,17.44
2020-06-29,18.01
2020-06-30,18.39
2020-07-01,17.72
2020-07-02,17.98
2020-07-06,18.75
2020-07-07,18.18
2020-07-08,18.07
2020-07-09,17.13
2020-07-10,17.79
2020-07-13,17.38
2020-07-14,18.39
2020-07-15,18.9
2020-07-16,18.82
2020-07-17,18.62
2020-07-20,18.44
2020-07-21,19.56
2020-07-22,19.17
2020-07-23,19.3
2020-07-24,19.48
2020-07-27,19.68
2020-07-28,19.15
2020-07-29,19.43
2020-07-30,18.44
2020-07-31,18.14
2020-08-03,18.72
2020-08-04,19.23
2020-08-05,19.5
2020-08-06,19.32
2020-08-07,19.63
2020-08-10,20.22
2020-08-11,20.3
2020-08-12,20.36
2020-08-13,19.87
2020-08-14,20.07
2020-08-17,20.01
2020-08-18,19.77
2020-08-19,19.72
2020-08-20,18.77
2020-08-21,18.58
2020-08-24,19.55
2020-08-25,19.26
2020-08-26,18.67
2020-08-27,18.7
2020-08-28,19.42
2020-08-31,19.01
2020-09-01,18.63
2020-09-02,18.77
2020-09-03,19.12
2020-09-04,19.31
2020-09-08,18.38
2020-09-09,18.61
2020-09-10,17.71
2020-09-11,17.87
2020-09-14,18.03
2020-09-15,18.2
2020-09-16,19.18
2020-09-17,19.08
2020-09-18,18.73
2020-09-21,17.27
2020-09-22,17.33
2020-09-23,16.61
2020-09-24,16.62
2020-09-25,15.92
2020-09-28,16.45
2020-09-29,15.6
2020-09-30,15.56
2020-10-01,15.01
2020-10-02,15.57
2020-10-05,16.07
2020-10-06,15.67
2020-10-07,15.95
2020-10-08,16.43
2020-10-09,16.23
2020-10-12,16.12
2020-10-13,15.73
2020-10-14,15.95
2020-10-15,16.42
2020-10-16,14.97
2020-10-19,15.01
2020-10-20,15.49
2020-10-21,15.01
2020-10-22,15.3
2020-10-23,15.4
2020-10-26,15.17
2020-10-27,15.09
2020-10-28,14.18
2020-10-29,14.45
2020-10-30,14.94
2020-11-02,15.58
2020-11-03,15.76
2020-11-04,15.97
2020-11-05,15.52
2020-11-06,15.22
2020-11-09,18.25
2020-11-10,18.31
2020-11-11,17.71
2020-11-12,17.3
2020-11-13,18.0
2020-11-16,20.04
2020-11-17,20.09
2020-11-18,19.97
2020-11-19,20.46
2020-11-20,20.21
2020-11-23,21.61
2020-11-24,22.23
2020-11-25,22.1
2020-11-27,21.88
2020-11-30,20.79
2020-12-01,21.07
2020-12-02,21.64
2020-12-03,22.07
2020-12-04,23.45
2020-12-07,22.83
2020-12-08,23.23
2020-12-09,23.37
2020-12-10,23.38
2020-12-11,22.94
2020-12-14,22.18
2020-12-15,22.97
2020-12-16,22.84
2020-12-17,22.93
2020-12-18,22.31
2020-12-21,21.78
2020-12-22,21.36
2020-12-23,21.92
2020-12-24,21.64
2020-12-28,21.57
2020-12-29,21.38
2020-12-30,21.88
2020-12-31,21.83
2021-01-04,21.95
2021-01-05,23.13
2021-01-06,24.41
2021-01-07,24.88
2021-01-08,24.84
2021-01-11,24.99
2021-01-12,26.14
2021-01-13,25.46
2021-01-14,25.96
2021-01-15,24.91
2021-01-19,25.42
2021-01-20,25.35
2021-01-21,24.19
2021-01-22,24.41
2021-01-25,23.74
2021-01-26,22.74
2021-01-27,21.81
2021-01-28,22.64
2021-01-29,22.21
2021-02-01,22.16
2021-02-02,22.51
2021-02-03,24.18
2021-02-04,24.81
2021-02-05,25.01
2021-02-08,25.99
2021-02-09,26.0
2021-02-10,26.62
2021-02-11,26.37
2021-02-12,26.77
2021-02-16,26.81
2021-02-17,26.87
2021-02-18,25.58
2021-02-19,26.12
2021-02-22,27.54
2021-02-23,27.74
2021-02-24,29.41
2021-02-25,28.51
2021-02-26,27.91
2021-03-01,28.72
2021-03-02,28.14
2021-03-03,28.37
2021-03-04,28.58
2021-03-05,29.07
2021-03-08,29.71
2021-03-09,29.35
2021-03-10,29.95
2021-03-11,29.4
2021-03-12,29.01
2021-03-15,29.12
2021-03-16,28.06
2021-03-17,28.31
2021-03-18,27.25
2021-03-19,27.05
2021-03-22,27.65
2021-03-23,26.67
2021-03-24,27.42
2021-03-25,27.4
2021-03-26,28.31
2021-03-29,27.7
2021-03-30,27.22
2021-03-31,27.19
2021-04-01,28.1
2021-04-05,27.55
2021-04-06,27.44
2021-04-07,27.35
2021-04-08,27.06
2021-04-09,26.76
2021-04-12,26.54
2021-04-13,26.04
2021-04-14,27.31
2021-04-15,26.66
2021-04-16,26.29
2021-04-19,26.53
2021-04-20,25.25
2021-04-21,25.73
2021-04-22,25.25
2021-04-23,25.71
2021-04-26,26.37
2021-04-27,26.18
2021-04-28,27.36
2021-04-29,27.82
2021-04-30,27.05
2021-05-03,28.22
2021-05-04,28.39
2021-05-05,30.34
2021-05-06,30.73
2021-05-07,31.89
2021-05-10,31.63
2021-05-11,31.26
2021-05-12,32.1
2021-05-13,31.76
2021-05-14,32.81
2021-05-17,34.05
2021-05-18,33.07
2021-05-19,32.0
2021-05-20,31.77
2021-05-21,31.95
2021-05-24,31.7
2021-05-25,31.24
2021-05-26,31.55
2021-05-27,31.34
2021-05-28,31.33
2021-06-01,32.93
2021-06-02,35.46
2021-06-03,36.52
2021-06-04,36.42
2021-06-07,35.83
2021-06-08,35.9
2021-06-09,35.76
2021-06-10,34.94
2021-06-11,34.89
2021-06-14,34.05
2021-06-15,34.19
2021-06-16,34.04
2021-06-17,32.47
2021-06-18,31.29
2021-06-21,33.12
2021-06-22,33.02
2021-06-23,32.88
2021-06-24,33.26
2021-06-25,33.35
2021-06-28,32.02
2021-06-29,31.88
2021-06-30,32.01
2021-07-01,33.07
2021-07-02,32.79
2021-07-06,31.17
2021-07-07,30.68
2021-07-08,30.53
2021-07-09,31.19
2021-07-12,31.22
2021-07-13,30.61
2021-07-14,29.55
2021-07-15,28.73
2021-07-16,27.87
2021-07-19,26.65
2021-07-20,27.24
2021-07-21,28.43
2021-07-22,27.98
2021-07-23,28.41
2021-07-26,29.46
2021-07-27,29.18
2021-07-28,29.32
2021-07-29,29.64
2021-07-30,28.83
2021-08-02,28.5
2021-08-03,28.9
2021-08-04,27.63
2021-08-05,27.92
2021-08-06,28.42
2021-08-09,27.99
2021-08-10,28.42
2021-08-11,28.98
2021-08-12,28.55
2021-08-13,28.35
2021-08-16,27.78
2021-08-17,27.19
2021-08-18,26.81
2021-08-19,26.44
2021-08-20,26.46
2021-08-23,27.49
2021-08-24,28.22
2021-08-25,28.45
2021-08-26,28.13
2021-08-27,29.08
2021-08-30,28.28
2021-08-31,28.04
2021-09-01,27.98
2021-09-02,28.61
2021-09-03,28.09
2021-09-07,27.83
2021-09-08,26.66
2021-09-09,26.62
2021-09-10,26.78
2021-09-13,28.11
2021-09-14,27.67
2021-09-15,29.24
2021-09-16,28.86
2021-09-17,28.31
2021-09-20,27.25
2021-09-21,26.93
2021-09-22,27.15
2021-09-23,28.88
2021-09-24,29.01
2021-09-27,30.19
2021-09-28,30.91
2021-09-29,30.33
2021-09-30,29.64
2021-10-01,30.36
2021-10-04,30.88
2021-10-05,30.59
2021-10-06,29.94
2021-10-07,31.02
2021-10-08,31.66
2021-10-11,32.46
2021-10-12,32.88
2021-10-13,32.76
2021-10-14,33.52
2021-10-15,34.0
2021-10-18,34.16
2021-10-19,34.55
2021-10-20,34.74
2021-10-21,34.31
2021-10-22,33.91
2021-10-25,34.36
2021-10-26,34.26
2021-10-27,32.54
2021-10-28,33.3
2021-10-29,32.26
2021-11-01,33.3
2021-11-02,33.2
2021-11-03,32.98
2021-11-04,33.15
2021-11-05,33.51
2021-11-08,34.3
2021-11-09,34.14
