datetime,close
2020-06-05,74.64
2020-06-08,75.62
2020-06-09,71.27
2020-06-10,69.05
2020-06-11,60.68
2020-06-12,63.79
2020-06-15,63.59
2020-06-16,66.16
2020-06-17,62.32
2020-06-18,64.63
2020-06-19,63.16
2020-06-22,62.66
2020-06-23,62.65
2020-06-24,58.02
2020-06-25,57.28
2020-06-26,56.32
2020-06-29,56.95
2020-06-30,58.82
2020-07-01,56.44
2020-07-02,56.34
2020-07-06,56.47
2020-07-07,53.12
2020-07-08,52.98
2020-07-09,50.22
2020-07-10,53.65
2020-07-13,53.23
2020-07-14,54.4
2020-07-15,57.23
2020-07-16,56.58
2020-07-17,55.47
2020-07-20,54.33
2020-07-21,57.58
2020-07-22,57.07
2020-07-23,57.67
2020-07-24,57.98
2020-07-27,58.03
2020-07-28,56.89
2020-07-29,59.69
2020-07-30,56.33
2020-07-31,56.23
2020-08-03,53.91
2020-08-04,53.02
2020-08-05,51.62
2020-08-06,51.48
2020-08-07,52.66
2020-08-10,53.55
2020-08-11,53.65
2020-08-12,55.12
2020-08-13,53.19
2020-08-14,54.46
2020-08-17,55.6
2020-08-18,54.74
2020-08-19,54.26
2020-08-20,52.7
2020-08-21,52.62
2020-08-24,54.99
2020-08-25,54.25
2020-08-26,53.7
2020-08-27,53.44
2020-08-28,54.89
2020-08-31,52.59
2020-09-01,52.47
2020-09-02,52.91
2020-09-03,52.33
2020-09-04,51.22
2020-09-08,48.73
2020-09-09,47.75
2020-09-10,45.63
2020-09-11,46.39
2020-09-14,47.51
2020-09-15,46.56
2020-09-16,49.1
2020-09-17,49.0
2020-09-18,48.71
2020-09-21,47.36
2020-09-22,47.42
2020-09-23,44.51
2020-09-24,44.58
2020-09-25,43.92
2020-09-28,44.82
2020-09-29,43.41
2020-09-30,43.32
2020-10-01,40.28
2020-10-02,40.73
2020-10-05,43.07
2020-10-06,42.33
2020-10-07,42.35
2020-10-08,44.36
2020-10-09,43.64
2020-10-12,43.09
2020-10-13,41.43
2020-10-14,41.71
2020-10-15,41.56
2020-10-16,40.22
2020-10-19,39.29
2020-10-20,40.7
2020-10-21,40.54
2020-10-22,41.28
2020-10-23,41.97
2020-10-26,39.54
