datetime,close
2020-06-05,61.6
2020-06-08,61.65
2020-06-09,59.6
2020-06-10,55.77
2020-06-11,51.34
2020-06-12,55.24
2020-06-15,56.12
2020-06-16,57.64
2020-06-17,56.02
2020-06-18,55.81
2020-06-19,51.0
2020-06-22,51.38
2020-06-23,51.48
2020-06-24,49.38
2020-06-25,50.21
2020-06-26,49.74
2020-06-29,51.26
2020-06-30,51.75
2020-07-01,53.64
2020-07-02,52.63
2020-07-06,52.31
2020-07-07,49.95
2020-07-08,50.03
2020-07-09,49.2
2020-07-10,50.55
2020-07-13,50.02
2020-07-14,49.94
2020-07-15,51.04
2020-07-16,49.88
2020-07-17,50.99
2020-07-20,49.3
2020-07-21,49.48
2020-07-22,52.33
2020-07-23,51.94
2020-07-24,51.42
2020-07-27,51.01
2020-07-28,53.14
2020-07-29,54.69
2020-07-30,54.52
2020-07-31,53.56
2020-08-03,52.87
2020-08-04,53.29
2020-08-05,53.15
2020-08-06,56.41
2020-08-07,57.18
2020-08-10,57.44
2020-08-11,56.63
2020-08-12,56.91
2020-08-13,55.99
2020-08-14,56.75
2020-08-17,55.98
2020-08-18,54.94
2020-08-19,53.95
2020-08-20,55.08
2020-08-21,56.13
2020-08-24,57.42
2020-08-25,57.59
2020-08-26,55.85
2020-08-27,57.92
2020-08-28,59.45
2020-08-31,57.52
2020-09-01,58.13
2020-09-02,60.01
2020-09-03,60.45
2020-09-04,61.12
2020-09-08,60.05
2020-09-09,60.89
2020-09-10,59.86
2020-09-11,58.87
2020-09-14,60.12
2020-09-15,60.71
2020-09-16,59.87
2020-09-17,57.78
2020-09-18,56.45
2020-09-21,54.19
2020-09-22,54.71
2020-09-23,51.96
2020-09-24,51.87
2020-09-25,53.26
2020-09-28,54.39
2020-09-29,54.5
2020-09-30,55.09
2020-10-01,56.42
2020-10-02,57.94
2020-10-05,57.47
2020-10-06,56.66
2020-10-07,56.1
2020-10-08,57.22
2020-10-09,56.31
2020-10-12,55.87
2020-10-13,54.26
2020-10-14,53.87
2020-10-15,55.05
2020-10-16,54.28
2020-10-19,52.58
2020-10-20,54.09
2020-10-21,53.71
2020-10-22,55.25
2020-10-23,56.26
2020-10-26,55.7
2020-10-27,54.03
2020-10-28,52.26
2020-10-29,54.63
2020-10-30,53.77
2020-11-02,56.74
2020-11-03,59.01
2020-11-04,56.99
2020-11-05,56.85
2020-11-06,55.5
2020-11-09,66.66
2020-11-10,67.84
2020-11-11,65.52
2020-11-12,63.58
2020-11-13,65.57
2020-11-16,66.42
2020-11-17,65.95
2020-11-18,63.83
2020-11-19,65.2
2020-11-20,64.51
2020-11-23,63.68
2020-11-24,65.47
2020-11-25,65.26
2020-11-27,64.54
2020-11-30,62.98
2020-12-01,63.49
2020-12-02,62.48
2020-12-03,63.19
2020-12-04,64.2
2020-12-07,65.72
2020-12-08,64.95
2020-12-09,65.02
2020-12-10,64.03
2020-12-11,64.25
2020-12-14,63.24
2020-12-15,65.87
2020-12-16,66.49
2020-12-17,65.95
2020-12-18,64.02
2020-12-21,62.65
2020-12-22,62.67
2020-12-23,62.36
2020-12-24,63.52
2020-12-28,62.97
2020-12-29,63.18
2020-12-30,63.8
2020-12-31,64.62
2021-01-04,61.6
2021-01-05,61.96
2021-01-06,64.58
2021-01-07,63.3
2021-01-08,62.68
2021-01-11,61.18
2021-01-12,61.09
2021-01-13,63.81
2021-01-14,63.56
2021-01-15,64.25
2021-01-19,61.0
2021-01-20,62.13
2021-01-21,61.85
2021-01-22,63.07
2021-01-25,62.56
2021-01-26,61.79
2021-01-27,59.79
2021-01-28,61.78
2021-01-29,60.6
2021-02-01,62.51
2021-02-02,62.17
2021-02-03,62.09
2021-02-04,63.91
2021-02-05,64.02
2021-02-08,63.21
2021-02-09,63.23
2021-02-10,64.93
2021-02-11,66.43
2021-02-12,67.51
2021-02-16,67.17
2021-02-17,67.29
2021-02-18,68.17
2021-02-19,68.39
2021-02-22,69.89
2021-02-23,70.6
2021-02-24,73.6
2021-02-25,70.28
2021-02-26,67.9
2021-03-01,68.48
2021-03-02,68.62
2021-03-03,69.02
2021-03-04,69.73
2021-03-05,70.26
2021-03-08,72.23
2021-03-09,72.76
2021-03-10,73.97
2021-03-11,73.37
2021-03-12,74.12
2021-03-15,74.55
2021-03-16,72.91
2021-03-17,73.69
