datetime,close
2020-06-05,32.05
2020-06-08,33.0
2020-06-09,31.91
2020-06-10,30.38
2020-06-11,27.64
2020-06-12,28.21
2020-06-15,28.26
2020-06-16,28.93
2020-06-17,28.77
2020-06-18,28.35
2020-06-19,28.32
2020-06-22,27.38
2020-06-23,27.47
2020-06-24,26.2
2020-06-25,26.61
2020-06-26,26.72
2020-06-29,27.75
2020-06-30,28.26
2020-07-01,27.66
2020-07-02,28.2
2020-07-06,28.78
2020-07-07,28.06
2020-07-08,27.47
2020-07-09,26.22
2020-07-10,27.75
2020-07-13,27.85
2020-07-14,29.15
2020-07-15,30.15
2020-07-16,30.72
2020-07-17,29.97
2020-07-20,29.37
2020-07-21,29.72
2020-07-22,29.86
2020-07-23,30.15
2020-07-24,30.21
2020-07-27,30.21
2020-07-28,29.47
2020-07-29,30.26
2020-07-30,28.26
2020-07-31,26.86
2020-08-03,27.82
2020-08-04,29.27
2020-08-05,29.84
2020-08-06,29.49
2020-08-07,29.07
2020-08-10,30.65
2020-08-11,30.9
2020-08-12,30.3
2020-08-13,29.69
2020-08-14,30.29
2020-08-17,29.76
2020-08-18,29.1
2020-08-19,29.25
2020-08-20,28.79
2020-08-21,28.46
2020-08-24,31.28
2020-08-25,30.59
2020-08-26,30.54
2020-08-27,30.84
2020-08-28,31.06
2020-08-31,30.33
2020-09-01,32.07
2020-09-02,32.68
2020-09-03,31.9
2020-09-04,32.54
2020-09-08,31.94
2020-09-09,32.4
2020-09-10,31.87
2020-09-11,32.5
2020-09-14,34.34
2020-09-15,35.95
2020-09-16,36.35
2020-09-17,37.64
2020-09-18,36.21
2020-09-21,35.19
2020-09-22,34.38
2020-09-23,32.83
2020-09-24,33.06
2020-09-25,35.81
2020-09-28,34.98
2020-09-29,34.25
2020-09-30,34.74
2020-10-01,34.06
2020-10-02,35.02
2020-10-05,36.77
2020-10-06,36.11
2020-10-07,37.19
2020-10-08,37.77
2020-10-09,37.8
2020-10-12,38.98
2020-10-13,37.92
2020-10-14,38.1
2020-10-15,39.64
2020-10-16,40.98
2020-10-19,41.08
2020-10-20,40.12
2020-10-21,40.32
2020-10-22,40.4
2020-10-23,40.24
2020-10-26,38.71
2020-10-27,38.3
2020-10-28,36.73
2020-10-29,37.43
2020-10-30,37.55
2020-11-02,39.11
2020-11-03,39.76
2020-11-04,38.51
2020-11-05,39.23
2020-11-06,39.02
2020-11-09,40.34
2020-11-10,41.73
2020-11-11,41.22
2020-11-12,38.94
2020-11-13,40.45
2020-11-16,42.55
2020-11-17,43.61
2020-11-18,43.78
2020-11-19,42.59
2020-11-20,42.21
2020-11-23,43.12
2020-11-24,45.43
2020-11-25,44.06
2020-11-27,44.06
2020-11-30,42.21
2020-12-01,43.09
2020-12-02,43.47
2020-12-03,42.86
2020-12-04,44.48
2020-12-07,44.52
2020-12-08,45.11
2020-12-09,44.89
2020-12-10,43.91
2020-12-11,43.53
2020-12-14,43.02
2020-12-15,44.44
2020-12-16,44.25
2020-12-17,44.98
2020-12-18,44.62
2020-12-21,44.02
2020-12-22,43.83
2020-12-23,44.45
2020-12-24,44.48
2020-12-28,43.91
2020-12-29,43.07
2020-12-30,43.43
2020-12-31,43.53
2021-01-04,42.45
2021-01-05,43.51
2021-01-06,46.25
2021-01-07,45.83
2021-01-08,45.23
2021-01-11,46.45
2021-01-12,47.25
2021-01-13,46.94
2021-01-14,46.88
2021-01-15,45.68
2021-01-19,44.66
2021-01-20,45.5
2021-01-21,46.61
2021-01-22,46.67
2021-01-25,44.12
2021-01-26,43.84
2021-01-27,41.81
2021-01-28,40.7
2021-01-29,41.43
2021-02-01,41.41
2021-02-02,41.89
2021-02-03,42.54
2021-02-04,41.42
2021-02-05,43.08
2021-02-08,42.72
2021-02-09,43.75
2021-02-10,43.68
2021-02-11,43.09
2021-02-12,44.24
2021-02-16,43.76
2021-02-17,44.0
2021-02-18,42.94
2021-02-19,43.95
2021-02-22,43.84
2021-02-23,45.1
2021-02-24,44.87
2021-02-25,44.21
2021-02-26,43.59
2021-03-01,46.17
2021-03-02,46.77
2021-03-03,47.91
2021-03-04,48.39
2021-03-05,50.68
2021-03-08,53.18
2021-03-09,52.95
2021-03-10,52.71
2021-03-11,51.39
2021-03-12,51.57
2021-03-15,51.07
2021-03-16,50.58
2021-03-17,52.05
2021-03-18,52.25
2021-03-19,51.79
2021-03-22,50.26
2021-03-23,48.33
2021-03-24,49.42
2021-03-25,51.86
2021-03-26,53.58
2021-03-29,52.92
2021-03-30,53.22
2021-03-31,52.05
2021-04-01,52.19
2021-04-05,52.87
2021-04-06,53.63
2021-04-07,52.79
2021-04-08,52.75
2021-04-09,52.8
2021-04-12,54.29
2021-04-13,52.44
2021-04-14,53.2
2021-04-15,53.62
2021-04-16,54.63
2021-04-19,54.17
2021-04-20,53.39
2021-04-21,53.7
2021-04-22,52.5
2021-04-23,53.3
2021-04-26,53.59
2021-04-27,54.52
2021-04-28,54.9
2021-04-29,56.05
2021-04-30,55.75
2021-05-03,57.37
2021-05-04,57.83
2021-05-05,58.33
2021-05-06,60.13
2021-05-07,59.74
2021-05-10,59.68
2021-05-11,60.72
2021-05-12,58.43
2021-05-13,60.45
2021-05-14,60.57
2021-05-17,61.81
2021-05-18,59.72
2021-05-19,58.45
2021-05-20,57.84
2021-05-21,57.94
2021-05-24,58.26
2021-05-25,57.5
2021-05-26,57.49
2021-05-27,58.06
2021-05-28,58.32
2021-06-01,59.45
2021-06-02,58.77
2021-06-03,58.82
2021-06-04,58.97
2021-06-07,57.9
2021-06-08,58.22
2021-06-09,56.92
2021-06-10,56.15
2021-06-11,57.34
2021-06-14,55.27
2021-06-15,56.45
2021-06-16,55.26
2021-06-17,52.78
2021-06-18,52.03
2021-06-21,53.84
2021-06-22,53.6
2021-06-23,53.16
2021-06-24,53.36
2021-06-25,53.28
2021-06-28,52.97
2021-06-29,52.57
2021-06-30,53.22
2021-07-01,53.34
2021-07-02,52.7
2021-07-06,51.28
2021-07-07,52.23
2021-07-08,51.73
2021-07-09,52.87
2021-07-12,52.8
2021-07-13,51.58
2021-07-14,51.26
2021-07-15,50.29
2021-07-16,49.01
2021-07-19,47.99
2021-07-20,48.5
2021-07-21,48.75
2021-07-22,47.96
2021-07-23,48.17
2021-07-26,49.22
2021-07-27,49.71
2021-07-28,49.76
2021-07-29,49.49
2021-07-30,49.21
2021-08-02,48.63
2021-08-03,49.73
2021-08-04,48.74
2021-08-05,48.45
2021-08-06,48.81
2021-08-09,49.4
2021-08-10,51.05
2021-08-11,52.14
2021-08-12,51.71
2021-08-13,51.22
2021-08-16,51.23
2021-08-17,50.25
2021-08-18,49.68
2021-08-19,48.79
2021-08-20,49.43
2021-08-23,49.62
2021-08-24,50.72
2021-08-25,51.24
2021-08-26,50.48
2021-08-27,51.95
2021-08-30,51.3
2021-08-31,52.04
2021-09-01,51.75
2021-09-02,52.52
2021-09-03,52.6
2021-09-07,51.47
2021-09-08,51.43
2021-09-09,51.78
2021-09-10,51.87
2021-09-13,51.63
2021-09-14,50.56
2021-09-15,50.91
2021-09-16,50.65
2021-09-17,49.71
2021-09-20,48.66
2021-09-21,48.19
2021-09-22,48.85
2021-09-23,50.21
2021-09-24,50.45
2021-09-27,51.72
2021-09-28,51.98
2021-09-29,51.88
2021-09-30,49.83
2021-10-01,50.93
2021-10-04,51.27
2021-10-05,51.63
2021-10-06,50.59
2021-10-07,50.92
2021-10-08,50.28
2021-10-11,51.2
2021-10-12,51.24
2021-10-13,49.86
2021-10-14,49.32
2021-10-15,46.57
2021-10-18,47.76
2021-10-19,48.2
2021-10-20,48.97
2021-10-21,48.58
2021-10-22,48.59
2021-10-25,48.57
2021-10-26,48.97
2021-10-27,47.7
2021-10-28,48.94
2021-10-29,48.1
2021-11-01,47.79
2021-11-02,47.14
2021-11-03,48.42
2021-11-04,47.97
2021-11-05,48.76
2021-11-08,49.12
2021-11-09,48.42
2021-11-10,49.03
2021-11-11,49.69
2021-11-12,49.0
