datetime,close
2020-06-05,23.42
2020-06-08,24.64
2020-06-09,23.75
2020-06-10,22.81
2020-06-11,20.67
2020-06-12,21.76
2020-06-15,22.1
2020-06-16,23.03
2020-06-17,22.38
2020-06-18,22.41
2020-06-19,22.7
2020-06-22,22.52
2020-06-23,22.77
2020-06-24,21.75
2020-06-25,21.99
2020-06-26,21.49
2020-06-29,22.18
2020-06-30,22.46
2020-07-01,22.2
2020-07-02,22.24
2020-07-06,22.57
2020-07-07,22.2
2020-07-08,22.67
2020-07-09,22.61
2020-07-10,23.69
2020-07-13,23.75
2020-07-14,24.46
2020-07-15,25.06
2020-07-16,25.14
2020-07-17,25.95
2020-07-20,25.63
2020-07-21,25.68
2020-07-22,26.11
2020-07-23,26.41
2020-07-24,26.11
2020-07-27,27.48
2020-07-28,27.25
2020-07-29,28.35
2020-07-30,28.4
2020-07-31,27.81
2020-08-03,28.0
2020-08-04,27.83
2020-08-05,28.35
2020-08-06,28.01
2020-08-07,28.35
2020-08-10,28.81
2020-08-11,28.89
2020-08-12,29.2
2020-08-13,28.5
2020-08-14,28.36
2020-08-17,28.96
2020-08-18,28.88
2020-08-19,28.97
2020-08-20,29.0
2020-08-21,28.82
2020-08-24,29.21
2020-08-25,29.15
2020-08-26,29.36
2020-08-27,30.16
2020-08-28,30.89
2020-08-31,30.31
2020-09-01,30.78
2020-09-02,30.78
2020-09-03,29.78
2020-09-04,29.04
2020-09-08,28.09
2020-09-09,28.69
2020-09-10,28.55
2020-09-11,28.43
2020-09-14,28.93
2020-09-15,28.76
2020-09-16,28.93
2020-09-17,28.68
2020-09-18,27.73
2020-09-21,26.85
2020-09-22,27.72
2020-09-23,26.85
2020-09-24,26.98
2020-09-25,27.28
2020-09-28,28.31
2020-09-29,28.05
2020-09-30,28.52
2020-10-01,28.79
2020-10-02,29.11
2020-10-05,29.73
2020-10-06,28.99
2020-10-07,29.52
2020-10-08,30.26
2020-10-09,29.32
2020-10-12,29.7
2020-10-13,29.31
2020-10-14,29.26
2020-10-15,29.79
2020-10-16,29.53
2020-10-19,29.3
2020-10-20,30.11
2020-10-21,29.86
2020-10-22,29.11
2020-10-23,29.43
2020-10-26,28.45
2020-10-27,27.56
2020-10-28,27.43
2020-10-29,28.41
2020-10-30,27.29
2020-11-02,28.12
2020-11-03,28.39
2020-11-04,28.48
2020-11-05,28.8
2020-11-06,28.28
2020-11-09,28.14
2020-11-10,27.78
2020-11-11,28.39
2020-11-12,27.75
2020-11-13,29.14
2020-11-16,29.36
2020-11-17,29.18
2020-11-18,28.78
2020-11-19,29.02
2020-11-20,28.75
2020-11-23,29.11
2020-11-24,29.24
2020-11-25,29.13
2020-11-27,28.71
2020-11-30,29.04
2020-12-01,29.27
2020-12-02,28.89
2020-12-03,29.49
2020-12-04,30.72
2020-12-07,30.23
2020-12-08,30.8
2020-12-09,31.71
2020-12-10,31.75
2020-12-11,32.0
2020-12-14,32.36
2020-12-15,33.56
2020-12-16,33.9
2020-12-17,34.46
2020-12-18,33.74
2020-12-21,33.33
2020-12-22,33.35
2020-12-23,33.61
2020-12-24,33.85
2020-12-28,33.71
2020-12-29,33.33
2020-12-30,33.65
2020-12-31,33.53
2021-01-04,32.81
2021-01-05,33.12
2021-01-06,33.29
2021-01-07,33.61
2021-01-08,33.38
2021-01-11,33.1
2021-01-12,32.71
2021-01-13,32.16
2021-01-14,32.67
2021-01-15,32.52
2021-01-19,32.7
