datetime,close
2020-06-05,65.26
2020-06-08,66.95
2020-06-09,66.37
2020-06-10,66.93
2020-06-11,65.08
2020-06-12,63.65
2020-06-15,63.51
2020-06-16,63.74
2020-06-17,63.89
2020-06-18,64.51
2020-06-19,64.01
2020-06-22,65.15
2020-06-23,64.19
2020-06-24,63.68
2020-06-25,62.9
2020-06-26,62.31
2020-06-29,62.46
2020-06-30,62.5
2020-07-01,64.19
2020-07-02,64.1
2020-07-06,63.58
2020-07-07,63.6
2020-07-08,63.77
2020-07-09,63.24
2020-07-10,63.77
2020-07-13,64.17
2020-07-14,64.64
2020-07-15,64.2
2020-07-16,64.99
2020-07-17,66.39
2020-07-20,65.95
2020-07-21,66.22
2020-07-22,68.38
2020-07-23,68.27
2020-07-24,67.88
2020-07-27,67.51
2020-07-28,68.37
2020-07-29,68.73
2020-07-30,69.0
2020-07-31,69.04
2020-08-03,68.76
2020-08-04,69.93
2020-08-05,69.79
2020-08-06,70.1
2020-08-07,72.34
2020-08-10,72.45
2020-08-11,70.52
2020-08-12,71.48
2020-08-13,71.28
2020-08-14,70.73
2020-08-17,70.2
2020-08-18,70.0
2020-08-19,69.58
2020-08-20,69.01
2020-08-21,69.61
2020-08-24,70.41
2020-08-25,68.97
2020-08-26,68.13
2020-08-27,68.63
2020-08-28,68.65
2020-08-31,69.47
2020-09-01,68.55
2020-09-02,71.55
2020-09-03,70.65
2020-09-04,70.02
2020-09-08,69.11
2020-09-09,70.59
2020-09-10,69.13
2020-09-11,68.86
2020-09-14,69.54
2020-09-15,70.41
2020-09-16,70.92
2020-09-17,68.44
2020-09-18,66.9
2020-09-21,66.64
2020-09-22,66.87
2020-09-23,66.19
2020-09-24,67.07
2020-09-25,68.5
2020-09-28,68.85
2020-09-29,68.65
2020-09-30,69.01
2020-10-01,70.38
2020-10-02,70.48
2020-10-05,71.47
2020-10-06,72.45
2020-10-07,72.09
2020-10-08,72.51
2020-10-09,72.71
2020-10-12,73.62
2020-10-13,73.0
2020-10-14,72.35
2020-10-15,72.2
2020-10-16,73.13
2020-10-19,71.69
2020-10-20,71.53
2020-10-21,71.53
2020-10-22,71.41
2020-10-23,71.47
2020-10-26,71.69
2020-10-27,72.33
2020-10-28,70.26
2020-10-29,70.74
2020-10-30,70.03
2020-11-02,71.78
2020-11-03,72.98
2020-11-04,72.72
2020-11-05,73.73
2020-11-06,73.31
2020-11-09,73.43
2020-11-10,73.73
2020-11-11,74.69
2020-11-12,73.76
2020-11-13,74.08
2020-11-16,74.71
2020-11-17,72.63
2020-11-18,70.5
2020-11-19,69.35
2020-11-20,69.31
2020-11-23,68.36
2020-11-24,68.14
2020-11-25,68.11
2020-11-27,67.62
2020-11-30,67.36
2020-12-01,68.41
2020-12-02,68.68
2020-12-03,67.31
2020-12-04,65.75
2020-12-07,66.61
2020-12-08,66.04
2020-12-09,65.56
2020-12-10,65.18
2020-12-11,65.0
2020-12-14,65.04
2020-12-15,66.02
2020-12-16,65.59
2020-12-17,67.01
2020-12-18,66.1
2020-12-21,65.39
2020-12-22,64.83
2020-12-23,64.31
2020-12-24,64.63
2020-12-28,65.32
2020-12-29,65.42
2020-12-30,65.65
2020-12-31,66.67
2021-01-04,65.66
2021-01-05,65.02
2021-01-06,66.46
2021-01-07,65.16
2021-01-08,65.76
2021-01-11,64.4
2021-01-12,63.4
2021-01-13,65.01
2021-01-14,63.56
2021-01-15,64.96
2021-01-19,64.71
2021-01-20,65.43
2021-01-21,65.11
2021-01-22,64.76
2021-01-25,66.5
2021-01-26,65.81
2021-01-27,63.82
2021-01-28,63.64
2021-01-29,63.99
2021-02-01,63.94
2021-02-02,64.2
2021-02-03,63.18
2021-02-04,63.59
2021-02-05,63.44
2021-02-08,62.25
2021-02-09,62.12
2021-02-10,62.28
2021-02-11,61.57
2021-02-12,61.54
2021-02-16,60.51
2021-02-17,60.9
2021-02-18,62.3
2021-02-19,62.07
2021-02-22,60.43
2021-02-23,61.93
2021-02-24,60.21
2021-02-25,59.84
2021-02-26,58.59
2021-03-01,59.15
2021-03-02,58.98
2021-03-03,58.03
2021-03-04,58.92
2021-03-05,61.35
2021-03-08,61.96
2021-03-09,62.15
2021-03-10,62.18
2021-03-11,61.86
2021-03-12,62.08
2021-03-15,63.07
2021-03-16,63.41
2021-03-17,62.69
2021-03-18,62.4
2021-03-19,62.99
2021-03-22,63.75
2021-03-23,65.44
2021-03-24,65.58
2021-03-25,66.0
2021-03-26,66.31
2021-03-29,67.0
2021-03-30,66.01
2021-03-31,66.51
2021-04-01,66.79
2021-04-05,68.11
2021-04-06,68.16
2021-04-07,68.05
2021-04-08,67.72
2021-04-09,67.43
2021-04-12,67.91
2021-04-13,68.48
2021-04-14,68.68
2021-04-15,69.96
2021-04-16,70.37
2021-04-19,70.49
2021-04-20,71.55
2021-04-21,71.32
2021-04-22,71.12
2021-04-23,71.08
2021-04-26,70.6
2021-04-27,70.0
2021-04-28,69.81
2021-04-29,70.56
2021-04-30,71.3
2021-05-03,71.62
2021-05-04,71.84
2021-05-05,70.75
2021-05-06,71.55
2021-05-07,71.32
2021-05-10,72.59
2021-05-11,71.03
2021-05-12,70.17
2021-05-13,71.12
2021-05-14,71.72
2021-05-17,70.8
2021-05-18,70.81
2021-05-19,70.57
2021-05-20,71.58
2021-05-21,72.04
2021-05-24,71.67
2021-05-25,71.24
2021-05-26,71.0
2021-05-27,70.27
2021-05-28,70.88
2021-06-01,70.0
2021-06-02,70.24
2021-06-03,70.48
2021-06-04,70.08
2021-06-07,70.12
2021-06-08,68.8
2021-06-09,69.35
2021-06-10,69.63
2021-06-11,69.54
2021-06-14,69.08
2021-06-15,69.19
2021-06-16,67.76
2021-06-17,68.35
2021-06-18,66.6
2021-06-21,67.14
2021-06-22,66.75
2021-06-23,66.23
2021-06-24,66.26
2021-06-25,67.1
2021-06-28,67.06
2021-06-29,65.71
2021-06-30,65.88
2021-07-01,67.03
2021-07-02,66.82
2021-07-06,67.07
2021-07-07,67.69
